full_text,tweet_id,screen_name
".@MichaelRyne had the most Skater of the Day wins with a massive 26!

4 - David Pastrnak, Kyle Connor, Roman Josi
3 - Artemi Panarin
2 - Joe Pavelski, Jack Hughes
1 - Thomas Chabot, Andrei Svechnikov, MacKenzie Weegar, Tomas Hertl, Dylan Larkin, Drake Baherson, Joel Eriksson Ek https://t.co/DqBiPBcZG3",1520901461110145024,FantasyNerdFix
"Senators locker cleanout: Matt Murray reveals concussion, Thomas Chabot speaks up and Pierre Dorion vows to spend more https://t.co/k1gMZFTNcA",1520861389350313984,BerkleyBearNews
2016 17 THOMAS CHABOT UD TRILOG #hockeycards https://t.co/8j1R9bXTIl,1520845438324203520,gems_card
Dorion has high hopes for Jake Sanderson next season. Draws comparables to Thomas Chabot and Erik Karlsson in facets of his game. @FullPressNHL,1520767991088136192,Pammerhockey
48 Thomas Chabot https://t.co/7oiliADTe2,1520749977617715200,sens_11
"Thinking back on the Matt Duchene trade, Colorado really wanted one kf Cody Ceci, Colin White , or Thomas Chabot. Imagine giving them one of Ceci or White and not having to give up that 2019 1st",1520724583418142720,KadriSens
me when thomas chabot doesnt win the norris trophy https://t.co/XOyVLuICXC,1520617830726709248,ratthewtkachuk
"#GoSensGo awards:

Hart: Brady Tkachuk

Selke: Alex Formenton

Vezina: Anton Forsberg 

Norris: Thomas Chabot

Calder: Parker Kelly",1520551113166143488,JacobBillingt10
"#Ottawa #Senators: Thomas Chabot had a three-point night and earned @ottos_subaru Performer of The ... 
 
https://t.co/aRHI2iHl9J
 
#Hockey #IceHockey #NationalHockeyLeague #Nhl #NHLEasternConference #NHLEasternConferenceAtlanticDivision #Ontario #OttawaSenators #Sens https://t.co/rGOU9TLIS7",1520522908212334595,raw_chili
"Here are some of the players who will and will not be representing Canada at the Worlds so far. 

Going: Thomas Chabot, Drake Batherson, Pierre-Luc Dubois

Not Going: Nick Suzuki, Travis Konecny, Brendan Gallagher, Logan Couture, Carter Hart, Matt Murray

https://t.co/QRP3OWv9fT",1520498854809849857,RingOfFireCGY
Thomas Chabot: Three helpers to close out season https://t.co/MH7mOkXPIN,1520435811019378688,RotoWireNHL
"World Championship Sens Update:

Team Canada 🇨🇦
Thomas Chabot, Drake Batherson

Team Germany 🇩🇪 
Tim Stützle

Josh Norris and Brady Tkachuk are not playing for Team USA. They were invited but are taking the summer to recover. Norris is focusing on his contract.",1520402133874528258,EverydaySens
Thomas Chabot confirms he'll represent Canada at the IIHF World Championship. #Sens @FullPressNHL,1520402034306002949,Pammerhockey
Thomas Chabot reaches 30 assists for the third time in his five full seasons. #Sens,1520216088910479362,Pammerhockey
2016 17 THOMAS CHABOT UD TRILOG #hockeycards https://t.co/bq4fu0hUuy,1520214410597478400,gems_card
"OTT: Travis Hamonic (4) assists: Alex Formenton (14), Thomas Chabot (29) Goalie Martin Jones (PHI 1, OTT 2 - 01:56 3rd)",1520208319658475520,GoalNHL
"Travis Hamonic (Senators) scored a goal. Senators are winning 2 to 1. 🥅
Assisted by: Alex Formenton, Thomas Chabot

https://t.co/kbpIhbwes4",1520207486799724549,LineStarNHL
