full_text,tweet_id,screen_name
"OMG wait a minute!!! What if Rosé is attending Met Gala presenting Tiffany&amp;Co this year,last year she presented Ysl,this year Tiffany&amp;Co,remember the letter she got from Alexander 2 months ago ""See you soon in New York"" 👀👀👀",1520914379847385090,blue4rosie
"Tiffany &amp; Co. Ziegfeld Locket - Sterling Silver 925 - New &amp; Never Worn
https://t.co/mJ7qf7HR4Z",1520912218921250816,Micaco_pace
"Antique Tiffany &amp; Co. Dresser Box, 1910s Sterling Silver Scrolls w/ Bell Flower Embossed Powder Holder, Moore Era Design by bohemiantrading https://t.co/69aOCgbIeP",1520906044796325888,bohemiantrading
"Tiffany &amp; Co 1837 Sterling Silver Oval Ring Necklace Pendant &amp; Chain
https://t.co/4xnp4psp50",1520905053959516160,Micaco_pace
"Join me to get free gift cards on @Listia! Use code ""DRRHSF"" for an extra 250 PTS. Just got this with my Points, Tiffany &amp; Co Charm &amp; Toggle Set https://t.co/QYdZtH04Gt",1520898902974730243,DEEBATE26992521
TIFFANY &amp; Co. https://t.co/RlWRkD5j48,1520895631933702144,mariokenpesu
TIFFANY &amp; Co. https://t.co/BHg2MKZ3wF,1520895493395857408,mariokenpesu
"Rosé will not be attending the MetGala for YSL guys my sources hasn't answered my enquiry so it's a NO..Hoping Tiffany &amp; Co will give us a miracle, but if not it's fine..🤞🤞🤞
#ROSÉ #MetGala2022 https://t.co/HToDeQaNva",1520894147095367680,SRamzis
the reimagined World’s Fair necklace is a modern take on Tiffany &amp; Co. archival necklace that was originally debuted at the 1939 World’s Fair! The Empire Diamond; 80-carat D IF type IIa oval-cut diamond set into this extraordinary creation which can be interchanged into a ring. https://t.co/zKPexWK0k6,1520893629614927872,xCHAMPAGNEGEMx
Shalom Drizin Here to stay: Tiffany &amp; Co. HQ extends lease in Flatiron District https://t.co/QEBzi9KQ01,1520890818919223296,DrizinShalom
"Tiffany &amp; Co Elsa Peretti Diamonds by the Yard 18K Yellow Gold Necklace 0.05ct
https://t.co/9kGZBD2qZk",1520890313958916096,Micaco_pace
Tiffany &amp; co     //      12hrs at the GYM https://t.co/K4lW38cH5y,1520883893984890880,serbianWifetobe
Tiffany &amp; Co. extends lease in Flatiron District https://t.co/rRUCq0zBE8,1520882770045722625,blogtech12
"ROSÉ x TIFFANY &amp; CO. feature in Harper's BAZAAR Malaysia magazine May 2022 issue

cr. zwy101

I vote for #BLACKPINK #GrupoMusical + #BLACKPINKOFilme #MelhorDoc on #SECAwards
@BLACKPINK https://t.co/M4Reup5cpI",1520877435155361793,iblinkforblink2
📷 tudojuntoemisturado: {Tiffany / Trinity icons} please like or reblog if you save :) https://t.co/2J9xBVPQGU,1520869205830250498,SparklyxJarter
Tiffany &amp; Co. flagship store - Wikipedia  https://t.co/smJs9bBcIn,1520868098047365121,iheartfrankfurt
Here to stay: Tiffany &amp; Co. HQ extends lease in Flatiron District https://t.co/4EUNW0cXld,1520867309203636224,guncelkalnet
Here to stay: Tiffany &amp; Co. HQ extends lease in Flatiron District - https://t.co/wqujpkNYlM https://t.co/ofbKDUjAba,1520861273776431107,e_newsUS
Tiffany &amp; Co. extends lease in Flatiron District https://t.co/Ch4n2YVa2J,1520858642685308928,TokyoCoinLive
📷 filmtribv: TIFFANY  TRINITY THE MATRIX RESURRECTIONS (2021) dir. Lana Wachowski https://t.co/8llMvv07pJ,1520858460518297604,SparklyxJarter
nypostbiz: Here to stay: Tiffany &amp; Co. HQ extends lease in Flatiron District https://t.co/2pGSkgFfzb https://t.co/IE0So4SohZ,1520855646572269568,Exc_HL
Tiffany &amp; Co. extends lease in Flatiron District https://t.co/RDcR7jT85J,1520855266895581184,inftdaily
Tiffany &amp; Co. extends lease in Flatiron District https://t.co/bHdZUqabNS,1520855242144993281,FayeKohn
Here to stay: Tiffany &amp; Co. HQ extends lease in Flatiron District https://t.co/e4yLYyL2BA https://t.co/mXuDbLSXha,1520853709382553600,LuisSuarezNY
Here to stay: Tiffany &amp; Co. HQ extends lease in Flatiron District https://t.co/3UqCvo91Fq via @nypost,1520852695346647041,Chris_1791
Tiffany &amp; Co. extends lease in Flatiron District https://t.co/vOk42lz5n8,1520852533929037828,NikhilS18830535
Here to stay: Tiffany &amp; Co. HQ extends lease in Flatiron District https://t.co/Dac7ymiXWc,1520851701363875840,adabagcompany
Check out this listing I just added to my #Poshmark closet: Black Tiffany and Co. sunglasses. https://t.co/SUU6cKnzsh #shopmycloset @poshmarkapp,1520849187188838400,amber_leeee
Tiffany &amp; Co da shopee 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,1520847418463592448,aogostoo
299.30 USD ❘❘❙❙❚❚ ON SALE ❚❚❙❙❘❘ Tiffany &amp; Company 925 signed sunrise assisted living five years two collectible pins and a little Tiffany bag. Nice addition to any jewelry or Tiffany and Company collection. Signed 925 and Tiffany &amp; Co on… https://t.co/kZkVqWN45Y,1520847282396041216,MartiniMermaids
Tiffany Stratton 💞 https://t.co/RWywyEyTx8,1520839817629732864,RawSDNXTWomen
"Wait, if bey goes tomorrow she'd wear Tiffany and Co, and somehow it will be 'the most expensive ' whatever mhvngfbfbfbgrgf",1520838543492460549,fruityonce
Check out Tiffany &amp; Co Coin Edge Dog Tag Pendant Necklace Sterling Silver Designer Jewelry https://t.co/3gt2mh6H3W #eBay via @eBay,1520830274426130432,LipkiMark
Check out this listing I just added to my #Poshmark closet: Tiffany &amp; Co atlas collection sunglasses &amp; accessories. Final $ now reduced. https://t.co/R6n5MsOHzZ #shopmycloset @poshmarkapp,1520829387075072000,COshanek
"Did you know?

The famous jewelry store Tiffany &amp; Co. was established on September 18, 1837 in New York City. The amount of sales that were made the first day were $4.98",1520825482643906560,oh_this_fact
"Have your image of #BreakfastatTiffany’s come to life with the unmistakable blue. Spruce up your homes with #Tiffany’s vast range of luxurious Home &amp; Accessories collection. #TiffanyAndCo #luxuryhome 
https://t.co/GmA33LmDGq",1520825378784354305,Luxuo
I fucked the Tiffany &amp; co lady to get this Patek 😂 https://t.co/68Jty7XBYC,1520809605974036480,YibrannnD
Tiffany &amp; Co https://t.co/TzSYid8GSb,1520796943810965505,GraffitiExpert
"Tiffany &amp; Co.'s Olympian pattern was the vision of Edward C. Moore. Introduced at the 1878 Exposition Universelle in Paris, it was the most complex and expensive flatware pattern Tiffany &amp; Co. ever produced. Lot 151. American Silver. More at https://t.co/sIWigiO4bb https://t.co/hRBc0k65ku",1520795426328387586,DoyleNewYork
Ode to a Twitter spat: Simon Armitage and John Tiffany’s bird play https://t.co/EOLmbxuh2R,1520795371596832768,chi_ikwuemesi
It’s just something about them little black boxes from Tiffany &amp; Co. 🥴🥰😭,1520788735415226369,Qu33n_Tiffany
"Tiffany Witcher here! 
An Award-Winning  Accessibility/Chronic Illness Advocate and Charity Streamer! I also do Game Reviews, Speaking/Hosting at Events, and Voice Acting!
Let's work together! 
https://t.co/DGAQDu8VWJ
For business, inquiries email me at TiffanyWitcher@Tyrus.tv https://t.co/tKEAp6G0UO",1520786886306025473,TiffanyWitcher
TIFFANY &amp; CO. 2.5 OZ EAU DE PARFUM SPRAY WOMEN https://t.co/X58KKLmuRV,1520785590580621314,kieutra96347703
Check out this listing I just added to my #Poshmark closet: Authentic TIFFANY &amp; CO Heart &amp; Key Sunglasses. https://t.co/TGv4dssgew #shopmycloset @poshmarkapp,1520781411942236160,FabFashionistaa
