full_text,tweet_id,screen_name
".@MichaelRyne had the most Skater of the Day wins with a massive 26!

4 - David Pastrnak, Kyle Connor, Roman Josi
3 - Artemi Panarin
2 - Joe Pavelski, Jack Hughes
1 - Thomas Chabot, Andrei Svechnikov, MacKenzie Weegar, Tomas Hertl, Dylan Larkin, Drake Baherson, Joel Eriksson Ek https://t.co/DqBiPBcZG3",1520901461110145024,FantasyNerdFix
"Hertl Will Play in World Championships, Says Sharks Need a Scorer https://t.co/tC5ndDp4kr",1520818109564829696,sjhockeynow
13 14 UD Upper Deck Cup Tomas H #hockeycards https://t.co/cLIxYr4oqH,1520761267899752453,gems_card
"https://t.co/KPQhXA9EDa

Tomas Hertl meets with the media at locker clean out day.

https://t.co/KPQhXA9EDa",1520469941803274241,ShopSJSHockey
"2022-04-29
Seattle Kraken - San Jose Sharks 3 : 0

SJS Tomas Hertl 19:52 0+0 0

#SeaKraken #SJSharks",1520260163013386240,CzskNhl
"3⃣0⃣0⃣ - Tomas #Hertl will play his 300th away games, before him other 10 players have recorded this milestone with Sharks' sweater. CONGRATULATIONS!

#NHLStats #HockeyTwitter #SJSharks @sharkvoice @BretHedican @SanJoseSharksPR @SanJoseSharks",1520152362945589251,SjSharksFACTS
tomas hertl is my one and only 🫶🏻 https://t.co/VkAg5Xi3Rz,1519902889447022592,mayloveshockey
"2022-04-28
Edmonton Oilers - San Jose Sharks 5 : 4 OT

SJS Tomas Hertl 18:47 0+0 0

#LetsGoOilers #SJSharks",1519884658363752448,CzskNhl
13 14 UD Upper Deck Cup Tomas H #hockeycards https://t.co/5E6Kcjy7et,1519831174616694788,gems_card
"Ryan Hartman has 34! goals this year. That’s currently more than:

Kevin Fiala 33
Brad Marchand 32
Nathan MacKinnon 32
Sidney Crosby 31
Tomas Hertl 30
Andrei Svechnikov 30
Mika Zibanejad 29
Mark Scheifele 29
Brayden Point 28
John Tavares 27
Anders Lee 27
Patrick Kane 26

#mnwild",1519817971677474822,B_Marsh92
Live look at Tomas Hertl’s knees. https://t.co/2Iwq7ss1VP https://t.co/jRLdds5cst,1519769955285184512,LockedOnSharks
"tomas hertl, confirmed the actual love of my life https://t.co/yurjxwLY1d",1519417354182004736,mayloveshockey
"Major milestones are in reach for several #SJSharks players including something Tomas Hertl hasn't done since the 2014-15 season.

https://t.co/x24kJ3Dm7w https://t.co/gu76rSGoUB",1519197837321416704,LockedOnSharks
"2022-04-26
San Jose Sharks - Anaheim Ducks 2 : 5

ANA Andrej Sustr 20:31 0+0 0
ANA Dominik Simon 17:10 0+1 0
SJS Tomas Hertl 19:16 0+0 -2

#SJSharks #FlyTogether",1519183007873212416,CzskNhl
13 14 UD Upper Deck Cup Tomas H #hockeycards https://t.co/rxZ9OY5JzU,1519136006003384320,gems_card
"San Jose #Sharks: Tomas Hertl is heading back home with the #Sharks! 

The #Sharks will open the 202... 
 
https://t.co/wk32gNOhk9
 
#California #Hockey #IceHockey #NationalHockeyLeague #Nhl #NHLWesternConference #NHLWesternConferencePacificDivision #SanJose #SanJoseSharks https://t.co/LQGBuKcbPt",1518884598687612928,raw_chili
"Tomas Hertl with a Goal vs. Vegas Golden Knights
https://t.co/A5cqhf9O9Q",1518507117250072576,VCP_Hockey
"Chicago resigns UFA Tomas Hertl $11,96M x 4",1518498048783093760,PMSLHockey
Tomas Hertl: Reaches 30-goal mark https://t.co/QsDzY6iPvs,1518473168108896256,RotoWireNHL
