full_text,tweet_id,screen_name
Extend Trea Turner @Dodgers https://t.co/65pz7YkDIe,1520911991115636737,Ariichiiyoko
Getting Trea Turner and Joe Ross for Steven Souza Jr. https://t.co/CkNxkOsxKh,1520911288309796865,TheAviator43
"Soto 2 TB ✅
Trea Turner 2 TB ❌ (0-4)
Phillies/Mets NRFI ✅

+582 parlay misses by a leg 

Let’s see if tomorrow is my day to finally hit 🤞 #sportscrapper #GamblingTwiitter",1520906742502150148,DegenJ28
Trea Turner is a waste of my time and will never be in another one of my bets.,1520904644192526341,FloKnows__
"Imagine trading away Trea Turner, Max Scherzer, and Kyle Schwarber and thinking you’re gonna convince Juan Soto to sign long term. Natitude!",1520904575204605952,dlbags
Trea Turner 2016 Topps Chrome R #baseballcards https://t.co/L20Ng4uJ5G,1520904470242246656,FinderCard
Good lord Trea Turner I despise you,1520903970998427650,thespinzone
"RECAP: Walker Buehler labored and Trea Turner had his on-base streak snapped, but #Dodgers won the series against the Tigers.
https://t.co/x08uoH3NEp https://t.co/jnNTPPsa9f",1520902711838838784,DodgerBlue1958
"Eric Haase grounds out, shortstop Trea Turner to first baseman Freddie Freeman.

Top of the 9th | 2 outs

#DETvsLAD",1520901567972474880,DodgersNation
2015 Bowman Chrome Trea Turner RC G #thehobby https://t.co/c8jdVatJYV,1520895927707439105,HR_cards
Thought Walker would get atleast 2 more strike outs 😭 but lux got a base just need Trea Turner to get a double or a base knock and a steal 😭,1520894940301213703,BrokeBoy__J
trea turner has the best walk up song on the dodgers,1520893895772573697,TREATURNERSZNv3
Trea Turner’s on-base streak will likely come to an end. He’s 0-for-4 and unlikely to come up again.,1520892458334257153,snidog
Trea Turner’s on base streak coming to an end? We need a new SS,1520892132017393664,DeTrinidadJames
"Trea Turner flies out to center fielder Akil Baddoo.

Bottom of the 7th | 2 outs

#DETvsLAD",1520892004724449280,DodgersNation
Looks like the Tigers will end Trea Turner's on-base streak at 39. He's 0-for-4 today.,1520891957752393729,cmccosky
"Well, unless something crazy happens, Trea Turner's on-base streak is ending at 39 games.",1520891764109824000,DodgerBlue1958
Check out Trea Turner 2015 Panini Contenders Old School Colors #33 RC https://t.co/0YA062Etv0 #eBay via @eBay,1520886987103690753,GoatpicksC
"Trea Turner called out on strikes.

Bottom of the 5th | 2 outs

#DETvsLAD",1520883700740747264,DodgersNation
"#Tigers 0 @ #Dodgers 4 [B5-2o]:

Trea Turner (looking; 1)

LHP Eduardo Rodriguez (3)
Seq (5): FC ch ch FC FF
s3: 92.7mph Four-seam Fastball",1520883522956840962,whifftracker
"Austin Meadows pops out to shortstop Trea Turner.

Top of the 5th | 2 outs

#DETvsLAD",1520881937404940288,DodgersNation
"Eric Haase grounds into a double play, second baseman Gavin Lux to shortstop Trea Turner to first baseman Freddie Freeman.   Akil Baddoo out at 2nd.    Eric Haase out at 1st.

Middle of the 4th | 3 outs

#DETvsLAD",1520878920614129665,DodgersNation
"Akil Baddoo singles on a soft pop up to shortstop Trea Turner.   Tucker Barnhart to 2nd.

Top of the 4th | 1 out

#DETvsLAD",1520878161608642561,DodgersNation
"Tucker Barnhart singles on a ground ball to shortstop Trea Turner.

Top of the 4th | 1 out

#DETvsLAD",1520877658887770112,DodgersNation
Extend Trea Turner now! Most consistent hitter on the team! That’s my short stop! #Dodgers lead 4-0,1520871819040813056,mpier42
"DODGERS SCORE!
Trea Turner grounds out, shortstop Javier Baez to first baseman Harold Castro.   Mookie Betts scores.

Tigers: 0
Dodgers: 4

Bottom of the 2nd | 2 outs

#DETvsLAD",1520871617978535936,DodgersNation
Trea Turner grounds out but allows Mookie Betts to score. 1 on 2 outs. 4-0 Dodgers,1520871570977308676,dedicateddodge2
"Trea Turner grounds out, but it brings home another run!

Dodgers lead 4-0.",1520871567038713856,DodgerYard
RBI number 18 for Trea Turner. Dodgers up 4-0 on this second inning.,1520871544385200128,DodgersTailgate
Trea Turner brings a run in on his groundout. #Dodgers up 4-0 now.,1520871424566591488,DodgerBlue1958
"All Dodger batters OPS to start May:

Freddie Freeman .850
Chris Taylor .813
Austin Barnes .812
Will Smith .810
Mookie Betts .731
Trea Turner .724
Gavin Lux .723
Cody Bellinger .713
Edwin Rios .654
Max Muncy .586
Hanser Alberto .533
Justin Turner .525
Zach McKinstry .000",1520869852692369410,2Rawsko94
2014 Leaf Trinity Silver Trea Turne #thehobby https://t.co/kIaLL6Tn0h,1520864965397204993,cardboardpromos
"Trea Turner flies out to right fielder Austin Meadows.   Mookie Betts to 3rd.

Bottom of the 1st | 1 out

#DETvsLAD",1520863317094412290,DodgersNation
