full_text,tweet_id,screen_name
@MLB So Trevor Bauer is suspended 2 years....for an accusation? Can this commissioner do ANYTHING right? I mean the charm of the leagues being different is GONE. The prices are outrageous and now....players not even proven guilty are suspended for YEARS?  Lawsuits are coming.,1520914060316979203,danimal09752
Dodgers Pitcher Trevor Bauer Suspended Two Seasons Over Sexual Assault Charges https://t.co/XXD1qW2eaI https://t.co/XaadtF6AJg,1520911845187596288,real_DRN
Dodgers Pitcher Trevor Bauer Suspended Two Seasons Over Sexual Assault Charges https://t.co/MK1Rcg8jlI,1520911481809817601,Constan70997526
Lights Out Trevor Bauer https://t.co/XhNNnrO2La,1520910986747777024,EricGilde
"Yep, said this as soon as the Bauer suspension was announced. 

MLB’s Trevor Bauer suspension now looms over the NFL’s Deshaun Watson investigation #TrevorBauer #DeshaunWatson #MLB #NFL #Dodgers #Browns 
 https://t.co/UTgdp7WZNa",1520910855252099072,darrylwalter
"""Los Angeles Dodgers pitcher Trevor Bauer receives two-year suspension from Major League Baseball""  https://t.co/ncDCguDDAx",1520910615472373760,Comixgrrl
"MLB: Dodgers RHP Trevor Bauer accused by 3rd woman https://t.co/W3xPAJBwQg via @Yahoo .
SO, a guilty verdict was never announced and all of a sudden another 'victim' comes forward... Times are tough, everyone wants money ...",1520907945164292098,concern53191556
Unreal. https://t.co/M0GIJlYYH5,1520906396665094144,reynoldsdc94
In The Batters Box Monday night discuss the Trevor Bauer decision as well as MLB first no-hitter. 8 PM EST on @NGSCSports #BaseBall,1520902608981938176,radiodoucette
Trevor Bauer says what https://t.co/D5JhYOqZRy,1520900721931079680,MikeP0330
Trevor Bauer's Two-Year Suspension Is an Absurd Miscarriage of Justice https://t.co/qJDSKz7mnI,1520896966120591367,EynoufElizabeth
"RIP NFL!

https://t.co/Qi3aDl7vRQ",1520896953051140104,TotalProSports
Trevor Bauer has looked like exactly what you think he is. https://t.co/DOfdIIIo0p,1520895748610486272,ashleyniicole
