full_text,tweet_id,screen_name
I’m watching Tyler Perry’s Sistas and Gary and Andi have one toxic relationship.😂,1520912755322093568,iamActuality
“Tyler Perry” https://t.co/M5DGiO9Oo7 https://t.co/J8jKOUK7vW,1520901764668612613,Makyle_Ice
Boondocks said Tyler Perry asked God how can he better serve him and God said start cross dressing 💀💀💀,1520901375038738433,AceGxd216
"Tyler Perry please, new episode of Sistas.. I'm literally begging",1520898356767338496,Lillian_dt
"Tyler Perry’s Medea’s The Joker 

and he’s like “uhh hellurr wanna know how I got these scurrs”",1520895837659881472,TommmyBear
Has Tyler Perry ever made a movie where black women aren’t suffering???,1520892418714914823,asplatofcum
"Mike from Tyler Perry's Why Did I Get Married? — Richard T. Jones 

@richjonesactor https://t.co/HscDH9vMZj",1520892264448417793,TrizzeTrell23
not a tyler perry fan but “oh so you doing the bending” is artistic genius,1520891957672923139,sisacli
"If 5o cent, Tyler Perry, Oprah, and a few other black a list Hollywood celebs came together and started a network shìt would be so powerful",1520891190505357314,ABMVINCEE
"I wouldn’t be surprised if B7 visuals have been/will get shot at Tyler Perry Studios, with some shot in the middle of the ocean when she was on that cruise ship to avert anything being leaked. https://t.co/iVZDZbjqbe",1520890166256230400,sadgurlAmor
Tyler Perry should play joker 😂😂😂,1520882993316913156,ShellzJG88
the chokehold tyler perry has on horrible movies is unbearable,1520881216446115841,EdBussy
What dirt does Tyler Perry have on BET network??? They keep pushing his horrible tv series 🥴🥴🥴🥴 https://t.co/7LYYhUxFrZ,1520875979052306437,adaezeforever12
Tyler perry is gay #lgbtpride,1520872592990564352,tem3rity
"Chile so I’m not even 2 minutes into #trophywife and something in my spirit is telling me the husband is either gay or cheating on his wife. 

Y’all know how Tyler Perry always throws a plot twist in there. 🥃",1520866723951427584,ElNinoMang
Tyler Perry Assisted Living Is Funny 😂😂,1520864335370850305,Mack_Dope
