full_text,tweet_id,screen_name
Check out this listing I just added to my #Poshmark closet: UNIQLO Men's Dry-Ex Shorts XL Navy. https://t.co/jMmPLFQL0d #shopmycloset @poshmarkapp,1520915521398444033,PoshMrsClaus
Im gonna give iora @ uniqlo a try. Stress!,1520911672327946241,aiysirtabhaisa
Wife beater Uniqlo 🤌🍝 https://t.co/QPO2uKR8Iq,1520910762273021953,pesonatama
Check out this listing I just added to my #Poshmark closet: Linen Uniqlo cardigan| Medium | lightweight casual| black|Soft| Pointelle Knit. https://t.co/dLZQe948c2 #shopmycloset @poshmarkapp,1520908768174739456,suzyqofficial
just remembered there’s uniqlo in vancouver and my trip gets better and better,1520908672754663425,iguessitsbrett
Not the Uniqlo U Oversized Airism T-Shirt LMAOOO https://t.co/ytfYoFFbWZ,1520908357531582467,xdudeitshannah
So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @Cruz32785341 #poshmark #fashion #style #shopmycloset #uniqlo #oldnavy #unknown: https://t.co/xPJXArbUc8 https://t.co/jRor8nt9hL,1520908304288935936,rhondaskibsted
"Uniqlo Peko chan Brand Girl Design Short Sleeve UT Graphic T-Shirt Womens Size M
.
🎀
.
#peko #pekochan #pekochanthailand #pekopekoyama #girl #girldesign #shortsleeve #uniqlo #ut #uniqlout #graphic #graphictees #tshirt #shirt #forsale #selling 
 https://t.co/1UjGjA2VmR",1520901681415962624,GoodOleFashion_
THERE WAS ONE JJK 0 X UNIQLO SHIRT LEFT AND KT WAS THE GETO ONE I WONDHSUSU,1520900354732589056,BERRYF4RM_
Check out this listing I just added to my #Poshmark closet: Uniqlo High-Waist Chiffon Pleated Skirt in Black Medium. https://t.co/QJefjWOFZf #shopmycloset @poshmarkapp,1520900273522151424,Posh_dmarielim
my final fantasy shirts from uniqlo just got shipped https://t.co/QsdoqF6AlZ,1520898410500530176,staroftherogue
"Savings ""ad:"" Uniqlo Men’s Large Super Non-Iron Slim Fit Button Down Dress Shirt Light Blue - https://t.co/LcUiLFQzvq https://t.co/YeqYtgHDMB",1520890591516766212,XenaGifts
Uniqlo has me in a chokehold,1520887224480452609,onajoyyride
"Might need to buy thicker jackets for this coming winter 🤔🤔

Uniqlo shopping ( ? )",1520886634887413760,dejected_entity
I ACCIDENTALLY BOUGHT JAMES A WOMENS FLANNEL FROM UNIQLO ALSJKSBCKANXOSB,1520882823552397312,Josememe_
So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #uniqlo #unityworldwear #koolaburra: https://t.co/xhomS1Zkqv https://t.co/e6vFCZAF9M,1520877985141714944,Today_OnThe_Web
life update: my airism Uniqlo polos have become slightly SUN FADED,1520877682397003777,hosalmons
"Had a dream where I was helping the slasher, to being killed n as I died it became a fucking ad for uniqlo",1520869028134526976,talljosh27
I want the ffxv uniqlo shorts please,1520866959545577478,gloomylio
uniqlo shirts have the worst proportions to them,1520863543746514944,timedclassic
I'm buying the uniqlo vol 0 getou shirt even though he's ugly and he would call me a monkey,1520863165638225921,go9osatoru
walking from simons to uniqlo in Edmonton vs walking from simons to uniqlo in Vancouver. distraught https://t.co/tWuK2ckwc4,1520856724680323072,kategblack
"I had to drop everything and make the one thing I’ve been thinking of since that FFXVI Uniqlo shirt dropped, Ifrit just had the BIGGEST 3 wolf moon energy I’ve ever seen?? #finalfantasy #finalfantasyxvi https://t.co/nZfShadFXL",1520850761965613061,sabersiravarde
"Savings ""ad:"" Uniqlo Midi Dress Size Medium- Linen Blend Shirred Sleeveless Pinafore Navy - https://t.co/gK9qMkD0VM https://t.co/KPpChQhxMr",1520843804273750027,XenaGifts
"Just went to Uniqlo at my local mall, they have self checkout, u put your items in a bin and follow the prompts, very simple! I never saw that b4 for a clothing store!",1520839329513455619,Richardkimble45
uniqlo x ff collection goes hard,1520835536805576704,Skylian2
"I have decided to love the person who buys me jjk merch internally 

Have you seen the uniqlo line up ?!!!$!;$/!",1520835061922336768,TUTUVRSE
"UNIQLO + UTme! Asakusa Store Tamagotchi Event Ends This Weekend If you’re in Japan, head over to the Asakusa UNIQLO store this weekend! Bandai Japan has just announced that the Tamagotchi 25th anniversary decorations will be up int he store... https://t.co/VhFeaLbERC",1520833150267666432,TamaPalace
"Check out Uniqlo Mens Size L Large Tshirt, Sweatshirt and Sweatpants Neutral Comfort https://t.co/PnxORXP7Bn #eBay via @eBay",1520827070208741376,cheeky_vintage
So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #topshop #uniqlo: https://t.co/FP2CRftcyu https://t.co/vX3e68fEx6,1520817230425985026,Saguaro_Pines
"Uniqlo tees are supreme. Went back for more.

There’s a fire forest green color that’s discontinued but if I’m store, it’s only 9 bucks.",1520812031494049793,reesonabledoubt
"Final Fantasy 35th Anniversary Uniqlo Collaboration

#FinalFantasy #UNIQLO https://t.co/I1vmHIFRHt",1520806619759607808,iken55
#FinalFantasyXIV Yoshi P. slaying it as Uniqlo's latest model https://t.co/8q3AuwXFCl,1520803768555737089,UnusualPrivateI
"Savings ""ad:"" UNIQLO U Christophe LeMaire Medium Lightweight Denim Coverall Jacket - NWT - https://t.co/iciJBh9uS7 https://t.co/YuHIRpp4Nw",1520798498605703168,XenaGifts
"I'm totally not working on a #noctifa Uniqlo t-shirt pic. Nope, not at all 👀👀👀👀",1520793773818761216,zomziekitten
Uniqlo waffle long sleeve tees thats it thats the tweet,1520790319712944128,tmn_04_
So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #anthropologie #lululemonathletica #uniqlo: https://t.co/HrPufNuaMp https://t.co/P35RG6xXnp,1520787255895670789,m2monahan
Tomorrow. I'll join the ultimate battle at uniqlo in my hometown,1520785795174387712,KoireFF14
German Uniqlo seems like they aren't selling the Final Fantasy shirts this is killing me.,1520785001951940609,YoshikosIsland
"🏆
John C Jay, President of Global Creative, Fast Retailing. Savvy Awards Winner 2021.

⚡️
#savvy #savvyawards #innovation #creativity #award #prize #winner #jury #johncjay #uniqlo #fastretailing

🏴‍☠️
⁦@UNIQLO_JP⁩ ⁦@UniqloUSA⁩ ⁦@UNIQLO_France⁩ | @phunk https://t.co/RwZ2Mc3NKk",1520784284772098050,savvyawards
"ootd celestial brainrot
shirt uniqlo
skirt handmade
necklace @potatokaze https://t.co/3CR2yJRvgB",1520781840298258433,_Rakuji
Just bought a Inosuke shirt from Uniqlo 😌 It's too cuteeee 🥺🥺💖 https://t.co/Sd6k71Ywuz,1520779117133955072,HeyunLe
ive waited months for this shirt to drop in the us only for ugly ass uniqlo not to have it in stock https://t.co/2xl2XfOPFm,1520775718271078403,vougehwi
uniqlo hits different,1520775589539373057,popopokido
"Playful And Colourful Everyday Wear For The Uniqlo X Marni Collaboration

Playful and bold colours and sophistication of designs are the main elements to expect ahead of the new collaboration between Uniqlo and Marni, launching on May 19th.

https://t.co/YEYA5QwByq https://t.co/sILK5tNoy0",1520772643334635528,nwmagazine
Not a fan of Uniqlo x Hana Tajima collection,1520772532395458561,krizacutie
Literally everyone rn 😂 but also me shopping panic malam raya penuh oi uniqlo https://t.co/3L26GXtobf,1520770723991621632,linadiyanaa
uniqlo is dropping a final fantasy collection pls i can't contain myself lol,1520766093039521793,mothgiirl
kinda wanna get the jjk tshirts from uniqlo lol but I need to watch it first 🤣,1520763702550548482,sasaiichan
"dying at min and tooza calling me from uniqlo like ""hey do u want a getou shirt. There's so many of him""",1520763369665486853,honeybakedtea
i wanna order the ff uniqlo shirts so badlg@please,1520763291102027781,formshifts
"For many years my PJs have been whatever's left on after getting undressed for bed. Today I bought these on a whim, and omg I feel like George draped in velvet. I'm never taking them off again. I've been missing out on this for how many years?!?

https://t.co/EKXOf8a4Bc https://t.co/mBqRcYELv0",1520762785017503744,waxercat
Jacket is from my $200 uniqlo splurge and the bathroom isn’t mine 🫶🏼 https://t.co/2uGxMlQNhE,1520762530829942784,lp__gj
"My bf is still panic shopping🤣🤣 What to do with this one eh? He already bought 5 shirts, 3 pants, 1 pair of shoes, 1 pair of sneakers and 1 pouch bag~ but just now he went to uniqlo to buy another 3 shirts and 1 pants🤦🏻‍♀️",1520757832827940864,hunniewifey
"Left the break fasting buffet as soon as raya announcement was made &amp; rush to @1UtamaOfficial to do that last minute shopping. we went to Aeon, Uniqlo &amp; H&amp;M .. we were done by 910pm! And then rush to BTS ITS pop up store to buy last minute order for @angelizblur 🤣 What a rush 🤣 https://t.co/53Jdtq947i",1520756472413822977,JaManIsReal
"Top Tweet: UNIQLO https://t.co/cSnjMrjvyB, see more https://t.co/qzA21IsDnV",1520754945687011330,stemcells21
I think sport apparel like adidas or puma got nicer design than uniqlo only if ppl r willing to afford $50 per T-shirt…haha…and I will choose adidas streetwear if wanna look trendy,1520754820071976962,YuisDave
mad that my uniqlo order didn’t come yesterday like it said it would,1520754719412690945,imaIostcause
i really should not be let loose inside a uniqlo store,1520752759649169410,ruthjinclare
"I was at uniqlo yesterday and thought ""doesn't this look like an uno mofu mofu"" when I saw this shirt 😂 https://t.co/kwx1ARfkol",1520752245599576070,shomattroi
We had a little poolside bbq. Despite the relative cold. Emergency uniqlo helped us both. https://t.co/MJYUWyV97D,1520751100449927170,makkoruden
anyways why tf my mall's uniqlo only have ffvii and ffxv tshirt :(,1520747960128389120,ninsary
i'll probably spend a day roaming around uniqlo branches for ff shirts hh,1520746045688651776,stellis_ffxiv
Indonesian garment workers take on Uniqlo https://t.co/89wEEbuCqQ,1520744417040408576,niningasih
Nooooo I'm so upset they only just started selling the FF x Uniqlo collab shirts last Friday but it seems like the FFVIII tee I wanted is already sold out. 😭😭😭,1520741226257199104,modorenai
sg i stg if you don't bring the ff uniqlo collection,1520740962150252544,kamyuris
"#UNIQLO #ユニクロ: For your everyda ...
 
https://t.co/CizOWh8IJV
 
#CiaoNihon #Japan #Lifestyle #UNIQLOユニクロ #ユニクロ #ライフスタイル #生活様式 #Innerwea",1520740851680366592,CiaoNihon
Uniqlo got some of my money this morning. 💸,1520739768182710272,kingxzai
"Due to popular demand, we have added stock of a few more Final Fantasy 35th Anniversary Uniqlo t-shirt box sets. Please note the price is based on the resale price of the item as it is currently sold out everywhere.
https://t.co/xQ35w7nHbm https://t.co/jMFQL5Rm7y",1520735464923471872,AitaiKuji
not the ff13 shirt being sold out from uniqlo. you bitches never want to see me thrive 😭,1520735372539723776,thousandwxnters
Got myself FFX and FFXIV UT from Uniqlo. Sadly there’s no FF13 UT. https://t.co/XPnlFRuSra,1520734840101896193,IamKuroR
Uniqlo is a hidden gem for quality affordable basics,1520733564115079171,brunchnbeauty
"I fell into Uniqlo and this resulted in Mama G buying me the new Jonathan Anderson coat for my birthday (three months early) 
Oh and two tops and a dress but that was all me. https://t.co/SOBCR7FsRJ",1520731664103747586,EmiGarside
"Uniqlo T-Shirt Andy Warhol Kawamura Campbells Soup Graphic Tee White Mens Large
.
🥣
.
#andywarhol #andywarholart #kawamura #uniqlo #uniqloshirt #shirt #tshirt #shirts #thrifty #thrifted #graphictee #graphictshirt #campbells #soup #campbellssoup 
 https://t.co/YUAniO5CwY",1520728419524390923,GoodOleFashion_
Check out this listing I just added to my #Poshmark closet: Uniqlo + Lulu Guinness Tank Blouse Black Cat Print. https://t.co/8yQTdBYLRW #shopmycloset @poshmarkapp,1520726671468363777,lyndilane
Im sorry uniqlo this is NOT what i ordered i need a refund NOW https://t.co/2KzCFx4EaW,1520725623446339585,canduuuuus
"Got my hands on the UNIQLO FF16 t-shirt today! It’s such a great design! &gt;&lt; 

#FF16 #UNIQLO #finalfantasy https://t.co/RzzgSLBNV7",1520724385946292224,ACupOfNick
I went to the #UNIQLO  Vietnam store to take a look #FinalFantasy 35th collaboration. Not every designs are released yet and the card packs are unavailable 🥹 https://t.co/GeI8t1yDOz,1520723415887671296,lethuyngoc
"welp, Uniqlo was already sold out of most of the FF shirts, but I did manage to snag a XII https://t.co/kgJoRGKHPp",1520722297757200384,pitohui
I absolutely LOVE the fanart of FF characters wearing the Uniqlo shirts of their own game ❤️,1520720138106023937,sultrymistress
"Savings ""ad:"" Uniqlo Airism Cotton Crew Neck Black Mens Medium Short Sleeve T-Shirt - https://t.co/ndw8PoPZDI https://t.co/CIFJSLyxuY",1520713940384333825,XenaGifts
"This Uniqlo mask in size S is like the closest a store bought one has got to fitting my face, they always gape wide open!! https://t.co/2fp9L3bss8",1520703608366731264,c3convertase
Sorry but gotta say I don't see Unique cloth from Uniqlo 🤷,1520698038980734976,aadjasj
"Achievements unlocked:

- Going into branded store with shabby uniqlo clothes and slippers

Hidden Achievement unlocked:
- Spilling water EVERYWHERE in a brand goods store... https://t.co/uXMDUAMpj8",1520688650924789760,peiqi5729
