full_text,tweet_id,screen_name
one of my goals this month is to really work on my financial skills and money management and so i need to delete the urban outfitters app &lt;/3,1520913833539170304,moonbloomer
URBAN OUTFITTERS SUPPORTS LAUNCH OF SMILEY X ANDRÉ SARAIVA NFT AS PART OF 50TH ANNIVERSARY . Legendary graffiti artist André Saraiva creates custom artwork for a collection of 500 NFTs to celebrate 50 years of Smiley.,1520909045758316544,luyi78132843
URBAN OUTFITTERS SUPPORTS LAUNCH OF SMILEY X ANDRÉ SARAIVA NFT AS PART OF 50TH ANNIVERSARY . Legendary graffiti artist André Saraiva creates custom artwork for a collection of 500 NFTs to celebrate 50 years of Smiley.,1520908946844045312,jiangtu0916
Urban Outfitters’ out from under range is so excellent 😪😪😪😪😪,1520908880921903106,moiyayaya
The clientele of G-A-Y tonight is single handedly keeping Urban Outfitters crop top section afloat,1520906994810593281,_r0bbie96
Check out this listing I just added to my #Poshmark closet: URBAN OUTFITTERS dress. https://t.co/aOVb4YNYMO #shopmycloset @poshmarkapp,1520901320340754432,repsracesrepeat
im at urban outfitters and rhey olayed blackpink ans theyre currently playing 2ne1,1520899723615293440,he6j1n
Urban Outfitters is the worst clothing store ive ever been to,1520891457371983873,cuhteyjuh
"Me on my way to Herald Square’s Urban Outfitters on May 9th:
 https://t.co/ZrTbceOK3x",1520891182049599488,RICOSARMPITS
"Savings ""ad:"" Urban Outfitters Top New 5 Size Medium Red Black Plaid Button Down Rock Retro - https://t.co/LU2OYqZjau https://t.co/LrQKIoRHzb",1520890569840599041,XenaGifts
I'm going to place my Urban Outfitters order and my Sanrio order this month. I'll do it as soon as possible.,1520876036438769665,altundalchichek
Those depop girlies going to hell for selling that Urban Outfitters modern love corset for 100+...wish I could spit on em https://t.co/2uFiRjNICd,1520875743940644864,IndieIvar
yesterday me &amp; anthony stood in urban outfitters for 30 mins reading our zodiac signs in all the astrology books 😂 ♉️ ♍️ https://t.co/pf3QcAKck2,1520875497176977408,st0ned_rose
I saw that Ed Hardy is making its comeback at Urban Outfitters I never threw out my Christian Audiger hat for this exact reason 😌,1520873868046610433,cammiemark
If you get a shirt from urban outfitters it’s prolly gon be pretty cool but 30 million other people gon have it too 🤣,1520863474192195585,noahwilliams24
Check out this listing I just added to my #Poshmark closet: Urban Outfitters | Striped Longline Cardigan | XS New with Tag. https://t.co/64pS2swG79 #shopmycloset @poshmarkapp,1520862429118300160,elleannchic
"Urban Outfitters - Women’s &amp; Men’s Clothing, Accessories &amp; Home https://t.co/8QG5fO8uwh",1520860182783397888,stephcouponsxx
This hat at Urban Outfitters.... https://t.co/H8iNLdSFpl,1520857468296859649,ExpansionOnly
"“hey google, how to be slut” (in urban outfitters)",1520857243108872192,fergusonjula
Check out this listing I just added to my #Poshmark closet: Champion Urban Outfitters Strawberry Striped Hoodie. https://t.co/KsoQtySlR4 #shopmycloset @poshmarkapp,1520856527761944576,TxThrifty
"Savings ""ad:"" NWT Urban Outfitters Patchwork Overall Dress Size XS - https://t.co/JwEcbMo656 https://t.co/Lhoc7KCfbL",1520847717882286083,XenaGifts
Whenever I see a babe wearing the Josie top from urban outfitters I just know they’re a bad bitch,1520846504801542144,_tolsss
Check out this listing I just added to my #Poshmark closet: Urban Outfitters Silence + Noise Iridescent Sequins Mini Dress Green Size M. https://t.co/L9iSiqcVol #shopmycloset @poshmarkapp,1520842449513418753,eBayVick441
"🚨 Tell @UrbanOutfitters to #EndUyghurForcedLabor 
  
Did you know URBN does not disclose the steps it has taken to address the risks of employing Uyghur forced labor across its supply chain tiers?
  
📧 Send a message to URBN CEO and take action today: https://t.co/dMHWnl6Xja https://t.co/630SCiOiHi",1520840511673745412,freedomunitedHQ
I guess I finally burnt myself out from urban outfitters,1520836994456113152,Johnnyv78
Urban Outfitters at Danbury Mall got like 20%men and 80% women clothing 💀,1520836113824366595,CoachA_Train30
"a staff member in urban outfitters asked me if i needed help today, i’ve finally made it",1520834900018044929,beckiegkgn
someone at urban outfitters is praying on my downfall,1520830336459952128,annikaceIeste
