full_text,tweet_id,screen_name
We put Victoria Beckham's pet goat (who works as an soldier) and their monitor in a passionfruit and now they are feeling lost,1520907859768184833,purpsbear
"HAPPY BIRTHDAY APRIL 17th; Singer Victoria Beckham,48; Actress Phoebe Dynevor,27; Model Emily Feld,19; Actress Jennifer Garner,50; DJ Ryland Lynch,25; Rapper Ryujin,21; Actor Ahn Hyo Seop,27; Actress Kyla Drew Simmons,18;BEST WISHES &amp; GOOD HEALTH TO ONE &amp; TO ALL!!!",1520904797070708736,PoetBronx
Victoria Beckham at the MET Gala  💃🏻 (05/01/06) https://t.co/ddzAvOYiK1,1520903765452550145,MichaelEnvy
"Victoria Beckham at the #MetGala (May 01,2006) https://t.co/I7xOznPi2z",1520899065919131648,MichaelEnvy
Check out this listing I just added to my #Poshmark closet: Victoria Beckham pants. https://t.co/npDL4QCZYs #shopmycloset @poshmarkapp,1520878349949693952,THEKristaT
"Victoria Beckham's daughter Harper, 10, dons adorable pink pig onesie
https://t.co/BowLf2tggN",1520876274822139905,NewsfeedsMedia
"Victoria Beckham's daughter Harper, 10, dons adorable pink pig onesie https://t.co/kcnAQxta41",1520873708037894144,smackgirls
"Victoria Beckham’s daughter Harper, 10, wears an adorable pink piggy jumpsuit https://t.co/EbXKj08kYG",1520867338987483136,ny_breaking
"Victoria Beckham’s daughter Harper, 10, wears an adorable pink piggy jumpsuit https://t.co/rYMk31zaz2",1520867288550940672,Eumail_24
"Victoria Beckham’s daughter Harper, 10, wears an adorable pink piggy jumpsuit https://t.co/eGqcW5kO2z",1520867279763877888,9_breaking_news
Nobody Saw Romeo and Juliet !!! But I somehow believe that it’s true when I watch DAVID And VICTORIA BECKHAM. They’re the Happy Ending Versions Of Shakespeare’s Drama. #DavidBeckham #Victoriabeckham https://t.co/xfMI8doqnd,1520859150250430464,PCWave18
Victoria Beckham catches the eye of her husband David in an LBD https://t.co/JllQeYFEfO via @DailyMailCeleb,1520847374796701697,GinaLawriw
Victoria Beckham's daily diet of 25 years isn't for the faint-hearted https://t.co/jXx0e8WE0h,1520816266763665408,TrumpGirlDenise
"Victoria Beckham vs Julia Roberts, who would win in a fight?",1520801346517041152,abfkjabd
"Victoria Beckham a falar parece a Lady of Beckham, Countess of Spicygham",1520782061094723587,acidadebranca
Beckham busted in Victoria’s mini dress pic https://t.co/GT8Jp87c4z,1520758241248133120,NzuchiTimesUSA
Beckham busted in Victoria’s mini dress pic https://t.co/ObOKclyduz,1520750486818754562,NzuchiTimesUSA
Beckham busted in Victoria’s mini dress pic https://t.co/8YETfqRppC,1520744837817016323,NzuchiTimesUSA
