full_text,tweet_id,screen_name
victoria’s secret lip gloss is actually rly good,1520915556479619077,miabrennerr
Victoria's Secret Pink Damsel Pink Campus Tee &amp; High Waist Leggings W/Pink Scrip https://t.co/MvuwCmEpYf eBay https://t.co/etfcmxsqou,1520914855015837696,tops_women
Check out this listing I just added to my #Poshmark closet: 🌹Sale🌹PINK Victoria’s Secret Shorts. https://t.co/F1dH4hlO1H #shopmycloset @poshmarkapp,1520914197218873345,FavourAgent007
Victoria’s Secret and Pink Beauty launches on Amazon https://t.co/lKoE3IRtr5 https://t.co/qeQpBTUg0J,1520913470753026049,FNW_IN
Check out this listing I just added to my #Poshmark closet: Victoria's Secret VSX Sport sports bra. https://t.co/eVZrZ0pHEo #shopmycloset @poshmarkapp,1520913381238001664,manar_khairat
i think about this image So Often but am now realising that Seungkwan went to Victoria’s Secret for his sisters idk how I never even considered that https://t.co/1DRhFsntxG,1520912332527964162,bf_wonwoo
Check out this listing I just added to my #Poshmark closet: PINK Victoria's Secret Seamless Leggings. https://t.co/BA9mQJ8JmX #shopmycloset @poshmarkapp,1520911182835576832,mclan_posh
Victoria’s Secret.,1520910975171534848,vievararosel
Victoria’s Secret and Pink Beauty launches on Amazon https://t.co/20Mqb1q9f0 https://t.co/5jmiVLRQAc,1520910955995176961,FNW_US
Victoria’s Secret and Pink Beauty launches on Amazon https://t.co/WJLMlCTsmn https://t.co/JC6w71vk0f,1520910952610340865,FNW_WW
Check out this listing I just added to my #Poshmark closet: PINK Victoria’s Secret Half Zip Sweatshirt. https://t.co/8xC5z8vffN #shopmycloset @poshmarkapp,1520910942158016512,mclan_posh
Check out this listing I just added to my #Poshmark closet: Victoria’s Secret Sweatshirt Hello Angel Peachy Pink Coral size Extra Small Cute. https://t.co/29sO9rS0zg #shopmycloset @poshmarkapp,1520909070827331584,CynthiaKGibson
"Victoria's Secret
VERY SEXY
NEW! Mesh Bow Cheeky Panty 
https://t.co/MAiDM24xhj #Victoria'sSecret",1520907698895990784,PI_VSPS
