full_text,tweet_id,screen_name
@FlaPanthers beat Washington capitals take out Tom Wilson start a fight,1520912179285082112,daveosborne301
"#Washington #Capitals: may we interest you in some postseason hype?... 
 
https://t.co/EO7qTx3tpY
 
#DC #Hockey #IceHockey #NationalHockeyLeague #Nhl #NHLEasternConference #NHLEasternConferenceMetropolitanDivision #WashingtonCapitals https://t.co/GyFYO6epIo",1520909459563978753,raw_chili
"Check out my latest episode of Dylan's Discourse to get you ready for Game 1 of the playoffs this Tuesday night! #TimeToHunt #FlaPanthers 
https://t.co/j7n5EJ4R1J",1520906834009370626,miamiguydylan
"#Tehran sees the #IRGC delisting as a prerequisite for any deal, while the #US sees it as a separate issue. Whether the onus is in Tehran or Washington, it’s obvious the issue is a landmine that decision-makers in both capitals want to avoid https://t.co/y0wOa4Lwrg @alihashem_tv",1520885778619850754,TheIranPulse
There are fans of the Washington Capitals?,1520883471576551424,nhlshitpost
2014: Jaroslav Halak traded by Washington Capitals to New York Islanders. https://t.co/vALEGEED3o https://t.co/23uIG2MTwZ,1520878226930814976,GoalieHistory
ALEXANDER OVECHKIN ROOKIE CARD  #hockeycards https://t.co/gMHF9EBUOd,1520876136414302208,gems_card
"Don’t forget to check out my 2022 Washington @Capitals playoff pump up video I just dropped!

We need all the hype we can headed into the absolute fire in Florida

@ChirpinDMV #ALLCAPS https://t.co/dbZQ729Ahf",1520874660442906624,Bdotlittle
Washington Capitals will Upset and Beat  Florida Panthers in four straight and upset rhe whole playoff bracket,1520862599189086208,APMORRA
Ok well I got back on hinge bc I was bored and don’t really know anyone in nova and wanted to talk to people and now I’m going on a first date to a Washington Capitals playoff game … not too bad,1520859588920233984,katiecabletv
Washington Capitals Regular Season Roundup - https://t.co/BmyKZxChu9 via @LastWordOnPuck,1520857152474296330,lastwordonsport
"2022 #StanleyCup Playoffs
1st Round: Game 1
Washington @Capitals at @FLAPanthers
Tuesday, May 3 at 7:30 pm on @BallySportsFL and @ESPN 2
#WSHvsFLA https://t.co/2QOOze1jFV",1520852619811561474,rocker93rock
"Previewing the first-round series between the Florida Panthers, winners of the President's Trophy, and the Washington Capitals. 

Key matchups, x-factors, predictions &amp; more! 

Watch: https://t.co/uifkASGYRM
#THW #HockeyTwitter #TimeToHunt #ALLCAPS https://t.co/ioZflI4paE",1520846265101131776,TheHockeyWriter
"O Washington Capitals Brasil completa 9 anos hoje! 

The Washington Capitals Brasil turns 9 years old today! 

#ALLCAPS #BrasilTemNHL https://t.co/Plal8GKuJY",1520842320064794627,WCapitalsBR
"Florida Panthers vs. Washington Capitals – NHL Playoffs First Round Game 5 – Predictions, Betting Lines, Odds and Trends - SGPN https://t.co/egXgrVCNhH",1520839484572504064,Panthersview
@TomMoodyCricket sir move pooran to first down worst bowling we didn't expect this replace some batsman spinner in place of Washington Sundar Washington Sundar not performing well from last matches as batsman but please take it seriously the next match with Delhi capitals,1520827973196140544,LuckFebruary
"""It's going to be different mindset, it's going to be different speed, it's going to be different battle level.""

#ALLCAPS captain Alex Ovechkin discussed his injury, expectations &amp; more as the Capitals prepare for No. 1 Florida in Round 1 of the playoffs:
https://t.co/aWmVuJPpWV",1520815795588280321,WshHockeyNow
@LONTDC1 glad to see ladies of football taking an interest in our Washington capitals . We need all the help we can get,1520813182176145408,Coffeebeansteve
"After a day off on Saturday, the Washington Capitals returned to MedStar Capitals Iceplex on Sunday for their first workout of the postseason. The team will practice again Monday morning (10:30 AM) before departing for south Florida in advance of their

https://t.co/OZtznz3JIQ",1520803210100887552,ShopWSHHockey
"Lengthy playoff swoons will be on the line when the Florida Panthers take on the Washington Capitals in NHL first round action as heavy favorites on the NHL series prices @SBD 
https://t.co/BhctZLHN0Y",1520802493730639872,thepopgun
Florida Panthers vs. Washington Capitals Season Series Recap https://t.co/eWaE7ZFADS,1520798227091496960,CunningSports
"It really is a shame that Washington Sundar doesn't play for the Delhi Capitals.

#WashingtonDC 

#SRHvCSK #IPL2022",1520793746828275717,AndrewGigacz
1974-75. It was a long year for the Washington Capitals as they take on Darryl Sittler and the Toronto Maple Leafs at Maple Leaf Gardens. #ALLCAPS #LeafsForever https://t.co/Wet63Uwhdd,1520787880712540160,hockey_samurai
Washington Capitals. Wild Animals. Gianna Michaels. Don’t matter. Panthers in 5. #TimeToHunt #FloridaPanthers @FlaPanthers https://t.co/bvekdPXPdk,1520786998948245505,HigherVoltages
"Alex Ovechkin took the ice for practice, Zach Fucale joined the mix and the Capitals kicked off their postseason run with their first practice before their first-round series with the Panthers.

Here's everything to know live from Arlington 📝:

https://t.co/EAFLqU3mvW",1520781238205915136,WshHockeyNow
"Florida is -220 in Game 1 vs. the Capitals.

The Panthers are -340 in their series with Washington. https://t.co/8cAZWYNBv6",1520775692635369472,WillieGRamirez
"$5.00 - Shipping Included: (🇺🇸 / 🌎 - PWE)
Player: Ilya Samsonov
Team: Washington Capitals
MFG: Upper Deck
Year: 2018-18
Set: S2 - Young Guns

@ReplinApp Feedback:
⭐ 5.0 (399 Ratings)
✅ eBay: krupp-34 (142) 100%

https://t.co/2YsR3YXLeE

@HobbyConnector",1520771124987973633,RockyMtn_B_A
"The #ALLCAPS have brought up Zach Fucale from Hershey as the team ponders its netminding situation.

Still, having three goalies in the playoffs isn't out of the norm📝:

https://t.co/gDyMyxXtfv",1520770287637303296,WshHockeyNow
SPENGLER CUP CHAMPION Zach Fucale recalled by the Washington Capitals ahead of the playoffs. You love to see it 😁,1520766435177414656,tristandamours
"We're one day away from the best time of year: the #StanleyCupPlayoffs | @GamblingPodcast 

NHL Playoffs Best Ball - How to &amp; Strategies: https://t.co/8PfpSgIbmC

NHL Playoff Previews

Atlantic: https://t.co/564748v9c3

Metropolitan:
https://t.co/564748v9c3

#StanleyCup",1520765986881736706,RGilbertSOP
Do the Washington Capitals still exist?,1520732471007997952,nhlshitpost
2022 Stanley Cup Playoffs: Panthers vs. Capitals first-round preview https://t.co/jrFXgF0mhm via @NHLdotcom,1520725276463878146,kittycatrj
2022 Stanley Cup Playoffs: Panthers vs. Capitals first-round preview https://t.co/dO6y6UVUmg via @NHLdotcom,1520724030000701444,robjannetty
"WASHINGTON

ATTENTION! The first 5 buyers of the collection - 50% discount.

From the collection NFTs ""Capitals of the World"".
https://t.co/wGhDSrG9n3
.
#nft #nfts #nftart #nftarts #nftartist #nftartists
#philately #philatelist #postagestamp #Washington #usa #usanft https://t.co/Azep9tfqa1",1520721701025239041,nft_luckyrais
washington capitals never win championship i gonna be old like grandpa when washington capitals win one,1520712545299968000,geoffyeos4real
"#Washington #Capitals: that’ll do it for the regular season... 
 
https://t.co/7jyjoQ3wjI
 
#DC #Hockey #IceHockey #NationalHockeyLeague #Nhl #NHLEasternConference #NHLEasternConferenceMetropolitanDivision #WashingtonCapitals https://t.co/t55MJirHm0",1520708616000614401,raw_chili
ALEXANDER OVECHKIN ROOKIE CARD  #hockeycards https://t.co/bGRyFbNdEc,1520706157316395009,gems_card
John Carlson Washington Capital #hockeycards https://t.co/fAneeyFrB3,1520696179138383872,gems_card
Is attending games 1 and 2 here and cheering hard for your WASHINGTON CAPITALS!!! Let’s go CAPS!!!,1520695469244043265,MrZigglesworth7
"The flight time of the Sarmat intercontinental ballistic missile to the capitals of the states supplying weapons to Ukronazis:
1. To Ottawa - 850 seconds.
2. To Berlin - 106 seconds.
3. To London - 202 seconds.
4. To Washington - 995 seconds.
5. To Paris - 200 seconds #news https://t.co/lSrKUNzKDX",1520657558050324480,SaraEhrenburg
"On this day in sports history May 1, the defending champion Pittsburgh Penguins defeated the Washington Capitals 4-3 to advance to the Patrick Division Finals for the 2nd consecutive year in 1992.",1520620763325337600,NF201111
"https://t.co/Vi1OhfbgeR
Rangers vs. Capitals Prediction, #Betting Tips &amp; Picks 4/29/2022
#2021 #betting #BettingTips #Bookmakers #friday #hockey #NewYorkCity #NHL #odds #oddsmakers #Washington
 #Was...",1520618766920413185,SITpicks
2022 Stanley Cup Playoffs: Panthers vs. Capitals first-round preview: 2022 Stanley Cup Playoffs: Panthers vs. Capitals first-round preview Source: https://t.co/s5HdJdbUxp (1A) Florida Panthers vs. (WC2) Washington Capitals All eyes will be on the Florida… https://t.co/XtCO60u4Oh https://t.co/sggn0iyY5j,1520602430852898817,hockeyaddicts
Three keys to the Capitals' first-round matchup against the Panthers https://t.co/FGrf5pJGaM,1520598775256936448,PolitomixNews
"How to watch playoff series between Panthers and Capitals, with full schedule and ticket info: The Florida Panthers' run in the Stanley Cup Playoffs begins against the Washington Capitals. The best-of-7 first-round series between the top-seeded Panth.. https://t.co/cFIvu4axIx",1520591598962331653,USRealityCheck
"Capitals fall to Rangers, to face Panthers in first round of playoffs https://t.co/eEvG4WvfmB via @NHLdotcom",1520589585427881984,Danny65329884
"It has been more than six years since a blockbuster trade went down during the offseason between the St. Louis Blues and the Washington Capitals. The Blues sent forward TJ Oshie to the Caps in exchange for forward Troy Brouwer, goaltender ...
https://t.co/pblE4RNYRt",1520587604772728837,ShopProHockey
"NHL Playoffs Predictions - Atlantic Division: Odds, Schedule, &amp; Picks | @GamblingPodcast @TheSGPNetwork 

https://t.co/564748MKAD",1520552671438155777,RGilbertSOP
"Chris Bourque has announced his retirement from professional hockey at the age of 36.

Bourque played parts of 4 NHL seasons with the Washington Capitals, Pittsburgh Penguins and the Boston Bruins, recording 2 goals and 6 assists in 51 games. https://t.co/AryQfwfx2v",1520548598290731008,CompleteHkyNews
"Florida Panthers. Washington Capitals. 

The hype trailer will drop tomorrow at 8pm on my YouTube channel. Don’t miss it. #timetohunt #allcaps

https://t.co/jb6fZ98vJe",1520539088843153408,Metalpanthers
"Two @FlaPanthers games against the Capitals will be airing on TBS:

• Game 2 on Thursday May 5th in Sunrise at 7:30 PM. 

• Game 4 on Monday May 9th in Washington DC at 7:00 PM. https://t.co/krmMdqjBJ3",1520534136909406210,SanchezML94
"Capitals History: Druce Leads Washington Into May for First Time in 1990
#THW #HockeyTwitter #ALLCAPS
 https://t.co/oubgUGPkfq",1520530974026739713,TheHockeyWriter
"BREAKING | The Washington Capitals have signed goaltender Olex Avechkin to a one-year, $850K contract, announced by General Manager Brian MacLellan.

#ALLCAPS https://t.co/idWcywg5oR",1520518113850236929,dicnowder
"New Blog! Read it here: https://t.co/ZTuNYtxxLj

Breaking Down Washington vs Florida Regular Season Head-to Head Stats
-5v5
-Corsi For Percentage 
-Goaltending
-xGF

Were #ALLCAPS actually the better team compared to #TimeToHunt ? 😏 @JFreshHockey @ianoland",1520514423173296128,HB_Capitals
"#Washington #Capitals: see you in sunrise!... 
 
https://t.co/KfkOaPlfS1
 
#DC #Hockey #IceHockey #NationalHockeyLeague #Nhl #NHLEasternConference #NHLEasternConferenceMetropolitanDivision #WashingtonCapitals https://t.co/zuwONXbVvx",1520507796307038211,raw_chili
"Florida Panthers will TOAST the Washington Capitals Tuesday May 3rd for Game 1. 
#TimeToHunt https://t.co/DXfzdzoHkl",1520505602023243780,hippielyss
"Can you image if everyone who believes in the United States of America, showed up in Washington DC or the capitals of their state, to hold them accountable!?!  They would shit themselves!! I’m tired of them deciding what they think is best for We The People!!! Let Freedom Ring!🇺🇸",1520487063488892928,BdBriandean72
"1988: Sean Burke (30 saves) and New Jersey Devils defeat Washington Capitals in Game Seven of Patrick Division Finals, 3-2. https://t.co/VIX3sHNcbh https://t.co/NPEJ46vRrC",1520485639954874370,GoalieHistory
What if… the Washington Capitals won the Stanley Cup this year 😍😍… AHAHAHA 🥴… unless 🤔,1520483688810971136,radicalrebeck
"Now that the season is over, I can finally drop my 2022 Washington Capitals Playoff Pump Up Video for you #ALLCAPS fans

Unfortunately, it's too long for Twitter, but definitely check it out to get hyped for the playoffs 🦅

@ChirpinDMV #ALLCAPS

LINK: https://t.co/QmwhqNuWd9 https://t.co/5e0pHsYieQ",1520459517477146630,Bdotlittle
"What a disappointment! Our Caps have been off kilter lately. Capitals fall to Rangers, to face Panthers in first round of playoffs https://t.co/fSf6a4PdNN via @NHLdotcom",1520456801539473409,BTiBeauty
Capitals History: Druce Leads Washington Into May for First Time in 1990 https://t.co/oubgUGPkfq,1520451739337510912,TheHockeyWriter
"Florida Panthers v Washington Capitals
Florida Panthers -1,5 @ 2.40 Betsson 0.5u",1520433081894817794,KofodB
Game 2 Florida Panthers vs Washington Capitals tickets secured ✅,1520432235341651970,iDew__me
"Dan's Daily: Wild Night Across NHL, Latest UFA Rumors (Letang Included) https://t.co/rKyoV0kSgX",1520426879488081921,TheDanKingerski
John Carlson Washington Capital #hockeycards https://t.co/OZBpiEQoZV,1520425396801617921,gems_card
"The Florida Panthers have not held a 1-0 series lead in the Stanley Cup Playoffs since April 19th, 1997. 

They will look to end that drought of 9144 days (just over 25 years) on Tuesday with Game 1 against the Washington Capitals #TimeToHunt",1520421122856173568,ProjPanthers
"https://t.co/Vi1OhfbgeR
Rangers vs. Capitals Prediction, #Betting Tips &amp; Picks 4/29/2022
#2021 #betting #BettingTips #Bookmakers #friday #hockey #NewYorkCity #NHL #odds #oddsmakers #Washington
 #Was...",1520419715679629312,SITpicks
"Here's everything to know to tune into the Capitals' first-round meeting with the Panthers, including dates, times, broadcast info, tickets &amp; more 📝:

https://t.co/3b3WT7doQL",1520405653260738560,WshHockeyNow
@Capitals looks like Game 4 of the playoffs in Washington has a conflict with the Journey concert that same night. Did someone make a mistake?!,1520402630836727809,MustangDos
"Dan's Daily: Wild Night Across NHL, Latest UFA Rumors (Letang Included) https://t.co/jcsjRVNNVx",1520397891772239873,pghhockeyNOW
"@Capitals my prediction for first round of playoffs:
Florida vs. Washington - a well balance scoring machine team in Florida vs. Ovi.  I think Washington could be a surprise and win a game or 2 if they make it a physical series.
My pick: Panthers in 5 or 6 games",1520397216002760704,MichaelGershon5
"Crazy night. More news than a Johnny Depp cross-examination

Dan's Daily: Wild Night Across NHL, Latest UFA Rumors (Letang Included) https://t.co/rKyoV0kSgX",1520394786674511872,TheDanKingerski
"🏒 Washington Capitals (@Capitals) #ALLCAPS
🆚 L @ New York Rangers #NYR #WSHvsNYR
✈️ N661DN | DAL8954 | B752
🛫 EWR - 11:26 pm ET
🛬 IAD - 12:09 am ET
📡 Tracking: https://t.co/sVjFiEr8Qy https://t.co/vdPyYhTJtQ",1520392667322015745,SportsAviation
Capitals drop season finale and close regular season on four-game losing streak: numbers for the morning after: Capitals drop season finale and close regular season on four-game losing streak: numbers for the morning after Source: RMNB The Washington… https://t.co/V1rrqTwRwn https://t.co/RmIYD5BlI4,1520390280540614656,hockeyaddicts
"Florida Panthers vs Washington Capitals: Schedule
#TimeToHunt meets #ALLCAPS
@L:itterBoxCats https://t.co/bYTizKvMUU",1520388933754011648,toddlittle827
"Florida Panthers vs Washington Capitals: Schedule
#TimeToHunt meets #ALLCAPS https://t.co/HfHvdFmIv7",1520388165844049921,LitterBoxCats
Florida Panthers open Stanley Cup Playoffs on Tuesday - Florida Hockey Now https://t.co/Ity5efezPJ,1520384234854117376,Panthersview
I hate the Washington Capitals.,1520367569995108354,nhlshitpost
"Leafs Dream Path to the Cup (actually possible) 2022:

Tampa Bay Lightning (dethrone the defending champs)
Washington Capitals (revenge + Auston vs Ovi)
Boston Bruins (slay the dragon)
Colorado Avalanche (consensus cup favorites + Kadri/Kerfoot storyline)",1520366528142745600,torontobadhead
"NEW: Schedule released for #ALLCAPS-#TimeToHunt with RD1 set to begin Tuesday in Florida @CapitalsRadio 

https://t.co/fCMOHMcg9o",1520354472383418368,BenRaby31
New York Rangers defeated Washington Capitals 3-2 https://t.co/wagdJD9GxO,1520335116626710528,canteiro_hugo
"Capitals fall to Rangers, to face Panthers in first round of playoffs https://t.co/ZGBY2BcNIb via @NHLdotcom",1520332215669907456,kittycatrj
"Capitals fall to Rangers, to face Panthers in first round of playoffs https://t.co/8wIvSZXlRP via @NHLdotcom",1520330533187817478,robjannetty
"#Washington #Capitals: CAPS. CATS.... 
 
https://t.co/BrS44GFMK9
 
#DC #Hockey #IceHockey #NationalHockeyLeague #Nhl #NHLEasternConference #NHLEasternConferenceMetropolitanDivision #WashingtonCapitals https://t.co/bFyxMLXuoA",1520306969889972225,raw_chili
"https://t.co/70GcxqLCtu

Extended highlights of the Washington Capitals at the New York Rangers https://t.co/eXulI8qvoF
https://t.co/eXulI8qvoF",1520295684280401920,ShopProHockey
Washington Capitals to face Florida in first round of Stanley Cup Playoffs - WTOP https://t.co/tc2bGMBpbf,1520292504972668928,Panthersview
"a Goal from New York Rangers vs. Washington Capitals
https://t.co/zRBM5oX2Oi",1520289849424687104,VCP_Hockey
We beat the Washington capitals via the medium of a Dryden Hunt wrister. What an unserious franchise,1520280605879160832,JHancock46
"#NHL GameScore Impact Card for Washington Capitals on 2022-04-29:

#ALLCAPS https://t.co/3vY6hQxdSJ",1520279709392777216,hockeystatcards
"#NHL GameScore Card for Washington Capitals @ New York Rangers on 2022-04-29:

#ALLCAPS #NYR #Rangers https://t.co/ySHvk0hIWF",1520279702916718592,hockeystatcards
Both Florida Panthers vs Washington Capitals and Toronto Maple Leafs vs Tampa Bay Lightning in Round 1 of the 2022 NHL Playoffs will be 1st time ever series. Colorado Avalanche vs Nashville Predators will be their 2nd ever series. 1st was Round 1 in 2018 won by the Predators.,1520276760318947328,SimonTheCaptain
Schedule Released for the Washington Capitals' First Round of the 2022 Stanley Cup Playoffs #ALLCAPS https://t.co/q475gKHrNw,1520272770650804224,NoVa_Caps
washington capitals never win the good sports sports sports sports?,1520271745969639424,geoffyeos4real
"On this day in sports history April 30, the New Jersey Devils defeated the Washington Capitals 4-3 to advance to the Prince of Wales Conference Finals for the 1st time in franchise history in 1988.",1520264319627407361,NF201111
"NHL Washington Capitals at New York Rangers, Friday, April 29, 2022 #nhlhockey #gamecharts #dataviz https://t.co/yW5ArrYtWx",1520262930797068289,chartball
"Eastern Conference Round 1 Matchups:

Florida Panthers (A1) vs Washington Capitals (WC2)

Toronto Maple Leafs (A2) vs Tampa Bay Lightning (A3)

New York Rangers (M2)
Pittsburgh Penguins (M3)

Carolina Hurricanes (M1) 
Boston Bruins (WC1)

#NHL #LeafsForever #Playoffs",1520260544527278080,MattGovereau
"NEW YORK — Dryden Hunt scored the go-ahead goal in the third period, Alexandar Georgiev made 34 saves and the New York Rangers downed the Washington Capitals 3-2 in the regular-season finale on Friday night. https://t.co/ogwGw1PnjG",1520256657028169729,CumberlandTN
