full_text,tweet_id,screen_name
"I've known you my whole life. Where we go, we go eyes open, together.",1520912081968525312,westworld_quote
time to get into season 3 westworld. back later.. #musicstuffcanwait,1520904781140746247,doctorvimto
"I like to remember what my father taught me. That at one point or another, we were all new to this world.",1520904466530127874,westworld_quote
@solnftradar don’t sleep on this! Red dead meets WestWorld meets Web3! Own your own saloon as digital real estate is just the start to this ever expansive metaverse experience!!! https://t.co/5ZAG6q9Sfw,1520900545854255107,jimmybulldozzer
"HBO’s “Westworld” is a Gnostic parable. #fromthearchives

https://t.co/kzUBbqxXZM https://t.co/p3LmvtxWxO",1520897510864482305,DailyGrail
"Ever had something on the tip of your tongue, but the harder you try to remember it, the more it slips away?",1520896934826762240,westworld_quote
"Adicionei ""Westworld"" em minha grade https://t.co/u8H4eOrK88 #bancodeseries",1520894982877597696,nycoolaguiar
kd a quarta temp de westworld dona hbo?,1520893385711702020,camargust
"Winning doesn't mean anything unless someone else loses, which means you're here to be the loser.",1520889361411166208,westworld_quote
Isn't this that one scene from Westworld https://t.co/qdktl6B9zc,1520888454619541506,clintoninton
have any of y’all watched westworld? I can’t decide if I like it or not lol,1520888409828454401,sandiegoeq1
"Well, you're mouth moves fast enough. How about your gun?",1520881815250112512,westworld_quote
"Maeve : ""You’re always paying, darling, the difference is our costs are fixed and posted right there on the door"" Westworld",1520880779185827841,sterlingblue
"I have come to think of so much consciousness as a burden, a weight, and we have spared them that.",1520874275648851968,westworld_quote
watching westworld season one again,1520869698413412356,xprilmayjune
"We have toiled in God's service long enough. So I killed him. And if you want to get Glory, you won't be looking for His favor. You'll need mine.",1520866729269743616,westworld_quote
104 weeks without #Westworld https://t.co/KAvlYcegqd,1520860620874264577,WestworldGifs
"Folly of my kind, there's always a yearning for more.",1520859388881235968,westworld_quote
The only thing wrong with the seven deadly sins is that there aren't more of them.,1520851818036621312,westworld_quote
"Remember, just because an adaptation doesn't follow the source material and decides to create new stories/characters, does not take away from it's quality. A great example would be The Leftovers and Westworld.",1520851816501719040,CinemaStimulus
anyway how was there not a single gay person in westworld,1520849892062597120,flukelights
Am I the only one who didn't get Westworld 2 properly? It's so frustrating to connect the storyline,1520849188543676418,boomboomgrey
hbo fucked westworld up so bad didnt even watch s3... they could have had a new sci fi hit show to take over after game of thrones how did they make such a good first season and then run it to the ground like that,1520847704057860098,moraIesfilm
To grow we all need to suffer.,1520844083480072192,westworld_quote
"Westworld is such an amazing series. Anthony Hopkins, certainly has a way with words. And his delivery, topnotch 🙌🏾 https://t.co/apgGDBwOvU",1520841256678608897,devtamuno
"""there is ugliness to this world, I chose to see the beauty""~dalores ebernathy (westworld)",1520839839490273281,arunn8_
"Delores Abernathy Funko Pop signed by Rachel Evan Wood

#casualcardio #cards #hobby #thehobby #collection #whodoyoucollect #collectors #psa #psacards #funko #figurine #westworld #rachelevanwood https://t.co/5UbV2wOPli",1520838873621929995,casualcardio
"There are things in me, things I was designed to do that are just out of my reach.",1520836535557713923,westworld_quote
Follow inmediato  a los Fans de #Westworld https://t.co/hm7YLEGBg5,1520832866464243715,soyfritabandita
"Some people choose to see the ugliness in this world, the disarray. I choose to see the beauty. To believe there is an order to our days. A purpose.",1520828975144046592,westworld_quote
I've got some reckoning to do before I can deserve a woman like you.,1520821420242087937,westworld_quote
"Never place your trust in us. We're only human. Inevitably, we will disappoint you.",1520814195272413184,westworld_quote
Don’t worry #TWD fans. HBO never gave #Westworld fans the Dolores and Teddy spinoff they wanted either. ✌️ https://t.co/TMo7FAkPJn,1520812941502820352,UndeadRandy
"Okay Westworld, I’m confused AF but I AM IN",1520812020680986625,flockinjasmine
"Westworld
Season 2
2018 https://t.co/8FmRKmPkkY",1520811712571752450,rokiandrii
"The Man in Black #Westworld 

Por Scott Balmer
https://t.co/afd648fzVN https://t.co/hDhMlwrJPa",1520810581346983936,OscarLMedia
I don't want to be in a story. All I want is to not look forward or back. I just want to be...in the moment I'm in.,1520806330461671424,westworld_quote
westworld ass house https://t.co/nJ0IPNS4qc,1520806139717459968,thiccontologist
We humans are alone in this world for a reason. We murdered and butchered anything that challenged our primacy.,1520798774720811010,westworld_quote
Rewatching Westworld S1 and remembering some of the discourse when the show was originally airing and to all the people trying to nitpick details of how the world works please get a life,1520796458819239936,jyggly
"I hope you are all able to make Westworld. I feel positive that you will and look forward to seeing you all.
@icecream_bob 
@Pippylonglegs1 
@pollywollypanda 
@ngr1212 
@EddieMerrick 
@PeterJohnThack2 
And I just know I have missed someone out.🤣",1520791482818510851,loisnomad
The real world is chaos. An accident. But in here every detail adds up to something.,1520791334440751104,westworld_quote
Westworld is back on Now Tv 🙌🏻🙌🏻 gonna binge season 3 on my 4 days off before it disappears again,1520789374459424768,davies2107
"I believed that stories helped us to ennoble ourselves, to fix what was broken in us, and to help us become the people we dreamed of being. Lies that told a deeper truth.",1520783682901921797,westworld_quote
"Humans will always choose what they understand over what they do not.
#Westworld #dailyquotesbyJ",1520781890210664448,jera_______
