full_text,tweet_id,screen_name
the first time I watch nwh I kept whispering to my cousin that this was gonna be Ned's villain origin story bc of all the awkward third wheel moments in this movie,1520915657486962693,thormybeloved
Jennifer Cheon Garcia as Leane Sharif in Wheel of Time #wheeloftime #leanesharif #jennifercheongarcia https://t.co/MUeJtejcOg,1520913203185737728,blexbees
"My track ""Masters Of Time"" has been added to the @distrokid playlist, ""Wheel of Playlist"" https://t.co/SB2y66If2z",1520912656638562306,ElectrikEmblem
"From the basic of religious servitude to the absolute certainty of spiritual liberation has been a elational exercise that took me through the depths of despair to the heights of a sublime awareness, time and again. quite a ride. A combination of a Ferris wheel..",1520912647696584704,zacnakamoto
"Bro when they drop Invincible s2, Wheel of Time s2 and The Boys s3
It’s over https://t.co/4KKje6zigG",1520911869065809921,blondedburner
"(((Series Premiere))) 📺 The Wheel of Time - Season 1 
#TheWheelofTime
#IMDb  https://t.co/9KoexkSh9G",1520911005722857474,HDfan_
"I'm watching The Wheel of Time 1x01 ""Leavetaking"" https://t.co/icI51toyC6 #trakt",1520909888620277762,HDfan_
"Stuff I've been enjoying lately!

📚 FINALLY FINISHED the first Wheel of Time 😫
🛋 Couch with #TinyTinasWonderlands
⚔ @warcraft Classic BC with @nikobeckwith &amp; #Sylvanas audiobook
🔫 Dove back into @blizzheroes w Nick &amp; @CaliCags had a GREAT TIME?! https://t.co/gExLVvnLoY",1520906934806794240,kidkerrigan
A Crown of Swords 1996 1st Ed Print Book 7 of The Wheel of Time By Robert Jordan #eBay🇺🇸 #Audiobooks #Books https://t.co/N1yTNTUPWx,1520904570402181121,AudiobooksAlert
The revolutionary who brought democracy to the Kingdom of Acorn. He learned about democracy from the Bem aliens during his time in space (remember when Sonic found Tails' parents in issue 129 on Argentium the Wheel World?) Also Tails' badass dad. https://t.co/z1hRTTmJFC,1520903722980806659,JSonic2021
Good and faithful adaptations of The Wheel of Time and Halo. https://t.co/LFuy6FT3zl,1520902629626372096,KalinkaPavlova
I've just watched episode S01 | E04 of The Wheel of Time! https://t.co/jB2mIdUu1v #tvtime https://t.co/YW73RApPy7,1520902103211913216,Tomnelson0
"schedule time (5/2 - 5/8)

On Wednesday the wheel of fate is turning! I have about 30 PS1 games picked out that will go on the wheel. Like real roulette most the outcomes are bad! Thursday we'll be checking out a bug themed survival horror game for the Wii! https://t.co/G9t90IcMoJ",1520901732766789637,renne_millennia
"@binabees_ is just nailing it with every single one of their Wheel of Time posts. Like, everything they say puts words to exactly how I feel/felt watching the series as someone who hasn’t read the books yet. Bless.",1520900872057745413,TheGAofAbby
the shift from waka using polite speech 1000% of the time in fanarts to him using casual(-ish) speech only when talking to thm is so cute i love being a third wheel,1520900748292554752,cryovishap
"Yes. I've never had a license. I have hypersomnia and poor depth perception. I can't focus on multiple points of motion. You do NOT want me behind the wheel. The one time I was forced to take a drivers ed class as a teen, I almost drove headlong into a truck. https://t.co/XrZX42k9hD",1520894271162777600,WriterDenise
"Getting ready to watch one of my favorite @USACNation  races today and came across this pic with Kramer Williamson at the wheel while it still had Sammy’s name on the cowl. Still my favorite car of all time although I despised it in this form. Cmon @jasonmcdougal69, letter rip! https://t.co/yMAqm7849i",1520888635851223052,Calibone
"I’m fighting for my Life out here😂😭

I PINKY PROMISE I DIDN’T READ THE WHEEL OF TIME BOOKS 😭😭

I just consume fiction like it’s my job. 
(I wish it was my job 🤧)",1520886418377261058,binabees_
"The jag got a monumental amount of screen time in the wet, thanks mostly to the commentators in the booth expecting a much different result for an underpowered, oversteery mess of a car when driving in the wet.

they just didn't know a professional drifter was behind the wheel ;) https://t.co/TlHQEw3GCS",1520884761442586624,hootwh33lz
I put a lot of of effort into all my edits. It's something I pride myself in. (Even though I know I'm nothing compared to professionals.) I don't know why though. But whenever I do a Dresden Files or Wheel of Time video. I'm extra particular about my cuts and formatting. 😂,1520878466438250496,LiteratureNLoFi
Me vibing to the Wheel of Time.,1520877686335447042,EredeDeiMedici
"PUBLIC SERVICE ANNOUNCEMENT!

If you're STILL not revered with The Enlightened, the Darkmoon Faire is up this week and you can get some extra rep by riding the Ferris wheel or roller coaster. The buff lasts an hour, and that's plenty of time to get the ZM quests done. @Warcraft",1520876728826183680,Orph_Gaming
Time for the wheel of Chappy 😅,1520876338017718273,Rferg26
"In alphabetical order:

Benedetta
Evangelion: 3.0+1.0 Thrice Upon a Time
Wheel of Fortune and Fantasy
Wife of a Spy
The Woman Who Ran https://t.co/50yyejDxtA",1520875522657505286,willowybeing
"A few of jerks from The Wheel of Time and a couple awesome people (@ParchedAielman @Desmond24) bringing it all to you. 

#scifimovies #timetravelpodcast #timetraveltv #timetravelmovies #timetravelfilms #timetravel #scifi #popculture #podcast #movies #moviepodcast #film https://t.co/nEKVimpssy",1520871584726228999,Desmond24
"Wheel of Time fans coming out of sweaty small arena matches is good but just, the setting isn’t super compelling to me in FF7FS!",1520870939185065985,flunkie_ebooks
"Series for which I want more seasons (inpo)
Severance
Slow Horses
Perry Mason
The Nevers 
The Witcher
The  Wheel of Time
The Mandalorian
and
Ted Lasso (many more!)",1520870522598432769,keaplin
"More PROOF they hate the books and fans, WHEEL OF TIME Aviendha casting https://t.co/XFws4mZrx3 via @YouTube",1520869788914008065,Barendius
"My track ""Over Time"" has been added to the @distrokid playlist, ""Wheel of Playlist"" https://t.co/UD12o41yEX",1520869648329322503,j2grecords
"Sometimes it can be difficult to identify our emotions, sometimes we experience several emotions at the same time. Part of emotional regulation is becoming aware of our emotions, so the first step is to use a Feelings Wheel to increase our knowledge of different emotions. https://t.co/mxQIqgIClJ",1520866011519631360,SaorsaApp
"If they couldn't figure out the wheel, the sail, fertilizer, irrigation, mining and metallurgy or stonework over the last 12k years, I think economics is about 26k years ahead of their time. https://t.co/4bTeOD9nMg",1520864669640142849,mistercarstairs
"alright, time to spin the wheel of gender today!
**spins the big comically large wheel**
... ah, ""Jet Set Radio twink lesbian""",1520863508946059264,gayfurrysatan
"@LarryMac28 speaking of tires, why hasn't Fox or NBC installed strobe cams in the right front wheel well? It would be awesome to see tire wear in real time.",1520858416016760833,lstnin2tweets
I don’t understand how people are so careless behind the wheel like relax bro you’re only saving 5 mins of drive time by driving like that,1520856850983383040,Darth_Drakeo
I’ve taken a snapshot of the names from the replies to my Whisper giveaway now - thanks all who entered! I’ll get the time to give the raffle wheel a big ol’ spin tomorrow morning and announce the results,1520854944848437250,solarise_webdev
"I got an audible credit and would like to start The Wheel of Time #wot. Which narrated version should I get? Kate Reading, Micheal Kramer OR Rosamund Pike? Thanks in advance!",1520853589651910656,danhedgecock
"Wheel of Time Spoilers 411 – PoD – Ch 24 – A Time for Iron #wotSpoilers 
https://t.co/gAD1MljHv5 via @PodcastAddict",1520852434989436928,songstress7az
"I think this picture depicts the amount of care and attention amazon studios is paying to the wheel of time. Why would they greenlight only 8 episodes for a 700 page book I will never understand. #TwitterOfTime 

https://t.co/AsBWq0ighd https://t.co/4d4xpO9J2k",1520849987013382144,2wftpmvdfs
If you use a shotgun I hope you get stuck in traffic every time you get behind the wheel of a car,1520848274768293888,Sirciz
i’m 10 books into the wheel of time series and i just kinda wanna stop? but i read so much already?,1520844964665647105,blohole
i hate fantasy so much idk why but its sum so unserious abt grown folks in them long as drapes casting spells and shit but i may temporarily reconsider cuz that man in wheel of time is fineeeeeeee,1520840114515099649,y2keijun
"Tri-Reader Tournament, Most Overrated SFF, Prelim 3 (Authors in reply)

A
@GleemanTwitch
Ender’s Game
The Chronicles of Narnia
Twilight Series

B
@cpark2005
Rhythm of War
The Wheel of Time
A Song of Ice and Fire

C
@Devolark
All Tolkien
All Sanderson
The Kingkiller Chronicle",1520837071400992768,Fantasy4theAges
"Are we to believe that the powers of the Avatar Universe and The Wheel of Time Universe are the same on accident? In this paper I explain how the Avatar series is just The Wheel of Time prior ""Age of Legends""...",1520836512367087616,Scriptea
"Me, starting my rewatch of the last three episodes of Wheel of Time at 9 pm last night jsjsjs https://t.co/DxwSKzQwVF",1520836253775798274,ofthebrownajah
"Working on my Pentium Pro video... but first, I wanted to update my ""collecting"" infograph so that I could feature it in the video!  I'd been on the ""informal"" hunt for a Pentium Pro system for quite some time, and now we've filled a gap in the ""wheel of processor classes"" https://t.co/MTA699fUm9",1520835271004233729,RetroTechChris
"I appreciate everyone who's been engaging with my latest Wheel of Time review -- i understood it would ruffle some feathers -- but i'm genuinely grateful for the discussions, disagreements, and reactions. As someone who hasn't read the full series (1/4)",1520832069386924032,ManCarrying
"Blessed Beltane! I took an hour during nap time today to work on my Wheel of the Year cross-stitch pattern and listened to some Celtic ritual music, and it was a really lovely pause in the day. 🌷 https://t.co/BEmBJYHa2O",1520828133217341446,KSommerlot
ITS GIVEAWAY TIME!!!! What are we giving away you might ask? A hard cover copy of a Wheel of Time book of your choice!!!! How do you win it? Like and retweet this post to enter.  One person will be chosen on May 11th.  Good luck! #TwitterofTime #TheWheelOfTime,1520826005962858497,thewheelreads
Best to nhi bol sake but currently I am watching The wheel of time..acchi hai https://t.co/Siqse9xQKe,1520825277848293376,Kritikakitty28
"This the greatest time of technological expansion since the invention of the wheel and i just happen to live at this time? 

Coincidence? 

I think not.",1520822768828301312,Bronze_Pharaoh
"Sigh
What's the point of getting 777 when every time I spin the wheel I get 100 coins https://t.co/tlzTZTHQap https://t.co/rDNVnySFcP",1520822201544491009,pukapukanation
"Student loans should be fixed by being dischargeable in bankruptcy but instead 

We're gonna pit American debtors against each other to get nickels of jubilee while TPTB write the real relief for themselves. 

Getting old is hard because time is a wheel.",1520821478920527872,ninakilbride
"started reading the wheel of time books almost 2 years ago and still haven’t read the 5th book yet, that’s kinda embarrassing",1520820437588062208,fauvereads
"The Wheel of Time Game Remastered, GOG Exclusive https://t.co/8S2nM5kKaF",1520820044233691136,gamingretroUK
Found a photo of my favorite all time teacher in the “old box of photos” (™️) MR STERNSHEIN- big hippie science teacher who lead the Xmas pageant one year and had us sing WHEEL IN THE SKY by Journey. A real hero. The parents were confused. https://t.co/kB7Dp3RV7j,1520817792844320768,ericafarglow
"The Ev wheel of fury has spun, this time - on added time for all their players going down, even though they won. 👀 https://t.co/5SJmTARgU4",1520812590074675202,lid_db
"@langchallenge #watched 62min #en ""The Wheel of Time S01E06"".",1520812230635397121,arizakai
"It took me 2+ years of listening to the wheel of time in my car.

I finished A Memory of Light in 2 weeks. (42 hours audio) https://t.co/EfoNfeCfSN",1520812097646436353,AfroMarv
Rewatching the Lizzie McGuire movie for the first time in YEARS (think over a decade😵‍💫) and why did a random Italian woman just give Lizzie a big-ass wheel of cheese; why was this one of my favorite movies growing up?😭😭😭 https://t.co/qAB01zgSY0,1520811422824939520,YourUnfriendly
Time for Wheel of Justice,1520811293179105281,Tashia_F
"me, a broken record: the Wheel of Time should have been an anime adaptation with Yoshitaka Amano art style https://t.co/jPYXvU6OBO",1520807744848396288,kittychocklit
Two chapters into “The Gathering Storm”. I have found a great respect for Brandon Sanderson. I can feel the changes he brought to the aesthetics of the wheel of time. It feels different enough to see Sanderson and yet similar enough to remember and respect Jordan. #TwitterOfTime,1520806579708350471,Thewatcher9992
"The look of a very confident first time behind the wheel driver.

My dad was also definitely very confident, especially every time I said ""Am i going left or right"" or ""oh that was the gas"" https://t.co/UmL6yB0BrS",1520804590664388610,TheSpillian
having a wheel of time meltdown now thanks kay.,1520803747517108229,katsmonologue
"Wheel within wheels in a spiral array
A pattern so grand and complex 
Time after time, we lose sight of the way
Our causes can't see their effects",1520802250012172290,SBojanky
"IN THEATERS - THROUGH 5/5

Oscar winner Ryusuke Hamaguchi's (DRIVE MY CAR) triptych, WHEEL OF FORTUNE AND FANTASY, has been extended a third time at @FilmForumNYC during its encore run! Don't miss it!

Tickets:  https://t.co/oEekzkreJX …

#wheeloffortuneandfantasy #drivemycar",1520795179942391811,Film_Movement
Wheel of Time season 2 I need that now!,1520794513798742017,bahleezy
"🎮#StrawberrySweeps Game: Golden Scarab⚜️

It’s time to explore &amp; claim the #treasures from an ancient era 👀

Turn the wheel &amp; land a combination of specific symbols for a chance to take home the #prizes! 🎉

Play the #game NOW &amp; test your luck
👇👇
🍓https://t.co/BG6nwYW2eR🍓 https://t.co/q70khzbWsj",1520794145325203459,RubyPlayNetwork
Had a wheel of a time with my m8s and Lady💜,1520791122720608256,halfdecent710
"I play Dark Souls for the first time ever at 2pm Eastern today.

I'm also using a Racing Wheel instead of a controller. 

Should be easy, I've been reading.

https://t.co/odhqTt9dk9 https://t.co/yvALTnNvzE",1520789010255339521,JackJohnJose
"#wotbookspoilers Wonder if the Wheel of Time show will actually abolish slavery among the Seanchan, which I'm sure RJ would have done if he had time for more books. #twitteroftime",1520785657341304837,saturnofthemoon
i consider the big white book canon insofar as it is genuinely of the world of robert jordan-s the wheel of time- but i trust it about as much as i would a science textbook written five hundred years ago,1520784743473684480,drabshadow
"Blessed Beltane.
Today we turn the Wheel of the Year to Beltane. 
A time to celebrate Spring at its peak and the coming of Summer.
Lighting a Beltane Fire on the 1st of May is symbolic to the growing power of the Sun and cleansing of the dark months of Winter. https://t.co/vDr3bwmMk5",1520781276604768256,MoonGirlShop
"The One Power comes from the True Source, the driving force of creation, the force the Creator made to turn the Wheel of Time. Saidin, the male half of the source, and Saidar, the female half, work against each other and at the same together to provide that force.
#TwitterOfTime https://t.co/6P411ZBwIJ",1520780070792663041,zigzagsx
"Last year was my discover new book series year - I devoured the Outlander books, Poldark, Bridgerton (I know 🙄), The Graham Saga &amp; The Wheel of Time to name a few. I havent picked up any new series this year. I’ve just been rereading my faves from last year.",1520779350362275840,Readerbell_
Weep for Manetheren - Bardcore Cover in Old Tongue - The Wheel of Time https://t.co/4nVS1orWtQ,1520777467593560065,piyarak_s
"Absolutely exhausted but great racing and a mint social too 

Kyle Power was a very popular winner 🏆  

P4 out of 53 for me. Lessons learned from sim racing translated to the karting realm. First time I've been able to feel the grip and understand what the wheel is telling me https://t.co/zd1Xs1B0mm",1520776822350299137,SpannersReady
"!!!Hype Alert!!! I will be doing an 8 hour stream on Tuesday, with a cap of 12 hours (every 5 subs will add on an hour of time!) Oh yeah, I also eat a bean (beanboozle) for every $5, so 5 subs=5 beans...AND for every $5 you'll get put on the wheel for a spin! https://t.co/UosO8csrEW",1520773264426995718,Shelly_Lag
