full_text,tweet_id,screen_name
This Royals team feels like it’s close to the annual “Whit Merrifield postgame talk where he says the team needs to play better” moment,1520914461044854784,BHIndepMO
"Michael A. Taylor had two hits, including a homer, and Whit Merrifield also had two hits in the loss. https://t.co/PWa5dbYUsV",1520890573279969281,SportsDailyKC
Whit Merrifield 2021 Topps Arch #sportscards https://t.co/uwlwPA0zwv,1520888222380871684,nothingbutcard
"Whit Merrifield walks .. 1st &amp; 2nd, Benintendi coming up
#Yankees 6 #Royals 4 B9 https://t.co/vGBwZSGkcl",1520879333723750401,Sports_24x7_
"Yankees  6  (Pitching: #54 Aroldis Chapman)
Royals  4  (Batting: #15 Whit Merrifield)
Bottom of 9th, 2 Out, Man on second",1520878774413316096,OllieNYankees
"Whit Merrifield up, Royals game over.",1520878433529745408,GamerboyHourz
"Yankees  6  (Pitching: #54 Aroldis Chapman)
Royals  4  (Batting: #15 Whit Merrifield)
Bottom of 9th, 2 Out, Man on first",1520878266269241349,OllieNYankees
REALLY SICK AND TIRED of Whit Merrifield!!!! That guy just kills the Yankees! Yankees have never been able to get that guy out!!! #Yankees #Repbx,1520866939870003200,YankeefaninTenn
Lol Whit Merrifield,1520854562114088960,skoltrain87
"I am on my knees, ripping my shirt open and screaming, crying, begging that Whit Merrifield gets a day off",1520848104299417604,BuntDerby
"#Yankees 1 @ #Royals 4 [B4-2o]:

Whit Merrifield (swinging; 1)

RHP Luis Severino (3)
Seq (5): FF× FF SL FF SL×
s3: 86mph Slider",1520847541348278273,whifftracker
"Yankees  1  (Pitching: #40 Luis Severino)
Royals  4  (Batting: #15 Whit Merrifield)
Bottom of 4th, 1 Out, Man on first and third",1520846840031289346,OllieNYankees
And fuck Whit Merrifield. Dude I drafted you and you have sucked all year.,1520842711288500227,MattLorenzo
"Now that looked like prime Whit Merrifield. Great swing, great contact. Hopefully he breaks out soon because they really need him.",1520840606280568834,ryan_landreth
"Yankees  1  (Pitching: #40 Luis Severino)
Royals  1  (Batting: #15 Whit Merrifield)
Bottom of 3rd, 1 Out, Man on first",1520839447486603270,OllieNYankees
"Whit Merrifield shows range robbing DJ LeMahieu of a knock
#Yankees 1 #Royals 0 T3 https://t.co/sCCPEh3gBr",1520838181117210627,Sports_24x7_
Munson Twitter demanding a trade for Whit Merrifield in 3...2...1...,1520837947649675267,maxmannissabr
That was a beautiful play by Whit Merrifield,1520837879680929792,adrian_g_26
"BOTTOM OF THE 1st: RHP Luis Severino pitching for the Yankees: Nicky Lopez pops out to 3rd, in foul territory. 1 out. Whit Merrifield lines out to the pitcher. 2 outs. Andrew Benintendi Head lines to RF, thow to 2nd, NOT in time, for a double. Cont: #Yankees #NYYvsKC #RepBX",1520833440899346438,YDugout99
