full_text,tweet_id,screen_name
Happy Birthday to William Nylander!! https://t.co/8PRTxwdyHY,1520850399493865473,CLNKSB
Lekkerimaki should win tournament MVP. 15 points is good enough for 2nd most at the U18's all time. Behind only William Nylander.,1520844562704617473,DLee075
"how nice of them to win on swedish prince, william nylander’s birthday https://t.co/wPlM1LUuFq",1520843863170199552,carmensleafs
"William Nylander 2016-17 SP Authentic  Future Watch Auto PSA 10 Hockey Card. 

🔗https://t.co/OhvGslxIjx

#thehobby #sportscards #LeafsForever #whodoyoucollect https://t.co/Lq3ip8wFHw",1520839218653581312,CardsStew
Happy William Nylander day to all those who celebrate https://t.co/BFRJShOBiF,1520833496176115717,BenTeeney
HAPPY BIRTHDAY TO ONE OF MY MOST BELOVED HOCKEYS AND ONE OF THE BADDEST BITCHES MR WILLIAM ANDREW MICHAEL JUNIOR NYLANDER ALTELIUS ❤️ https://t.co/VE9RzqBk0d,1520827731897856001,rhapscdcs
Having William Nylander on your third line for the playoffs is ridiculous depth.,1520825378327216128,marissadtcch
happy wamjna (william andrew michael junior nylander altelius) day !,1520816855937695744,beeleafin
WILLIAM NYLANDER RIELLY ANDERSO #hockeycards https://t.co/fdbLPHT7Pk,1520814989929590784,gems_card
Happy birthday William Nylander!!!! If you need a birthday BJ let me know! 😂,1520784761920409600,WillieNyllie88
"Today is a birthday for Wes Anderson and William Nylander, and I think there’s some cosmic alignment there somehow https://t.co/HEKPYH5HZy",1520779554197024768,hencheese
"Happy birthday to my pink beanie twinnie William ""Willy Styles"" Nylander (who's obviously rocking the pink better than me) https://t.co/ezBIlezoMW",1520779379206459395,magnoliaplique
Happy birthday to the better Nylander... William 🥳,1520777232461008896,lyubushkinszn
It's playoff time! Grab this William Nylander Ultimate Rookie Patch Auto /49 with a really nice Leafs patch! Lowered price of $325 OBO. Not $1 . @Hobby_Connect @HobbyConnector @sports_sell @CardboardEchoes https://t.co/8iUWrfLjAt,1520764757443330051,yateball
Just remembered alex nylander existed and with that all thw sabres fans saying he was better than william,1520762524374872064,JaredOfLondon
"happy birthday to the love of my life, william nylander. thank u for being so hot 💕💕💕",1520753239611826177,Michaela_Haase
"Me, Kenny and Alli would like to wish William Nylander a happy fukn birthday 🤘🏼🤘🏼 https://t.co/wzSzUhNGa5",1520751516130365440,AustonStachews
"good morning to william nylander only, i hope that he has the best day 💛 https://t.co/oCPSn1BwLy",1520747441812905990,willyscarl
happy william nylander birth to everyone who celebrates,1520744870176043008,spookybeez
"JT Miller for William Nylander and Timothy Liljegren 

who says no or is it a fair trade?

#NHL #Canucks #LeafsForever #Vancouver #Toronto",1520679862641381376,_RichardVernon_
"Happy birthday Hockey Player William Nylander! Another adventure filled year awaits you. Welcome it by celebrating your birthday with pomp and splendor. Wishing you a very happy and fun-filled birthday!
https://t.co/6RVp7naTZQ https://t.co/6RVp7naTZQ",1520665260729982977,allfamous_org
William Nylander got in an argument with Phil Kessel over who's hotter. It's obviously Patrick Kane.,1520654456865521664,nhlshitpost
https://t.co/NicyKEXjwE @wmnylander  to be traded   !???   Um  wows   #LeafsForever #goleafsgo #leafsnation,1520641797554262016,Leafsgirlfan30
apparently danny’s not my soulmate bc buzzfeed is never wrong :/ on the bright side it looks like i’m meeting william nylander in five years!! https://t.co/IVDQ4lVUYv,1520624508972982275,Michaela_Haase
I will not explain but…William Nylander https://t.co/LVDwRnVBvj,1520606716743757825,annielkozak
"The Maple Leafs Will Trade William Nylander This Offseason
#THW #HockeyTwitter #LeafsForever
https://t.co/RSYtutLq44",1520538583748259841,TheHockeyWriter
HAPPY WILLIAM NYLANDER DAY FOR THOSE WHO CELEBRATE,1520526508414144514,marnerelo
"Greatest hockey player of all time at every position (unbiased)

G: Frederik Andersen
D: Morgan Rielly/Tim horton
LW: William Nylander
C: Auston Matthews
RW: Mitchell Marner",1520517133687480321,RaxifusThe2nd
Rumor has it: The Florida Panthers are shopping for William Nylander...,1520505983809712129,nhlshitpost
WE HAVE A GOAL! William Nylander just scored his 7th goal of the night.,1520485847321120768,nhlshitpost
"Depends on the Nylander: are we talking about William, Willy, Bill, or Billy Bob Nylander? https://t.co/mtB0HrLVGs https://t.co/6CHOu2qt4Y",1520484434897784835,DartyBrodeur
William Nylander after learning he wasn't included in the Leafs' playoff posters https://t.co/nvCZmWB0Ir,1520479681929265153,TheLeafsIMO
"Unfortunately for all those keeping track William Nylander finished the season with 34 goals so Jay will not be buying his jersey

If Engvall forced the pass to Willy last night for the empty net goal we might’ve had 35. Damn it https://t.co/WmnFGFvQu1",1520459455347007490,Noah_Banx
The Maple Leafs Will Trade William Nylander This Offseason: The Maple Leafs Will Trade William Nylander This Offseason Source: The Hockey Writers openresty https://t.co/jgJ8Y1vLo2,1520459413177307136,hockeyaddicts
The Maple Leafs Will Trade William Nylander This Offseason https://t.co/RSYtutLq44,1520459259632304128,TheHockeyWriter
"The Maple Leafs Will Trade William Nylander This Offseason
https://t.co/aTmfjz8Ekw",1520458463096225792,VCP_Hockey
"PHOENIX 6, BOSTON 3
Alex DeBrincat scored twice, giving him 82 on the season, and set up another.  Thomas Greiss made 32 saves for the win. Auston Matthews and William Nylander each had a goal and an assist for the Bruins.",1520457585270444038,TheTNHL
God takes human-form in William Nylander.,1520455646704914432,nhlshitpost
The Maple Leafs Will Trade William Nylander This Offseason https://t.co/gf3IlKekc3,1520455480413405185,leaftweets1
The Maple Leafs Will Trade William Nylander This Offseason https://t.co/3lR0YMPk1s,1520455459605561344,leaftweets1
"William Nylander said in an interview that he thought his career high was 34 goals, even tho it was 31 at the time. 

Is this what they called a self-fulfilling prophecy? https://t.co/fJFQloBQZS",1520419797879697408,magnoliaplique
"The best Swedish forward this year was Nashville Predators Filip Forsberg,he played 69 games &amp; recorded 42 goals &amp; 84 points!🇸🇪🇸🇪,honorable mentions to Elias Lindholm 42 goals 83 points,William Nylander 34 goals &amp; 80 points &amp; Mika Zibanejad 29 goals 81 points.🇸🇪",1520417863772741632,PatrikPetrin
What did I tell you all William Nylander doubters?I said William Nylander would be an 80+ point star in the NHL this year &amp; going forward!he put up 34 goals &amp; 80 points this year!..maybe hit 90 next year!sky is the limit for a player with his skill level.🇸🇪,1520413479789678592,PatrikPetrin
Maple Leafs may reunite John Tavares and William Nylander on the second line for the playoffs https://t.co/5SzMni71Cr,1520404624645234693,MarvelousMark17
not “notoriously inconsistent” William Nylander having the exact same number of points and goals on the season split ahaha https://t.co/NManp892hT,1520387622937448453,marnylandersen
"[Masters] 8️⃣2️⃣-game club Morgan Rielly, T.J. Brodie, Alex Kerfoot &amp; David Kampf are the four Leafs to dress in every game in the reguular season William Nylander missed just one game due to an illness
 
https://t.co/K9YU2uDKsY
 
#TorontoMapleLeafs https://t.co/RB8lOFpJz6",1520378696967897094,LoveNHLcom
Hard for there to really be negatives after losing a game where you rested basically your entire top-6 and top-4 and really didn’t want to win. But Marc McLaughlin’s play in his last two is a concern. Can’t be trying to dangle William Nylander at the blue line. #NHLBruins,1520373421045166084,VanAlanClark
"Talking Points from the Bruins 5-2 loss to the Maple Leafs: 
🚨🚨 William Nylander paced Leafs to victory with a pair of goals
1⃣1⃣ the number of registered hits for Chris Wagner, who clearly was trying to prove a point in his first NHL action this season 
https://t.co/6oQFVK62MB",1520372634642432001,BOSHockeyNow
