full_text,tweet_id,screen_name
Willson Contreras bobblehead stocks just went up 128% in value.,1520904851751796736,CubsB0t
"Willson Contreras Takes seat Sunday

https://t.co/HNOUSYRL1w",1520799271594991618,LineStarMLB
Willson Contreras: Takes seat Sunday https://t.co/n3uZoKKCkM,1520798823668490241,RotoWireMLB
Willson Contreras on Cubs bench Sunday afternoon https://t.co/psxBNJxLFM,1520793444670525440,numberFire_MLB
Chicago Cubs C Willson Contreras (rest) is doubtful and not in the starting lineup Sunday,1520786662669832192,freeplays
"#MLB | Willson Contreras | #ItsDifferentHere | 3-2, K  | .250 AVG 

#ArribaTigres |  #TigresEsAragua",1520723724642758657,TigresOficiales
"If Willson Contreras gets the extension he deserves I will absolutely renounce my distrust in the Ricketts family (Well, maybe not fully). But we’ve been here before. With no definitive heir to the throne behind the plate let’s ditch Willco and toss whoever behind the dish",1520584942320824320,CarlitoJERK
I can only ask that there’s no Fire sale (There will be) and extend Willson Contreras (Won’t happen) #CUBS,1520583544673816576,CarlitoJERK
2019 Topps Chrome Willson Contr #sportscards https://t.co/aLAgZMZ40O,1520563321895854081,nothingbutcard
"#Cubs 0 @ #Brewers 0 [T1-2o]:

Willson Contreras (swinging; 1)

LHP Eric Lauer (2)
Seq (5): ff SL sl FF FF×
s3: 94.7mph Four-seam Fastball",1520542374598000643,whifftracker
"99.4% arb
#MLB: Willson Contreras Hits
O 0.5 -150 (Bovada)
U 0.5 +154 (Superbook)
#GamblingTwitter https://t.co/MHFMXTmLXv",1520504798856065026,playerpropodds
"#Cubs Lineup 04/30/22

1. Nick Madrigal 2B
2. Willson Contreras DH
3. Patrick Wisdom 3B
4. Seiya Suzuki RF
5. Frank Schwindel 1B
6. Yan Gomes C
7. Ian Happ LF
8. Michael Hermosillo CF
9. Nico Hoerner SS

Starting Pitcher : Justin Steele",1520486883779702784,DailyMLBLineup
"4/30 Chicago Cubs Lineup:

1 2B Nick Madrigal
2 DH Willson Contreras
3 3B Patrick Wisdom
4 RF Seiya Suzuki
5 1B Frank Schwindel
6 C Yan Gomes
7 LF Ian Happ
8 CF Michael Hermosillo
9 SS Nico Hoerner

 SP:Justin Steele #ItsDifferentHere  #MLB",1520486319079706625,GSMLBPicks
Watch: Willson Contreras in tears talking about playing on same field as brother William #FanSided #MLB https://t.co/l0VpJz3PRu,1520462126447423488,x3tko
Willson Contreras for MVP,1520451711726280704,CubsB0t
"Willson Contreras has the 5th highest rate of hard hit balls in #MLB and only a .271 BABIP, so he is likely hitting into some bad luck to start the year. #Cubs",1520412115785314304,dawblack
"Full circle for Venezuelans brothers Willson and William Contreras. Behind that embrace and tears were years of sacrifice and effort as well as moments of despair and sadness. 

This is the result of a whole family and circle of friends effort. 

#ContrerasBrothers https://t.co/cHwf5j1YkC",1520354694228758529,carbellorin
"#MLB | Willson Contreras | #ItsDifferentHere | 3-0, BB, K  | .231 AVG 

#ArribaTigres |  #TigresEsAragua",1520340331056836608,TigresOficiales
"Willson Contreras: Second Braves batter ever to have a multi-homer game against the Rangers.  Andruw Jones, Jun 8 2002 (W 6-3).
https://t.co/SiHfRFV4Sn",1520257697618219008,dakern74
"#Cubs 1 @ #Brewers 9 [T8-1o]:

Willson Contreras (swinging; 1)

RHP Jandel Gustave (1)
Seq (5): SL FF× sl sl FF×
s3: 97.3mph Four-seam Fastball",1520236314528002048,whifftracker
Patrick Wisdom's daughter's favorite player (aside from her dad) is Willson Contreras. What a brilliant child.,1520229014329253888,BCB_Sara
"WILLSON CONTRERAS CHARGES THE MOU--

Oh wait, that's right",1520197429613805568,kneary22
"Willson Contreras - Atlanta #Braves (2021? Never? Yet?)

Was supporting his brother William Contreras during the 2021 World Series.

 #ChopOn #ForTheA https://t.co/M516ChUeMd",1520196458082979840,WrongUnis
I love Willson Contreras. To meet your brother on the ball field…. childhood and family dreams come true. https://t.co/BIggSKPGtG,1520177602081734660,CitizenMJ
"For the record, I couldn't care less about the NFL draft because it's FRICKING BASEBALL SEASON and the Cubs have Seiya Suzuki and Ian Happ and Nico Hoerner and Marcus Stroman and Kyle Hendricks and Keegan Thompson and Alfonso Rivas and Willson Contreras and Patrick Wisdom and Sco",1520152652054769667,baseball_buj
Willson and William Contreras had an emotional moment exchanging lineup cards before tonight's game,1520145313771708416,IlsaZulaika
What a moment to see Brother to Brother make their dreams come true to be a Major Leaguer playing each other that was fun for Contreras Brothers William and Willson #40 #24 #Cubs #Braves 2016 World Series Champions and 2021 World Series Champions https://t.co/9kImf2s8wZ,1520144128398565378,L_OrtizJr23_45
"#Cubs Lineup 04/29/22

1. Rafael Ortega DH
2. Jonathan Villar 2B
3. Willson Contreras C
4. Ian Happ LF
5. Seiya Suzuki RF
6. Alfonso Rivas 1B
7. Patrick Wisdom 3B
8. Jason Heyward CF
9. Nico Hoerner SS

Starting Pitcher : Kyle Hendricks",1520141819442434048,DailyMLBLineup
"4/29 Chicago Cubs Lineup:

1 DH Rafael Ortega
2 2B Jonathan Villar
3 C Willson Contreras
4 LF Ian Happ
5 RF Seiya Suzuki
6 1B Alfonso Rivas
7 3B Patrick Wisdom
8 CF Jason Heyward
9 SS Nico Hoerner

 SP:Kyle Hendricks #ItsDifferentHere  #MLB",1520138954598940672,GSMLBPicks
"Chicago Cubs lineup:
1. Rafael Ortega (L) DH
2. Jonathan Villar (S) 2B
3. Willson Contreras (R) C
4. Ian Happ (S) LF
5. Seiya Suzuki (R) RF
6. Alfonso Rivas (L) 1B
7. Patrick Wisdom (R) 3B
8. Jason Heyward (L) CF
9. Nico Hoerner (R) SS
https://t.co/Y3W1k9vpkY",1520138236118589440,AwesemoMLB
Willson Contreras after getting brushed off the inside part of the plate. https://t.co/sGgchFTzLA,1520113138510741504,MadChad10
Willson Contreras remains one of the best people — forget that he’s one of the best players — I’ve ever had the privilege of spending a season with. https://t.co/znPFkYpji6,1520112111715864576,JustinRocke
Willson Contreras gets emotional while talking about what it means to have his brother William in the big leagues with him https://t.co/M2QdV9Fuz8,1520110650151866368,MainTeamSports2
Watch: Willson Contreras in tears talking about playing on same field as brother William https://t.co/tv9rbF9rKp #sports #feedly,1520090247241121795,TheReal_KDubb
The emotions initially hit Chicago Cubs catcher Willson Contreras around 3 p.m. Thursday. https://t.co/eWiPUVreUx,1520089035733192706,mdjonline
The emotions initially hit Chicago Cubs catcher Willson Contreras around 3 p.m. Thursday. https://t.co/Yvxs9O2io7,1520089034974015488,CobbFballFri
Willson Contreras cries after pre-game meeting with brother https://t.co/WbOnFoUtIt via @Yahoo,1520064309799182336,tramz18sports
"Willson Contreras shares emotional moment with his younger brother William, an Atlanta Braves catcher: ‘No one knows how hard the road is’ https://t.co/7cTNhVxihr https://t.co/z8ilzGlgC3",1520056205418196992,ChicagoUnvrz
"Willson Contreras shares emotional moment with his younger brother William, an Atlanta Braves catcher: ‘No one knows how hard the road is’ https://t.co/VdHrOOSkMm https://t.co/PZPDQNxc6Y",1520054579013980161,RonBohning
Continuing the streak of wholesome Willson Contreras content making me cry at least once every baseball season. https://t.co/56yUVsSvml,1520053186014461952,denisejoyce
Willson Contreras breaks down in tears after exchanging lineup card with brother – Major League Baseball News https://t.co/GxDcslE089,1520052672707014656,USSportsNew2021
"I don't care what you can get for Willson Contreras by trade, or how much an extension would cost.  He's the heart of the club, and has been for a few years now.  It's hard not to love him. https://t.co/izyf4petVF",1520048290024374272,JamieKeith27
Willson Contreras breaks down in tears after exchanging lineup card with brother #YahooSports #MLB https://t.co/h3YYU1k4Do,1520047438236688384,x3tko
"Willson Contreras wanted to make sure he never forgot the day his team played against his brother's team. 

https://t.co/kpojnG3hk0",1520040211299770368,amartinez_11
"MLB/lists/beatwriters,SOCCER  @Taylor_McGregor: 'I also asked #Cubs Willson Contreras about what made him emotional in the moment. Here’s what he had to say: ' https://t.co/29WZpe9w4B, see more https://t.co/8M5KoKX5cx",1520038862730444801,Faithtown
Cubs catcher Willson Contreras exchanges lineup cards with younger brother William in emotional … – Major League Baseball News https://t.co/qaQJxytxgQ,1520035939212357633,USSportsNew2021
Cubs catcher Willson Contreras exchanges lineup cards with younger brother William in emotional scene https://t.co/qL1bbDfCkG,1520031425432543232,Sportscri_tweet
"Willson Contreras shares emotional moment with his younger brother William, an Atlanta Braves catcher: ‘No one knows how hard the road is’ https://t.co/vkdDGRUFvs",1520030255142121472,goalmirror
"Willson Contreras shares emotional moment with his younger brother William, an Atlanta Braves catcher: ‘No one knows how hard the road is’ https://t.co/xH3gh63nLF #Cubsessed #iamCubsessed #ChicagoCubs https://t.co/KBoKpdsgfr",1520027389203337217,CubsessedCubFan
Officially a Willson Contreras fan now. https://t.co/cnJh9sRkFo,1520024244595351552,skp723
Greatest story line in sports right now….the love and support Willson Contreras has for his little brother William.,1520018020080439297,whatagreatpair
Really nice moment when their coaches let them exchange lineup cards to start the game. Cubs catcher Willson Contreras shared a field with his brother William for the first time in their professional careers on Thursday. https://t.co/LRt1qsKArf,1520017511189671936,mwibben
"Willson Contreras, William Contreras Share Emotional Moment During Lineup Card Exchange - Cubs Insider https://t.co/Ovu56olsrX",1520015158659137537,DEvanAltman
Willson Contreras needs to be extended by the #Cubs. https://t.co/4VMf4MyJrD,1520007876626030596,SonRanto
There is crying in baseball: Contreras bros.' special moment https://t.co/yEDz5g3h30 via @mlb,1519983528943005697,kittycatrj
"There is crying in baseball: Contreras bros.' special
moment https://t.co/8gkaQzC86B",1519955264371310593,probaseballlive
"Wholesome moment:

Brothers @Wcontreras42 and Willson Contreras exchanged lineup cards before tonight's game. 🥰 https://t.co/mf73ltvhp5",1519946957925621760,EnternalMLB
Cubs’ Willson Contreras shares field with younger brother William - https://t.co/FiErGM7W5L temporary covers https://t.co/Bn9IBaC7CG - https://t.co/TvdDSLNokD,1519937641940144128,e_newsUS
Cubs’ Willson Contreras shares field with younger brother William - https://t.co/FiErGM7W5L temporary covers https://t.co/Bn9IBaC7CG - https://t.co/3cTqXX0xgD,1519937639352262656,e_newsUS
"CUBS BACK IN THE LOSS COLUMN!! 
BRAVES TAKE THE SERIES!
BRAVES PITCHING WAS JUST TOO MUCH TO HANDLE!! 

   The best part of this one was before the game started. The Contreras Brothers brought out the lineup cards to the ump. Willson &amp; William hugged &amp; took a few pics. https://t.co/yv91m4hIDb",1519910462460203010,BMPHitman
"If you haven't watched the #Contreras brothers exchange lineup cards and then Willson's interview, then prepare to be hit right in the feels",1519908759740448768,xicanabruinette
Cubs’ Willson Contreras shares field with younger brother William - https://t.co/Cp4X1TjZER,1519897361778196480,e_newsUS
I fucking Love Willson Contreras. How can you not have this guy on your team forever. Make it make sense @Cubs https://t.co/E1KIm0MuIL,1519891812764295168,_REALJD_
#e_RadioUS Cubs’ Willson Contreras shares field with younger brother William https://t.co/nkdRBecDOh,1519890951845650432,eRadioUS
"Still my favorite. Still not close.

Extend. Willson. Contreras. https://t.co/tRFYLaDCj5",1519889450758778882,BCB_Sara
Cubs’ Willson Contreras shares field with younger brother William https://t.co/RC6nu0aX3J,1519889041470246917,suutancom
‘Moment of my life’: Cubs’ Willson Contreras shares field with younger brother William https://t.co/YLWAIh51Ku,1519888135022383104,usasharenews
#latestnews Willson and William Contreras exchange lineup cards and a hug prior to the Cubs and Braves game - https://t.co/2cOVDngpbv (POST_EXCERPT},1519878619790774273,ClickySound
dont ever tell me willson contreras isnt worth being part of your organization https://t.co/75GcbvIvDF,1519877909468651521,DOM_Frederic
"Willson Contreras is the heart &amp; soul of this team. #ExtendContreras 

(📸: @WatchMarquee)  https://t.co/NzOQN7jWiN",1519877431225630722,CubsZone
"#MLB | Willson Contreras |  #ItsDifferentHere  | 3-0, BB, K  | .242  AVG",1519872792841408520,TigresOficiales
Love it! Willson Contreras is my favorite player. https://t.co/vm1vuAvj3k,1519863600084566018,GPatrick
"I just love Willson + William Contreras.

#Cubs #Braves",1519863050014052352,WLWDFLWRR
"Top 6th - @Cubs challenge call that Willson Contreras is out at 1B; call overturned, runner is safe. Powered by @Mitel. https://t.co/tijnWwv40x",1519862397728665605,MLBReplays
"FINAL (2:49): Braves beat Cubs 5-1

Time of Possession
Braves: 42 minutes, 9 seconds (50.8%)
Cubs: 40 minutes, 49 seconds (49.2%)

Longest half inning
Braves ⬇️8: 14 minutes, 19 seconds

Longest PA
Willson Contreras ⬆️6: 4 minutes, 36 seconds",1519862020706865154,MLBPossession
"Wholesome baseball moment!! Brothers Willson and William
Contreras exchange lineup cards! https://t.co/eZPgYg7Qn7",1519860262307774464,probaseballlive
Wholesome baseball moment!! Brothers Willson and William Contreras exchange lineup cards! https://t.co/BhkE2JwczH,1519852541709889540,SunsetStreaming
Wholesome baseball moment!! Brothers Willson and William Contreras exchange lineup cards! https://t.co/KZUUkZgDJ0,1519852525381316608,DonELichterman
MLB: Wholesome baseball moment!! Brothers Willson and William Contreras exchange lineup cards! https://t.co/t8alI1gjag,1519850587608600576,topbaseball247
"Watch: Contreras brothers Willson, William share emotional moment while exchanging lineup cards before Cubs-Braves game https://t.co/iVfGFUloKU via @670TheScore",1519848312525971459,KerryLor
Extend Willson Contreras. https://t.co/nru7Vo5GEK,1519841802748059651,obvious_shirts
Brothers Willson and William Contreras exchange lineup cards before Cubs-Braves game | #shorts #Chicago #Cubs #MLB Video: https://t.co/nwbJwuzu21,1519841400099000320,Chi_Fans
Man that Willson Contreras is a real piece of shit…. https://t.co/XnvjKW8FKJ,1519839862685421569,brianklboyd
Brothers Willson and William Contreras exchange lineup cards before Cubs-Braves game | #shorts https://t.co/mr6Rsh5egN #cubsessed #iamcubsessed #chicagocubs https://t.co/IjyzMNrp9b,1519838892374913024,IamCubsessed
Contreras brothers share emotional pregame moment https://t.co/rxThDLqVwB,1519835392018575360,BerkleyBearNews
https://t.co/ecZb0l5cHb: Contreras brothers share emotional pregame moment https://t.co/F2cScb1gvA,1519835376944222209,topbaseball247
Going to need that Kyle Wright changeup sword on Willson Contreras @PitchingNinja 🔥,1519832740337758208,RayButler365
"#Cubs 1 @ #Braves 2 [T4-1o]:

Willson Contreras (swinging; 1)

RHP Kyle Wright (4)
Seq (5): SI CH ff cu CH×
s3: 87.5mph Changeup",1519832527296503808,whifftracker
"Amazing Contreras Bros Moment: Willson and William Contreras exchanged lineup cards ahead of Cubs-Braves ❤️🎥

https://t.co/mDJwmv7WRA",1519828340340928512,mikeyangus
Protect Willson Contreras at all costs. (Also extend Willson Contreras at all costs) https://t.co/vSNb7f9yuT,1519823931418591235,Dan_LeGere
Here's some heartwarming content for the day. Contreras brothers exchanging lineup cards and Willson getting choked up. ❤️ https://t.co/8uMnojIn8i,1519823340399173632,supermandy77
"Special moment before @cubs-@Braves game, as brothers Willson &amp; William Contreras exchange the lineup cards.
 https://t.co/UsJqHL32YV",1519822623319859201,LastNights_Game
I love willson contreras https://t.co/NKqxx0jnO1,1519820111422668800,DOM_Frederic
A feelgood moment before CHC/ATL.  William Contreras &amp; Willson Contreras exchange lineup cards. https://t.co/tzDVxJ8A5y,1519819691631517696,Andy_Beebe
"Willmer Contreras 
Willson Contreras 
William Contreras

William &amp; Olga Contreras know how to theme a family name.",1519819309996032003,KurtisArndt
"Willson &amp; William Contreras got to exchange lineup cards together before the game today. 🥺

(📸: @WatchMarquee) @Taylor_McGregor https://t.co/B8kRTEo9w6",1519819178512949249,CubsZone
man I love Willson Contreras,1519818754384969728,johnfauxremus
"Watching Willson Contreras wipe away tears after an extended embrace with his little bro was something special.

William and Willson exchanged lineup cards before the game.",1519818361676435456,DoctorBobble
Willson Contreras’ bigger Chicago Cubs leadership role is fueled by years of listening — and putting in work https://t.co/RbMKCgQ4Gn https://t.co/Q60gC472Ia,1519783781527285760,ChicagoUnvrz
