full_text,tweet_id,screen_name
Reese McGuire plays way too much. I understand trying to conserve Yasmani Grandal but he’s going to end up really healthy while the team is ten games out of first place in August. #WhiteSox,1520882557994344450,JamesFox917
"FINAL (3:15): Angels beat White Sox 6-5

Time of Possession
Angels: 53 minutes, 16 seconds (57.6%)
White Sox: 39 minutes, 8 seconds (42.4%)

Longest half inning
Angels ⬆️9: 16 minutes, 7 seconds

Longest PA
Yasmani Grandal ⬇️9: 4 minutes, 9 seconds",1520877506064179202,MLBPossession
"I don’t know what Yasmani Grandal does anymore. Legitimately, someone answer me that question",1520832674675531778,john_p_51
"Reese McGuire helping White Sox keep Yasmani Grandal fresh (Chicago Sun-Times)

The White Sox are making a point of keeping Yasmani Grandal fresh for the long season ahead....

Add your highlights:
https://t.co/QB2lGKjFKi
 #WhiteSox #MLB",1520832484606300161,White_Sox_b
#e_RadioUS Reese McGuire helping White Sox keep Yasmani Grandal fresh https://t.co/5S050LpmEZ,1520827070594572288,eRadioUS
My #PickToClick for this afternoon's game is Yasmani Grandal. #ChangeTheGame #WhiteSox,1520823917048381441,ChiSoxFan4Lfe
"Yasmani Grandal still elite at framing, the ump had money on the game, or the ump is blind? https://t.co/b34ewTr0ME",1520818636952199168,migueroa03
Reese McGuire helping White Sox keep Yasmani Grandal fresh - https://t.co/F9wfWsfVkc,1520818568736165891,e_newsUS
"Yasmani Grandal vs #Angels (rated B+)

B+ vs SP Michael Lorenzen
B vs Angels bullpen

4.46 projected PAs
To hit a HR: 13.8% (+624)
2+ hits: 19% (+437)
2+ bases: 34% (+192)

#ChangeTheGame https://t.co/WYfbpUQLDj",1520808294260088832,BallparkPal_CHW
"White Sox - Current On Base Streaks

Andrew Vaughn     11 games
Yasmani Grandal    7 games
Jose Abreu              3 games 
Adam Haseley        3 games
Tim Anderson         2 games",1520808211783331845,JayCuda
"Michael Lorenzen vs #WhiteSox
D- matchup

3.94 Innings, 1.87 Runs
3.77 Hits, 3.68 Ks, 1.64 BBs

Best Matchup: Leury Garcia (B)
Worst Matchup: Yasmani Grandal (F)

Win: 30%, Loss: 22%, No Dec: 48% https://t.co/evPZWZRQvn",1520802555156217860,BallparkPal_LAA
"#WhiteSox Lineup 05/01/22

1. Tim Anderson SS
2. Luis Robert CF
3. Yasmani Grandal DH
4. Jose Abreu 1B
5. Gavin Sheets RF
6. AJ Pollock LF
7. Leury Garcia 2B
8. Reese McGuire C
9. Josh Harrison 3B

Starting Pitcher : Dallas Keuchel",1520792527103692800,DailyMLBLineup
"5/1 Chicago White Sox Lineup:

1 SS Tim Anderson
2 CF Luis Robert
3 DH Yasmani Grandal
4 1B Jose Abreu
5 RF Gavin Sheets
6 LF AJ Pollock
7 2B Leury Garcia
8 C Reese McGuire
9 3B Josh Harrison

 SP:Dallas Keuchel #ChangeTheGame  #MLB",1520789771617976322,GSMLBPicks
"White Sox Starting Lineup - May 1:

1. Tim Anderson - SS
2. Luis Robert - CF
3. Yasmani Grandal - DH
4. Jose Abreu - 1B
5. Gavin Sheets - RF
6. AJ Pollock - LF
7. Leury Garcia - 2B
8. Reese McGuire - C
9. Josh Harrison - 3B

SP: Dallas Keuchel https://t.co/UHuFugxutG",1520789435725631489,SoxOn35th
"Top-rated #WhiteSox matchup vs Michael Lorenzen:

Yasmani Grandal (A+)
B+ matchup vs Lorenzen

HR: 4.5% (-0.5)
XBH: 4.6% (+0.1)
Hit: 20.6% (-0.5)
On Base: 39.4% (+3.1)
Strikeout: 22.5% (-2.1)

#LAAvsCHW | #CHWvsLAA
#ChangeTheGame https://t.co/0RRe36kBTr",1520769890495442945,BallparkPal_CHW
"The Chicago White Sox won a four-run victory over the Los Angeles Angels! Yasmani Grandal and Jake Burger got strikeouts for the Sox, while Josh Harrison and AJ Pollock got hits. Tim Anderson was the star of the game, scoring two runs and hitting a home run.",1520560691035443201,thebaseballwtf
Zack Greinke amazingly threw a fastball and changeup at the same speed in one Yasmani Grandal at-bat https://t.co/qtv1uKpFfi via @forthewin,1520461175686901763,kelly_tdmac
"#WhiteSox Lineup 04/30/22

1. Tim Anderson SS
2. Luis Robert CF
3. AJ Pollock LF
4. Jose Abreu 1B
5. Yasmani Grandal DH
6. Jake Burger 3B
7. Adam Engel RF
8. Reese McGuire C
9. Josh Harrison 2B

Starting Pitcher : Vince Velasquez",1520450455469314049,DailyMLBLineup
"4/30 Chicago White Sox Lineup:

1 SS Tim Anderson
2 CF Luis Robert
3 LF AJ Pollock
4 1B Jose Abreu
5 DH Yasmani Grandal
6 3B Jake Burger
7 RF Adam Engel
8 C Reese McGuire
9 2B Josh Harrison

 SP:Vince Velasquez #ChangeTheGame  #MLB",1520449968187789318,GSMLBPicks
"White Sox Starting Lineup - April 30:

1. Tim Anderson - SS
2. Luis Robert - CF
3. AJ Pollock - LF
4. Jose Abreu - 1B
5. Yasmani Grandal - DH
6. Jake Burger - 3B
7. Adam Engel - RF
8. Reese McGuire - C
9. Josh Harrison - 2B

SP: Vince Velasquez https://t.co/qZTbYbt3C9",1520449249875476480,SoxOn35th
"Chicago White Sox lineup:
1. Tim Anderson (R) SS
2. Luis Robert (R) CF
3. AJ Pollock (R) LF
4. Jose Abreu (R) 1B
5. Yasmani Grandal (S) DH
6. Jake Burger (R) 3B
7. Adam Engel (R) RF
8. Reese McGuire (L) C
9. Josh Harrison (R) 2B
https://t.co/Y3W1k9vpkY",1520448444372033540,AwesemoMLB
Check out this item in my Etsy shop https://t.co/hcltEM06YB,1520447317194809348,THESPORTZZONE
"🔥 Yasmani Grandal (CWS) has exceeded 0.5 total bases in 5 of his last 6 games (1.2 total bases/game average).

LAA @ CWS: o/u 0.5 available at #BetMGM (-160/+120).

#GamblingTwitter #PlayerProps #MLB #MLBTwitter https://t.co/ibb5nWyHY3",1520442887833411584,Fansure_MLB
"Yasmani Grandal caught no-hitters since 2020: 0

James McCann caught no hitters since 2020: 2

🤔🤔🤔",1520233685030772736,BabsatronXX
Did we see the last good season for Yasmani Grandal?,1520228392037191680,stoopkiid93
"The White Sox paid a lot of money (for them) for Yasmani Grandal, and he continue to be mediocre at best. Dude doesn’t catch at all anymore, doesn’t walk, doesn’t hit for contact or power, like what does he do anymore?",1520228117666799618,john_p_51
Yasmani Grandal is terrible right now #drunkanalysis,1520227782357401601,soxmachine_josh
"#Angels 5 @ #WhiteSox 1 [B9-2o]:

Yasmani Grandal (swinging; 1)

RHP Raisel Iglesias (1)
Seq (5): SL ff ch CH SL
s3: 81.5mph Slider",1520227775478702080,whifftracker
"Catchers with at least .200 ISO and positive framing runs since 2019 (min. 500 PA)

* Yasmani Grandal
* Mike Zunino
* Sean Murphy
* Tom Murphy https://t.co/XYz6OOKZpd",1520155560691355652,FoolishBB
@DaveCherman anything to be afraid of in trading FOR Yasmani Grandal?,1520126915717304320,fugularity
