full_text,tweet_id,screen_name
"Having someone who doesn't respect you or your struggles is  worth less no matter how pretty she  is...

Young Kings let's wake up go hustle.",1520915946830974976,liquid256_amato
"Trevor Noah COMPLETE REMARKS at 2022 White House Correspondents' Dinner ... https://t.co/xI5Sy1KbUl via @YouTube 

@Trevornoah !!! you are a beam of brilliance that will inspire alot of young africans. Genius",1520915909573058563,glenamungwa
"There’s no words that can describe how I feel about this young man. ⁦@sonnystyles_⁩ you and your Lady look Beautiful together, and I wish you all the very best as you start the next chapter of your life. Just know that God has already laid your path for you.
“Coach” Howard https://t.co/JOwiJ5z2hz",1520915894217723904,glhoward109
"As many of you all are already aware of, the #StormChasing community tragically lost 3 young chasers late Friday. Those chasers, all students at OU, were Drake Brooks, Nicholas Nair, and Gavin Short. May God grant them eternal rest, and may their souls be at peace.

#JDHuffmanHWS",1520915784318521352,JDHuffmanHWS
"Cuteness as I was having coffee. Two young girls walk in and the tiny one said, ""I'd like to pay, please."" and handed the barista a $2 coin. Barista said, ""thank you"", took the coin and and as they were heading out handed it back to the older one. Apparently a regular thing.",1520915743738843136,haresfur
"They're coming at you sis because y'all got a problem with a kid being arrogant. That's like...95% of the NBA, old and young. The Warriors are very cocky, so were the Lakers and Bulls, no matter the era way before they won anything. Cockiness is good for the league. https://t.co/8BV6ASUtjv",1520915422970888194,TheRoyalJoshua
You know how many computers I destroyed with Limewire and Frostwire as a young buck lol,1520915418638176259,Nole___ksum
@Val_Cagle keep doing great things a lot young ladies admire the way you play the game and strive to reach the goals you are accomplishing. https://t.co/0OIF3x7eby,1520915386321051650,PatrickMMonahan
"@tashawn544 
You go out there and kick ass and take names young man !!

We are Kentucky and if Florida and Auburn and Tennessee and South Carolina and Louisville and Vanderbilt
And Georgia and all the rest want some ?

Then let's give them all they want including a ass whipping",1520915366163062785,cage_c02054197
"College is NOT a waste of time. 
If you wasted your time studying something that there’s no demand for, don’t discourage young minds from going to college.

Stop highlighting college dropouts who turn millionaire/billionaire.

They had a game plan, work on yours!",1520915349281120256,TD_Investor
"I work with females much younger than me, like 21-27, and I feel like the mom off of Mean Girls. ""You girls keep me young""",1520915298563489792,ashcashbaby_
