full_text,tweet_id,screen_name
"40 pitches through 2 is bad for Buehler. 

Gotta pull a Yu Darvish if he's gonna get through it",1520868171363717120,OTLF2022
"Explanation for why early on in 2022 there are fewer hits in an average #MLB game than ever before.
Secondary pitches are being thrown far more frequently than traditional fastballs.

""What Is Pitching in 2022?
It’s Padres Ace Yu Darvish, the King of Spin""
https://t.co/kHp3J75tqI",1520855401645891587,MeyersMusings
"Yu Darvish Major League Debut. Seattle Mariners Vs Texas Rangers.

https://t.co/ch4FzIli9d",1520835841853050881,Darvish11MLB
"MLB: Yu Darvish signs with the Rangers for $60 million.   
https://t.co/ch4FzI4f7d",1520820747492794368,Darvish11MLB
"Yu Darvish, RHP Texas Rangers  https://t.co/ch4FzI4f7d",1520813197166784513,Darvish11MLB
Yu Darvish. That's it. That's the whole tweet.,1520723501128183808,CubsB0t
Yankees Baseball Daily: Yu Darvish   https://t.co/ch4FzIli9d,1520722626104094720,Darvish11MLB
Yu Darvish 2021 Panini Flawless #autographed https://t.co/DfV1bHJlEB,1520632015107809285,AutographDeals1
"Today’s trade underscores just how well Padres did acquiring Trent Grisham and Zach Davies for Luis Urias and Eric Lauer. Urias has struggled, prompting trade for Willy Adames. Lauer is back in AAA. Meanwhile, Grisham is becoming a star and Pads used Davies to get Yu Darvish.",1520630959984582663,BrewPack8
"Yu Darvish Major League Debut. Seattle Mariners Vs Texas Rangers.

https://t.co/ch4FzIli9d",1520624462848139264,Darvish11MLB
"MLB: Yu Darvish signs with the Rangers for $60 million.   
https://t.co/ch4FzI4f7d",1520609364473970688,Darvish11MLB
"Yu Darvish, RHP Texas Rangers  https://t.co/ch4FzI4f7d",1520601813858549760,Darvish11MLB
"Today’s trade underscores just how well Padres did acquiring Trent Grisham and Zach Davies for Luis Urias and Eric Lauer. Urias has struggled, prompting trade for Willy Adames. Lauer is back in AAA. Meanwhile, Grisham is becoming a star and Pads used Davies to get Yu Darvish.",1520588765428858881,jtobrien99
