full_text,tweet_id,screen_name
in times like these I try to remember that yuzuru hanyu is a better person than me so he's actually probably really excited that other people are attempting the 4a too,1520915864706449409,mochiiyuzu
so when are we getting yuzuru hanyu's quad axel (ghislain cut) https://t.co/8LN5GcfLRr,1520898327725891584,odilehanyu
"It's 7:30 AM in Sendai, Japan. Yuzuru Hanyu has just returned from the ice rink. Yes, his daily skating practice begins at midnight. Yuzuru takes a quick shower, does skincare routine, has some strawberry smoothie, and plays Nintendo Switch for 1 hour. Then he opens twitter and--",1520894381313892352,PH_balanced4
"Alexei Nikolayevich Mishin : You may beat Yuzuru Hanyu, but you can never surpass him.",1520889472497631232,glittercontinue
who wants a list of yuzuru hanyu programs to watch 🧐 I've compiled some of my favourites and I need ppl to talk about him with!,1520884974722953217,boo17_boo
The quadg0d trying a 4a? Good for him. Full gas. This doesn't take anything away from Yuzuru Hanyu or anyone else.,1520881074565312513,CuprisinCarey
I will only support Yuzuru Hanyu ONLY till the end https://t.co/2hGkakPc4w,1520880527787520000,silverlining272
"goodnight moots, take care and look after yourselves &lt;\3 don’t forget that whatever happens yuzuru hanyu is the only one that can skate ‘yuzuru hanyu’s’ figure skating https://t.co/LsdxLwQtD9",1520877866401116161,seimeiair
"i step up to the mic. “gojo satoru is actually yuzuru hanyu” i say. the crowd immediately starts booing me. i turn to leave the stage in shame.

“she's right,” a voice says from the fifth row.

i look up. it’s gege akutami himself.",1520876992291299328,yuzuslegacy
"I know you know it, but just in case the constant noise would give you doubts at 4am when darkness strikes, you're the only one who can do ""Yuzuru Hanyu figure skating"". #YuzuruHanyu #羽生結弦 https://t.co/yPUSp26eqO",1520874918845591552,elsarendel
"People want to see the 4A, want to see Yuzuru Hanyu's 4A, because that is Yuzu's dream, they want to see Yuzuru Hanyu's happy smile when he completes his dream，the dream could be 4A, it could be something else. It depends on Hanyu.
#羽生結弦 #YuzuruHanyu𓃵 https://t.co/79D6JVzICy",1520869458407227392,suwei0921
"I care about 4A because it is Yuzu's last and long term dreams as skater.
And I just wanna support him, the one who put all he has to it, and he has been working hard on it
More over all the setbacks that he has been going through to make it comes true.
Yuzuru Hanyu now &amp; forever https://t.co/CmZoEATie4",1520868339442085889,silverlining272
"forget yuzuru hanyu and patrick chan, this is the best figure skating rivalry of all time https://t.co/lJUeVliQLc",1520862522605285379,younglysas
"It only takes a 15 seconds video for everyone to see why people love Yuzuru Hanyu &amp; Yuzuru Hanyu skating  🙂 

#YuzuruHanyu #羽生結弦 #YuzuruHanyu𓃵 https://t.co/1zUnHXrFCp",1520861290062880768,K72958122
at the end of the day nobody can skate like yuzuru hanyu https://t.co/YncLNIGYBO,1520857186741547010,thinksabtyuzu
covering yuzuru hanyu’s eyes right now and holding on as hard as i can to prevent the world from crumbling into dust.,1520856839151398912,paracosmicmess
True points here… this attempt even confirms how much impact Yuzuru Hanyu has on this sports https://t.co/WvaEsLZQiQ,1520855893352624129,EmperorOfIce1
From today i defy the name yuzu i am only going adress him as yuzuru hanyu because that man deserves all the respect in the world. So its yuzuru hanyu for everyone,1520854569093189632,flyhanyu7
"Say thank u to Ilia, he is breaking his back to use his white men privilege so ISU will rise the base value of 4A for when Yuzuru Hanyu do it in competition",1520852769556598787,andreina1199
“are you okay” no i miss yuzuru hanyu’s quad lutz,1520849941198868480,tackyandwilson
fstwt is a disease y’all are being fucking weird about somebody…practicing a jump?? why are you angry that a skater is training? yuzuru hanyu does not own the rights to quad axel attempts lmao please acquire an ounce of decorum,1520847244965990400,tackyandwilson
"anyways yuzuru hanyu is the standard 
https://t.co/n5POe1H4gl",1520847211424366592,Cartisma_
Thank you for sharing these precious photos. I feel truly blessed to watch Yuzuru Hanyu's figure skating.🌸 https://t.co/zUHGa4Aq6B,1520846512791908352,PH_balanced4
There will never be another figure skater like Yuzuru Hanyu. https://t.co/M9WbXvDF2i,1520846266783395840,Channn94
"‘And the whole world will follow you, while you are overcoming obstacles. And then everyone will go there’ — Tatiana Tarasova about Yuzuru Hanyu. Worlds 2019 https://t.co/OyOkDO0K1M",1520845397220114443,ofelzu
somebody please check on yuzuru hanyu,1520844581599727617,tackyandwilson
"as always, yuzuru hanyu the motherfucking goat who pushes this miserable sport forward",1520843994032492546,hanyunist
"Now someone call me a Hanyu Hater, cuz I called Yuzuru Hanyu, well Hanyu, it is fucking surname. Someone can tell how I suppose call him?",1520842526244098048,andreina1199
"""Delicacy is the aristocracy of strenght""
-French commentator about Yuzuru Hanyu performing Notte Stellata https://t.co/5art1MnQOI",1520842099079499776,golddandelions
"For competitive competition, the 4A that jumped out in the game only makes sense; Yuzuru Hanyu must have succeeded more than once in practice.  To inspire more athletes to challenge, this is the spirit of sports.  Proud of Yuzuru Hanyu! you are we light！ https://t.co/VzErzG1qhY",1520838751110320128,jass7433
