full_text,tweet_id,screen_name
"When you have a name as cool as Zinedine Zidane, you are bound to be a great :P",1520848328141193216,Xanedro
Zinedine Zidane made it look easy 🐐🇫🇷 https://t.co/H6GU7aE5v9,1520841816458895361,RmaOzil23
"MS Dhoni's aura of invincibility and inevitability is only second to Zinedine Zidane. Somehow, someway, he just manages to get it done.",1520820074046980096,TheRoyNextDoor
"Thursday's  Zinedine Zidane @ElNennY 
#WESARS",1520811418697805826,S_partacherry
Sergio Busquets is better than Zinedine Zidane,1520796072171294721,busquetsis
"“I once cried because I had no shoes to play soccer, but one day I saw a man who had no feet, and i realized how rich i am.""

Zinedine Zidane",1520794816665341953,salmannjutt
Zinedine Zidane to Chelsea? Who say no?,1520781768411865089,prof8ssorzoomm
Whoever didn’t get to watch Zinedine Zidane live u gonna watch him today playing against Milan https://t.co/7SR8I9BXtm,1520749788932841473,_jcak
"How highly do you rate Zinedine Zidane? Do you think he has a case to make it in the GOAT debates and if so, why?",1520739511223074816,AmeyaJirage
A Thread on why Bayern needs to get Zinedine Zidane : https://t.co/XJe9ukMguN,1520723924052582400,CaptBavaria9
"To think we had him and let him go! Ancelotti makes history
Ancelotti was lured back for a second spell at Real last summer following the departure of Zinedine Zidane, quitting Everton after 18 months at the Premier League club.
BBC.",1520723736936304641,RStopman
"""(Del Piero) is different to Zinedine Zidane. He likes to play, he feels it in his soul. Between him and the Frenchman, I choose him. He never really grows old.""

Diego Maradona. https://t.co/y51GQ6gY2a",1520707423761498112,lelanglawas
"zinedine zidane from player pick

https://t.co/FseVKgS2b6 https://t.co/V2CHBf0eOh",1520694564088172544,Moayed4real
"Ancelotti came back to Real leaving Everton when things were not going well for the club with Zinedine Zidane leaving the club. He has shown incredible consistency in winning the league title, which.....
https://t.co/21JEofmic7",1520674399925706752,febdonline
Sergio Busquets is better than Zinedine Zidane #fcblive,1520662696106070016,busquetsis
Maddy Bell will miss the next game due to being attacked by a Lion while going for a run with Zinedine Zidane.,1520659496665858050,FatFightersNews
"Zinedine Zidane in  1991, at Cannes 📍 

He used to have hair 😀, If I tell you that I used to have moustache,  you'll say It's a lie 😃 https://t.co/Bo4GwOMPEC",1520655650560258048,ogalorenzo
"Your doctor said your life depends on a penalty kick, if the player misses, you're dead.

I call Zinedine Zidane, who do you call ?👇

#football
#Zidane https://t.co/T0CrXRKpj5",1520639191020830721,olivifysports
Sergio Busquets is better than Zinedine Zidane,1520614781803147264,busquetsis
"i was in paris living the dream, they call me zidane the zinedine",1520564610180517888,cartisint3rn
The best coach after Zinedine Zidane is Caruaclotti. Hala Madrid https://t.co/pMTQLzOBxt,1520493299999682560,aymen86972838
"Zinedine Yazid #Zidane, nicknamed ""#Zizou"", is a #French former #professional #football #player.
Discover the full story..
https://t.co/Bgumknjw5F https://t.co/hpHbyXy7l4",1520493215404732416,Historydraft
"Gareth Bale for Real Madrid

More goals than Ronaldo
More assists than David Beckham
More trophies than Zinedine Zidane
More league titles than Cristiano Ronaldo
More games than Luis Figo
Won four Champions League titles https://t.co/oblBaHgyja",1520488932277948418,GJeffas
Zinedine Zidane was some player https://t.co/cej6oowMzH,1520478136399544321,FootbaIlBibIe
"The Don Carlo Ancelotti has a bigger and better legacy than Pep Guardiola, Jose Mourinho, Jurgen Klopp, Roberto Mancini, Luiz Erinque, Allegri, Rafael Benitez, Zinedine Zidane, Thomas Tuchel, Louis Van Gaal and any other current manager.👍🏽",1520468442687627266,MensahSarbah2
"""I once cried because I had no shoes to play soccer, but one day, I met a man who had no feet.""

– Zinedine Zidane https://t.co/BKqqN2rQWc",1520451173639245825,SoccerCoaching2
"Real Madrid has won La Liga, the Spanish SuperCup, and are in the UEFA Champions League semifinals the season after Sergio Ramos, Raphael Varane, &amp; Zinedine Zidane left the club. 

RELENTLESS 🤩",1520441724333658112,RMadridHome
"Hire Zinedine Zidane @KaizerChiefs.

Put your muscle where you mouth is.",1520438109489479681,vnmstr
Sergio Busquets is better than Zinedine Zidane,1520431145166405632,busquetsis
"Zinedine Daniel Yazid Ceballos Zidane .Tonight!🔥🫢😎

 #RMAESP #HalaMadridYNadaMas https://t.co/9Nr6BwcwTj",1520430297032138753,Maps_Welsh
"I also said that Zinedine Zidane 🇫🇷 
would be a great manager for 
Real Madrid and then he won
3 consecutive Champions Leagues",1520426023720046592,EggsonDaVinci
"“I cried because i had no shoes to play football with my friends , but one day i saw a man who had no feet and i realised how rich i am”

- Zinedine Zidane",1520381617507864576,MustafaJahanza2
"Just remembered the time my family and I were going through Bosnia by car and got caught speeding a bit. When the cops saw our French papers they asked “Zinedine Zidane?”, we said “Yes!” and they seemed so happy they let us go.",1520377384100417536,codename_Sly
Lukita. The most complete midfielder i ever seen. The greatest mid for me after Zinedine Zidane. https://t.co/gBgRUdKQ1l,1520344890349023233,RoyalMadridist1
"My Favourite Players of All Time ⚽

1- Leo Messi
2- Steven Gerrard
3- Zinedine Zidane
4- Dennis Bergkamp
5- Hazem Emam
6- Paulo Maldini
7- Thiago Alcântara
8- Mostapha Hadji
9- Hossam Hassan
10- Jay Jay Okocha

Who's yours!!",1520332823160397825,Davids0000
#NowPlaying Vaudeville Smash Feat. Les Murray - Zinedine Zidane https://t.co/u9B13Z8hg1,1520301187932864512,DirectionMRC
Sergio Busquets is better than Zinedine Zidane #fcblive,1520300594078097408,busquetsis
Sergio Busquets is better than Zinedine Zidane,1520249950138880000,busquetsis
