full_text,tweet_id,screen_name
ZUHAIR MURAD SPRING COUTURE 2013 https://t.co/1dLcxppoC3,1520764988897390592,CHERRYH3AVEN
What I want for eid is a dress by Zuhair Murad. https://t.co/7mw7dDOCcF,1520735096055107585,pinkpaisley3
It's a pity she can't wear zuhair murad their gowns are so gorge 🥲,1520578203752218624,vanessaurelia
I *need* atleast one of my faves to wear Zuhair Murad to the Met Gala because this man knows how to work with ✨ details ✨ https://t.co/XlDRCrQhhW,1520429862577926144,GoldenRush1989
Zuhair Murad Fall 2018 Couture https://t.co/kjdn2xOpOc,1520416573881790466,PHEAUXCOUTURE
"Zuhair Murad for couture Spring/Summer 2022, never fail as always😍",1520335210126094336,_ezzatdaniel
Zuhair Murad Spring 2022 Couture https://t.co/AUQmrXReYU,1520251601486848001,ravenstrut
THIS ZUHAIR MURAD COUTURE S/S 2013 DRESS TO MATCH https://t.co/ni6G1hTuKC https://t.co/2qZonO62tF,1520088854622998528,CHERRYH3AVEN
ZUHAIR MURAD AT COUTURE SPRING 2013 https://t.co/MFOaZAvI6i,1519826625365381120,CHERRYH3AVEN
"the day i wear an ellie saab, zuhair murad or ziad nakad dress ITS OVER FOR U ALL",1519721891979800585,GLACE0NS
"they easily could’ve gotten georges hobeika, ellie saab, paolo sebastian, zuhair murad SO MANY to make the dresses in beauty and the beast but no that paper mache dress is still here haunting my dreams",1519443059787714560,sl3eepybeauty
if my wedding dress isnt zuhair murad i dont want it,1519394014717517825,cancerruser
Zuhair Murad | Bridal Fall 2022 https://t.co/zn16nUjTM1,1519289972012068865,DEUILSTEARS
This lavender two-piece design with sewn jewels from Zuhair Murad's spring-summer runway 2022 collection would be perfect for #TaylorSwift https://t.co/eVkq4FAgos,1519247367685521409,floriswyatt13
zuhair murad spring 2022 couture https://t.co/zikqXC0gTj,1519161065095020544,serparctic
zuhair murad fashion show in paris (2013) https://t.co/PPKpP5TASi,1519068830424875008,ksteweveryday
Zuhair Murad Haute Couture Spring/Summer 2022 - Official Edit https://t.co/vQwhS8e5eu via @YouTube,1518869895479545857,MinaDiBari
If I ever got lost and walked down an aisle I'd hands down want a Zuhair Murad dress.,1518801072298418177,Lakergrrrl
Zuhair Murad Fall 2013 Couture https://t.co/30JcJD3125,1518645251870793728,DEUILSTEARS
"Zuhair Murad coture/fall collection ✨🔥
#fashion #coture #fashionstyle #trendy #gowns #outfit #model #runway #viral #aesthetic https://t.co/LsXj2JjIs0",1518342701779161089,Piscesbaebyy
Can't believe I saw Zuhair Murad and missed the chance to tell him that I'd die to wear one of his dresses.,1518330880216948739,reemnasra
Zuhair murad SS 2022 dress inspired by the ocean https://t.co/sqSxTc2oJq,1518290568039870464,highrunway21
