full_text,tweet_id,screen_name
"🏈 is alive and well in @JudsonISD
Future T-Birds, Patriots &amp; Rockets  in action today‼️
@JISD_ATHLETICS
@KarenWagnerHSFB @SAVeteransFBall @JudsonFootball 
#T3 #RocketPride #EETED https://t.co/NVf0uVg5On",1520915902836977664,CoachStarin
Congratulations to the East Jessamine Bass Fishing Team on winning Region! They had the highest weight total of any team. There will be four teams from East  that will be headed to STATE! @EastJessamineHi #GoEAST https://t.co/m5Yjqw2GJB,1520915861195919360,EJHS_Athletics
"Sectional Draw for Varsity Softball! 

Your Lady Eagles will take on the winner of Beech Grove/Bishop Chatard in the sectional Semi-Final! 

Game Info: TBA

Let’s Go Eagles! 

#1%Better https://t.co/QhWCBysKHY",1520915593544753155,CHA_Athletics
"Rival Athletics Black Widow 
(Small Coed 5) 

Hit! 

#TheSummit22 | Sunday",1520915507431583744,results_cheer
"While a sweep saddens me, at least tonight's 9th inning was fun. :) @Athletics",1520915471851212800,Eddie_Jennings
"Per CCU Athletics, @CoastalFootball’s Kendricks Gladney Jr. has signed an undrafted free agent deal to attend mini-camp with the @chargers.",1520915415437828096,_danny_kelly
"SGFC Athletics SC : Forward Joseph Donatus a prolific forward having scored 7 goals in this season with 4 Assists have topple April month with additional goals earning him the ""Player of the Month @ SGFC Athletics Squad"" Bravely Donatus have promised to do more in coming games. https://t.co/yziOdvnv8M",1520915398627102721,RichardOpanuga
"They Lady G-Men will host Purcell Marian in the First Round of OHSAA Tournament play on Monday, May 9th at 5:00pm 🥎 https://t.co/qDachJLtcW",1520915290892251136,Gtown_Athletics
Congratulations 16 Navy Ethos on getting that bid! They are heading to Indianapolis and are ready to crush it!! #webelieveinAreté #Nationalsherewecome https://t.co/pEVc3pD5p6 https://t.co/tscTSQ3EpD,1520915161233735680,arete_athletics
"I understand that the NIL is good for the student athlete but man between that and all of this transfer portal crap college athletics just doesn't feel the same anymore.  

It is what it is, but still sucks.",1520914844710490112,kridentagg
[UPDATE] Tampa Bay Rays -158 (-152) at Oakland Athletics +148 (+138) | Mon 21:40ET #TBvsOAK #MLB ~ code #ONAHEATR for https://t.co/yaGJFvNSnT,1520914643560058881,HEATRsports
Reminder to have your athletes sign up with number attending this week!  All senior athletes must sign up to receive their senior plaque! https://t.co/cPPXGxiRUK,1520914414798528512,page_athletics
Tomorrow’s COC golf meet at Branson is postponed due to the predicted weather. A make up date is TBD.,1520914323417272327,JHS_Athletics
Final: Athletics Mercado win Championship 9-2! https://t.co/n9GDqXN9uj,1520914283869003776,AMercadoAZ
Reed Smalling with a oppo Taco for a double for Athletics 14u‼️🌮#2DSelectSeries https://t.co/V7A1pMSj0H,1520914281096749062,2D_sportsYB
Congratulations to @ejaneh0803 on being nominated to the Syracuse Athletics' highest recognition as a student-athlete--the Soladay Award. Best wishes!🧡 https://t.co/Hm13hRu48P,1520914181091909632,MelCuse19
Jono and Praveen (Yr 12) came 1st and 2nd in the Nail Can Hill in the male U20 category on Sunday. Great effort for the boys considering how they ran at the Athletics Carnival Friday and will be running Cross Country today! Sore legs for sure! https://t.co/0ySCfvdHJP,1520914169096458241,Albury_High
Sectional 24 Draw | @GuerinSoftball https://t.co/yO4uEF7Nvv,1520914019825106944,GCHS_Athletics
T5| #16 Xy Navarro with sweet rbi bunt to put Athletics Mercado up 7-2. https://t.co/8JwLpQAad8,1520913656581525504,AMercadoAZ
"Cheer Ville Athletics - BG - Mystique 
(Small Coed 5) 

Hit! 

#TheSummit22 | Sunday",1520913590546538496,results_cheer
"Express Cheer Exceptional &amp; Cheer Athletics CrownCats, with amazing routines tonight.

-anon",1520913581377826816,CheerFessions1
"London 10,000: Mo Farah to race for first time since June https://t.co/IhqYl5hiq5",1520913470098616320,9jaCorpers
