full_text,tweet_id,screen_name
"Hollywood Newsmaker of the Week: Kim &amp; Pete make their red carpet debut, The Batman 2 confirmed and more: hi INDiA  

Attach Main Entertaiment Image:  newsmaker_9.jpg Another week passed by in Hollywood and we can say that it… https://t.co/9BqYYeRNpV | https://t.co/Vhb7EKELqw https://t.co/5mq9hFwvSX",1520894869413146624,hiindia
"Gangubai Kathiawadi took the win: Ira Khan shares thoughts on Alia Bhatt’s film: hi INDiA  

Attach Main Entertaiment Image:  ira-khan-main_1.jpg Aamir Khan’s daughter Ira Khan has shared her thoughts on Alia Bhatt’s Gangubai… https://t.co/uil64UMtCL | https://t.co/Vhb7EKELqw https://t.co/wKMnuIhB8E",1520894858549817344,hiindia
"Newswrap, May 01: Unseen PIC of Alia-Ranbir’s wedding, Dharmendra’s message after being hospitalized &amp; more: hi INDiA  

Attach Main Entertaiment Image:  ranbir_alia_bhatt_wedding_main.jpg Alia Bhatt-Ranbir Kapoor wedding: Neetu… https://t.co/XsnNpX5fkf | https://t.co/Vhb7EKELqw https://t.co/sXYygSnOu3",1520894848403795968,hiindia
"Kareena Kapoor asks ‘Why are Kapoors always near food?’ as Anil Kapoor posts throwback PIC; See actor’s reply: hi INDiA  

Attach Main Entertaiment Image:  kareena-anil-main.jpg Anil Kapoor’s latest throwback picture has… https://t.co/5SuI0KM0Gz | https://t.co/Vhb7EKELqw https://t.co/lYWeUeo0AV",1520879654814461952,hiindia
"Elizabeth Olsen reveals she wants to utter THIS iconic Scarlet Witch line in the MCU: hi INDiA  

Attach Main Entertaiment Image:  elizabeth_olsen.jpg With the upcoming release of Doctor Strange in the Multiverse of Madness upon… https://t.co/ArNmSaezDN | https://t.co/Vhb7EKELqw https://t.co/FscLpxapHB",1520879644039286785,hiindia
"Sonam Kapoor shares an adorable selfie; Don’t miss her pregnancy glow: hi INDiA  

Attach Main Entertaiment Image:  sonam_kapoor_glow_main.jpg Sonam Kapoor is soon going to be a mother and is currently enjoying one of the most… https://t.co/XaZ7EWBSce | https://t.co/Vhb7EKELqw https://t.co/JJiEvTGSFQ",1520879633171853312,hiindia
"Fans speculate THIS new Pete Davidson tattoo is a tribute to girlfriend Kim Kardashian’s four kids: hi INDiA  

Attach Main Entertaiment Image:  pete_davidson_kim_kardashian.jpg Fans speculate that Pete Davidson has yet again… https://t.co/p59ufgThPR | https://t.co/Vhb7EKELqw https://t.co/dBI7OI8pzu",1520865193147781120,hiindia
"Meghan Markle’s animated series dropped; Netflix nixes Archewell Productions project: hi INDiA  

Attach Main Entertaiment Image:  meghan_markle.jpg Meghan Markle‘s animated series has been dropped. According to a recent report… https://t.co/rgK9aIKZ1n | https://t.co/Vhb7EKELqw https://t.co/EDAr3NLyg0",1520865172985835520,hiindia
"Trevor Noah pokes fun at Will Smith’s Oscar slap at the White House Correspondents’ Dinner: hi INDiA  

Attach Main Entertaiment Image:  trevor_noah.jpg On Saturday, the first White House Correspondents’ Dinner in nearly three… https://t.co/GoqXAMe40g | https://t.co/Vhb7EKELqw https://t.co/UX5O9PQaSZ",1520865162005155842,hiindia
SM Entertaiment is my Live^^,1520865041804713984,QueenyoonaRP
"Bill Murray responds to suspension from Aziz Ansari’s Being Mortal set: It’s been quite an education for me: hi INDiA  

Attach Main Entertaiment Image:  bill_murray.jpg Recently Bill Murray topped headlines as he was suspended… https://t.co/mcQxTXlTPm | https://t.co/Vhb7EKELqw https://t.co/1seQUroBjM",1520850353297629184,hiindia
"Doctor Strange in the Multiverse of Madness: Director Sam Raimi explains why the film had to tackle re-shoots: hi INDiA  

Attach Main Entertaiment Image:  sam_raimi.jpg Marvel fans are ready to get lost in the madness of Doctor… https://t.co/O0vUg3jeUm | https://t.co/Vhb7EKELqw https://t.co/t1qRqT7pZe",1520850343482908674,hiindia
"Nysa Devgan exudes diva vibes in black co-ords as she parties with friends in new PICS: hi INDiA  

Attach Main Entertaiment Image:  nysa-devgan-main_1.jpg Nysa Devgan is one of the most popular star kids in B’Town in the recent… https://t.co/lYzGsVBelj | https://t.co/Vhb7EKELqw https://t.co/XTqMXps70w",1520850333588590593,hiindia
"Mila Kunis, Ashton Kutcher and others of That 70s Show original cast reprise their roles in Netflix spin-off: hi INDiA  

Attach Main Entertaiment Image:  that_70s_show.jpg It’s official! The original cast of the famous That 70s… https://t.co/NHhB2xAwCa | https://t.co/Vhb7EKELqw https://t.co/ifvm0v8ScL",1520850323610296320,hiindia
"Amitabh Bachchan shares fun PIC with Uunchai co-stars Anupam Kher, Boman Irani; Fan says ‘Legends in a frame’: hi INDiA  

Attach Main Entertaiment Image:  amitabh_anupam_boman_main.jpg Amitabh Bachchan needs no introduction.… https://t.co/dYLeEbj985 | https://t.co/Vhb7EKELqw https://t.co/GiEDJfOJn4",1520850312956837888,hiindia
"ppl on omegle dont know what atual good entertaiment is
lemme do my stuff im just trying to do something intresting yes everyone either asks my gender or dissconects wtf",1520848628750987266,V4mpVamp
"Hrithik Roshan goes on a lunch date with ex-wife Sussanne Khan to celebrate son Hridaan’s birthday; PICS: hi INDiA  

Attach Main Entertaiment Image:  hrithik_sussanne_main.jpg Hrithik Roshan is an amazing actor. He entered in… https://t.co/dTjJWPPzhG | https://t.co/Vhb7EKELqw https://t.co/3HlnfRXHBi",1520833451280064512,hiindia
"Some people analyzed too far and forget this is a drama, with entertaiment purpose. https://t.co/M2UYeOjqre",1520822563471237120,namkookrising
"Actor Dharmendra admitted in hospital, getting better now: Report: hi INDiA  

Attach Main Entertaiment Image:  dharmendra_sick_main.jpg Veteran actor Dharmendra got admitted to a private hospital in Mumbai, according to… https://t.co/8O4rLRWeNl | https://t.co/Vhb7EKELqw https://t.co/Jlzy8eKVD9",1520821247768088576,hiindia
