full_text,tweet_id,screen_name
"[OnlyHit K-Pop] Now: Apollo 11 (feat. Jay Park)
 by Jamie, Jay Park Listen on https://t.co/nsGoir2cYH",1520915518458413064,OnlyHitNP
k-pop obsessed for singing an english song smh https://t.co/UdUDkobn9h,1520915353626423296,jnxfiore
"ตื่นแต่เช้าไปทำงานเช่นเคย ☀️

I'm listening to K-pop female act song with the most #1's on iTunes #LALISA by #LISA https://t.co/wQatae0cZc",1520914867829747712,Y14Kanz
"เติมกันค่า

I'm listening to a K-pop female act song with highest #1 iTunes in Kpop history #LALISA by #LISA https://t.co/v5hTK5S0Na",1520914824204816384,happycircle9
Going live in five minutes to reveal I am a fascist/anarchist/communist/socialist/libertarian/conservative/liberal/neoliberal/neoconservative/paleoconservative/classical liberal/secret fan of K-pop.,1520914754004475905,beatmastermatt
"Note to my fellow UH sports #Braddahhood, political free thinkers, and rock and roll doggies: Kim Chaewon, the best of all K-Pop idols, re-debuts with her new group #LE_SSERAFIM in a few short hours. Album teasers have hinted at a smash hit. Please pardon the ravings to come. https://t.co/D80acaBFuL",1520914615302967298,WarriorMojo
"[OnlyHit K-Pop] Currently: Doughnut
 by TWICE on TuneIn, OnlyHit K-Pop https://t.co/SDaLibMQDd",1520914499594862592,OnlyHitNP
"Hi @Twitter, @TwitterSupport! 

We earnestly request a Twitter Topic for SO JUNGHWAN (@treasuremembers) under Music and Radio &gt; K-Pop Category. 

Below is the list of his hashtags. 
트레저 소정환 #소정환 #트레저소정환 #SOJUNGHWAN 

Please consider our request. Thank you.",1520914204429287426,yosahiluvr
"LINE MUSIC🇯🇵 K-Pop Top 50 (5.1.22)

(1/2)

3 Butter
4 Permission to Dance
5 Dynamite
6 The Feels
14 Feel Special
21 Boy With Luv
26 Like
27 FANCY
30 Film Out
31 I CAN'T STOP ME
32 Stay Gold
34 Lights
35 IDOL
36 Spring Day
37 YES or YES",1520913632032600065,armyonce_team
"🎵 || ""With You"" de Jimin e Sungwoon estreou em #1 lugar no Top K-pop Global Weekly do Spotify!

✨&amp;jkjm_mochi&amp;✨ https://t.co/EWPZZUMa8r",1520913520468148227,jkjpmochijikook
"[OnlyHit K-Pop] Currently: Monster
 by BIGBANG on TuneIn, OnlyHit K-Pop https://t.co/zZGVrYmjJM",1520913496501800961,OnlyHitNP
"do k-pop stans not realize that most c-pop and j-pop stans also listen to k-pop? because all the complaints i have seen until now has been about the fandoms, the industry or the sinophobia",1520913415291736064,yibologia
"ขอให้มีแต่เรื่องดีๆ ได้รับแต่สิ่งดีๆ

I am listening to #LALISA by #LISA on Spotify, the K-pop Female Song with the most #1's on iTunes in history https://t.co/73JmaGe7Ai",1520913155257290752,kallaya1610
"Listen to #StayAlive by #Jungkook (Prod. #Suga of #BTS), the song that holds the record for the biggest first week song debut by a K-pop solo act on Global Spotify Chart @BTS_twt",1520912985849573376,byLinne7
What a K-Pop stan: 🐻buo (fae/faer) // poppytwt,1520912982888247296,AverageWitter
"[OnlyHit K-Pop] Currently: Yeonnam-dong (feat. lIlBOI)
 by Dvwn, lIlBOI on TuneIn, OnlyHit K-Pop",1520912776872734720,OnlyHitNP
BTS is like no other k-pop boy band group. Think about it deeply...,1520912583712202754,AestheticArii3
Twice the best girl K-pop group in existence. I don’t make the rules. https://t.co/aeIqKz2P9o,1520912489113915394,velvetcaviiiar
"Marriage is scary, what if she is a K-Pop fan https://t.co/NSkqHbtdP5",1520912304480657409,Shel_notdone
Oh my so I went to the concert and we did K-pop random dances for like three hours before and then the concert was really fun but loud so I cried a bit because I was loud and I cried because it was ateez and I just cried a lot and it was really fun n i miss it,1520912012653572097,lixikgs
"It was going to be my next guess 😭
K-pop Girl Group Heardle #31

🔇⬛️⬛️⬛️⬛️🟥⬛️

https://t.co/JmKBeYNYpN",1520911813562535939,moontinytuans
Currently active? NCT and EXO. K-pop history? OT5 tvxq/dbsk https://t.co/MpfDHn4HIu,1520911804867792896,neoobabe
"[OnlyHit K-Pop] Now: yayou hoi
 by SOGUMM, OHHYUK Listen on https://t.co/nsGoir2cYH",1520911742611738627,OnlyHitNP
after bts and txt disbands K-pop as y'all call it is over for me https://t.co/XdslTNWm8Q,1520911574646636545,jeonsriri
"มาเติมคะแนนให้น้องลิซ่ากันค่าา

I'm listening to a K-pop female act song with highest #1 iTunes in Kpop history #LALISA by #LISA",1520911134882103297,Mymint66469432
