full_text,tweet_id,screen_name
"I am happily surprised and remembered that how much we use renewable energy and eco friendly products.
Soap, shampoo, beauty products and domestic cleaning products are all plant based.
This piece of me was fading away now its  remembered, respected and re-charged❤️❤️❤️ https://t.co/AfJNdP8ddJ",1520915464423374848,Gonchigkhand1
I’ve been eating plant based a lot lately. 🤷🏽‍♀️ randomly,1520914900821884928,iAmAshleyConnie
Plant based Beltane feast! 🤗🦋🪴🌱🧚🌞#vegan https://t.co/gv6neehEwL,1520914113748078593,WWKD_811
Chip consortium ISMC  (joint venture between #AbuDhabi-based Next Orbit Ventures and #Israel's Tower Semiconductor) to set up $3 billion plant in India's Karnataka.  It will be #India's first #Semiconductor #fabrication plant.  #technology https://t.co/2IPd0KuGOb via @Yahoo,1520914017039970304,haqsmusings
https://t.co/BNVgzS4bk9  is run by a cardiologist who suggests a whole food plant based (#WFPB) diet to stop and reverse heart disease.  And he's not the only one. More and more doctors are waking up to the healing power of plants! https://t.co/T2TVAMBn6y #EatPlants,1520912742940565509,ChicagoPlantEat
"Line Cook - Rosalinda, Plant Based Restaurant in
 
 Toronto,

 Canada
https://t.co/KAmA4yU4UF",1520912421531041793,CanadaVacancies
"Interesting...2021
https://t.co/AFkyBgumh1",1520912037693566977,Watcher4H
"Plant based pasta filled with meaty goodness from Solo Italia, thanks chicky-poo #trueheroes #keepingmefed #plant22 https://t.co/1ugEn1RYMo",1520911686986838016,stacres
"Chilli Tofu+Rice+ IcedTea = An Excellent Plant-Based and Animal Cruelty-Free Option for anyone who's special enough to show respect in their plate to all the lives of animals #onlyherbivorousdelicacies #GoVegan #govegan2022 #plantbasedfood 🌿🍄🌾🌽🥑🍚

 ☺️🙌 Namaste🕉️🧘🙏💚 https://t.co/5I6gPD0q8k",1520911341091188736,Herbivore663
Finally found the plant-based dino-nuggets and they’re delicious 😋,1520910076764213248,SomeLikeItSushi
What a Dietitian Says You Need To Know About Using Fruit as a Source of Plant-Based Protein https://t.co/Dc0gC1JvB6,1520909401967759362,Arjunkgopi_
Plant-based omnis are thoughtful,1520903112306794498,Omni_Positivity
plant based https://t.co/fV7QY33dUm,1520902495026958337,GamerKH
Karnataka govt inks MoU with Israel-based firm to set up semiconductor fab plant : This is really historic for Karnataka &amp; India.,1520901870319181824,subhash_dr
What a Dietitian Says You Need To Know About Using Fruit as a Source of Plant-Based Protein https://t.co/dPc0ysf4FS,1520901772037869568,Arjunkgopi_
If they say don’t vape - puff. If they say eat plant based - eat real meat. If they say electric - drive your gas SUV. If they say kneel - stand. If they say get vaccinated - don’t. See how that works? #resist,1520901582031839232,magafoxyroxy
Blood is spilling in a fight between Bay Area's Impossible Foods and another plant-based meat company https://t.co/dzrBsZbAs5 via @SFGate,1520900126625402880,MaureenMannion2
