full_text,tweet_id,screen_name,Tweet_user_ID,original_user_ID
"We’re very excited to welcome Madison Skeie to our coaching staff!

#FlyHawks https://t.co/3ECnmwnA5H",1554522621886210048,MonmouthFH,291818491,66225914
NJSIAA launches officials recruitment initiative. Click here to learn more:  https://t.co/GFSg3XKUmi #NFHS @NFHS_Org https://t.co/wiYe8IlUR8,1554518898950782977,NJSIAA,197638999,66225914
"@DonohueJr @NScaz 
Need to eat and hydrate for the upcoming heat. #Prepare https://t.co/9y5MEDdVFt",1554469888126849024,SMelega,391610270,66225914
The @NJSIAA has launched an initiative to recruit new officials for the high school sports it oversees. #HSLive https://t.co/RCbz5X5yGR,1554304116423380995,ACPressMulranen,915254682,66225914
"@ClarkHarris46 always a man of the people. The kids will always remember these days. Good luck this season, you have 2 more people rooting for you. #RuleTheJungle https://t.co/BSv0RFENIy",1554276838616227841,Matt_Bennett02,73558524,66225914
"The best teams follow the 24 hour rule. For one day, they celebrate a big victory or grieve a tough loss, but after that, they move on and get back to work!",1554241086209417216,SportPsychTips,2877353071,66225914
"Good to be back.

📸 https://t.co/HN8DUoyemk https://t.co/Rxnmh10MMm",1554225849456525317,MUHawksFB,289454959,66225914
"Have a great day and an amazing week!

#quote #macmccord #mccordrealtor #macmccordrealtor #macmccordrealestate #germantownmd #germantownrealestate #montgomerycountymd #moco #montgomerycounty #silverspring #silverspringmd #silverspringrealestate #mdrealestate #dmvrealestate #…",1554112864260165632,wmccordrealtor,876614788134121473,66225914
"Happy Birthday to #TarHeels Coaching Legend, Roy Williams! #GoHeels https://t.co/NSKlUOSWdN",1554051814902747136,SRTarHeel,1018366051661344768,66225914
"Reality is
Statistically
Out of 50 varsity 🏈 players
.9 go D1
&gt; 1 player
3 will go D3

Being recruited is still rare &amp; an honor. Be proud of every school.
You reflect your whole program.
You’re actions impact future players from your HS
✅DM’s open
✅Read receipts off
✅Respond",1553854183085834240,CoachMove,4539763766,66225914
"Bill Russell, an 11-time NBA champion and one of the greatest players of all-time, has died at 88 years old https://t.co/vIcokEVBKH",1553793920978518017,SInow,28370738,66225914
Philly’s Danny Garcia wins debut at 154 pounds with majority decision over Jose Benavidez Jr. https://t.co/vnezN4Yzq3,1553606364919914497,phillysport,14689159,66225914
"With scores of 112-116, 111-117, and 114-114, @DannySwift defeats Benavidez via MD. #GarciaBenavidez https://t.co/xzyQTJOPm6",1553592677966532613,ShowtimeBoxing,720035276563877888,66225914
Garcia landed 153 body shots! Whoa. #boxing #GarciaBenavidez,1553591198589362178,DanRafael1,175850143,66225914
Rd 12: Garcia 10-9 total toyage. Easy work. He looked good. 10-2. #boxing #GarciaBenavidez,1553590865691549696,DanRafael1,175850143,66225914
Final round 💥 #GarciaBenavidez https://t.co/B6NVofV9QI,1553590219403935745,ShowtimeBoxing,720035276563877888,66225914
".@DannySwift out-landing Benavidez 2-1 as we roll through Round 11.

#GarciaBenavidez https://t.co/IaLOUcTLqP",1553588879885836290,ShowtimeBoxing,720035276563877888,66225914
Rd 8: Garcia 10-9. He's looking good and cruising. 7-1 #boxing #GarciaBenavidez,1553586789381804032,DanRafael1,175850143,66225914
".@DannySwift with the combinations in round 7 😬

#GarciaBenavidez https://t.co/YjShifPCxD",1553586490361405440,ShowtimeBoxing,720035276563877888,66225914
Rd 7: Garcia 10-9. Doing his thing and Benavidez not doing much at all other than posing. Garcia landed a really good right hand to that snapped his head back that round too. 6-1 #boxing #GarciaBenavidez,1553585841712549888,DanRafael1,175850143,66225914
Rd 6: Garcia 10-9. He's in control. I have him up 5-1. #boxing #GarciaBenavidez,1553584807585763328,DanRafael1,175850143,66225914
"Ringside angle of #GarciaBenavidez 👀 

@DannySwift @josebenavidezjr https://t.co/Z0kGJTrUiX",1553584301656231938,ShowtimeBoxing,720035276563877888,66225914
"Had an awesome camp today with the kids in Gilroy. So much fun inspiring, motivating, and teaching.  https://t.co/zYzr5ucjBD",1553584078523211776,JeffGarciaJGFA,978818863,66225914
HERE. WE. GO. #GarciaBenavidez https://t.co/lob0nz0cEu,1553578836255592449,premierboxing,2959662729,66225914
"MAIN EVENT TIME: @DannySwift takes on @josebenavidezjr in a 154-lb showdown NOW on @ShowtimeBoxing.

#GarciaBenavidez
#PBConSHOWTIME https://t.co/gyKEvpcHAj",1553576704269905920,premierboxing,2959662729,66225914
"Ali Eren Demirezen takes home a unanimous decision victory and hands Adam Kownacki his third career loss in their 10-round heavyweight slugfest.

#KownackiDemirezen
#PBConSHOWTIME https://t.co/sYFBejDgMN",1553573712493875200,premierboxing,2959662729,66225914
How we feelin'? #KownackiDemirezen,1553570012157267968,premierboxing,2959662729,66225914
"Philly brotherly love 🤝

@sixers @TyreseMaxey showing love for @DannySwift. #GarciaBenavidez https://t.co/1TZ8L1Lgb3",1553563532817534976,shobasketball,1205584836540469249,66225914
20 year reunion with 2002 team #HammontonHistory https://t.co/Fafh3rUtGt,1553547690549673984,HHSDevilsFB,1513338817,66225914
Hoh Rain Forest - the rain💧☔️ https://t.co/ay285EGtZv,1553515416844021760,NScaz,1692133050,66225914
"Great time meeting the NFL defensive 🐐L.T., Vinny Testaverde and the “other #7…Michael Vick!!! 
Honored to be able to talk with these NFL legends! 
@MichaelVick 
@LT_56 
@OCHS_Football https://t.co/OHRRQksBJy",1553437777789947909,rileygunnels,1269432276640837633,66225914
Happy 17 week and 21 week anniversary to those who celebrate!! 💙🏀🎉🥳 #GDTBATH #GoHeels https://t.co/iiUoOZoTw8,1553335752079056897,CountessesofUNC,775109762501447680,66225914
Congratulations to former Ram Kayla Brunner. https://t.co/p1uN8H3Wu1,1553322341530222592,SRGirlsLax,37139503,66225914
@DonohueJr @TeeDonohue Happy anniversary coach!!,1553137617566420992,StevenLangton27,959038948126478336,66225914
@DonohueJr @TeeDonohue Happy Anniversary from Braves Volleyball,1553097981825523713,WilltownVball,1167616188291190785,66225914
@DonohueJr @TeeDonohue We have the same anniversary! Enjoy you two and god bless!,1553072096447606784,CoachTFarrell,1262798606626684928,66225914
Congratulations @TeeDonohue and @DonohueJr  and Happy 16th Wedding Anniversary…#KindnessMatters #Positivity #HappyAnniversary #GreatPeople #GreatFamily #Friday https://t.co/DiTXF5rODH,1553071056369360897,statu287,23270633,66225914
@DonohueJr @TeeDonohue Happy anniversary coach!,1553035472695328768,CoachCovine,884751888339447809,66225914
