full_text,tweet_id,created_at,screen_name,original_user_id,retweeted_user_ID,collected_at
"The last 2 weeks the Commanders have taken advantage of playing struggling teams.

That's not to discredit their wins. It's the reality and it's part of winning.

This week they play another struggling team that they can take advantage of and get to .500.
#HTTC",1584611413577777153,2022-10-24 18:22:56+00:00,Gcarmi21,1000685491,1.5846110778911826e+18,2022-10-24 12:32:58.880050
@TaeNToddPodcast Me too brother,1584610009836847104,2022-10-24 18:17:21+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880072
"@huffman_dave I'm with you. But I think Wentz has lost all mobility. Meaning, he can't do the rollouts and waggles that Heinicke can. 

So he's more susceptible to get sacked. 

But ultimately I agree with you. The OL simply can't sit back and block. Not talented enough.",1584609866232246272,2022-10-24 18:16:47+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880080
"Trubisky ➡️ Benched
Wilson ➡️ Benched
Ryan ➡️ Benched
Wentz ➡️ Injured, maybe Benched
Winston ➡️ injured, maybe Benched 

Maybe the QB retread market isn't so appealing after all. https://t.co/b9gU6C1bXb",1584609413079654400,2022-10-24 18:14:59+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880088
@RoySanie 1000%,1584608301525782528,2022-10-24 18:10:34+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880095
@Sportsfan7771 Haha. I get it 😂😂,1584608103915393024,2022-10-24 18:09:47+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880102
"Interesting. You'd think this helps Washington.  But who knows.

I've watched the team long enough to see backups and rookies ball out https://t.co/ouJ6QS1cTy",1584607553191022593,2022-10-24 18:07:35+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880108
@Bossq6912 I agree,1584606841837080584,2022-10-24 18:04:46+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880115
"@Sportsfan7771 Haha, you got it. I believe in you 😂",1584606753513443328,2022-10-24 18:04:25+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880121
@asananik That's definitely on my mind.,1584606658407575554,2022-10-24 18:04:02+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880128
"@huffman_dave I believe he can. But I believe the fear is if/when he has to drop back, he hasn't show to be decisive enough to deliver the ball.

So he is getting sacked. This puts the team in negative gamescript.

So that needs to be rectified moving forward.",1584606583061118977,2022-10-24 18:03:44+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880135
@DSuperman25 I do agree that his teammates buy into him.,1584602963808428037,2022-10-24 17:49:21+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880142
@Kgskins26 Agreed. Winning is much more fun.,1584602568398843904,2022-10-24 17:47:47+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880148
@elkabong82 Great assessment. I agree.,1584602437000007680,2022-10-24 17:47:16+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880154
@bencurtis633 100%,1584602365982040064,2022-10-24 17:46:59+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880162
"@DSuperman25 Uplift emotionally is different from uplifting production. 

That what I was referencing.",1584602312307134464,2022-10-24 17:46:46+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880168
"@BySlices Not discrediting him. But I tend to take a different approach to analyzing the team. I try to leave emotions out of it. 

Objectively, he had an up and down game in my opinion.",1584597296821325824,2022-10-24 17:26:50+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880175
"CHI is a big market, but I'm not sure they should be getting this much national exposure 😂.

Fields is 😬 and they now take on NE

But are the Pat's really 9.5pts better?

I think the O/U is the bet to take here

➡️ https://t.co/dceyLoXb63

#Sportsbetting #GamblingTwitter #BetUS https://t.co/QFZqiKMVMH",1584595691116331008,2022-10-24 17:20:27+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880182
@Flatfoot139 That's a very astute observation. Thanks for sharing.,1584593634690707456,2022-10-24 17:12:17+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880188
"@mbfrazier4 Realistically, I don't think Wentz or Heinicke is the answer to be honest.

Wentz is more physically talented. Heinicke has a better understanding of the offense. 

Both flawed in different ways.",1584592229095862272,2022-10-24 17:06:42+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880196
"@RAMLCPA Yes, makes sense. 

Still concerned about our Redzone packages.",1584591596447596549,2022-10-24 17:04:11+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880203
"@mbfrazier4 Fair enough. But Wentz had Thomas, Dotson, Dyami Brown. The OL is still shuffled. 

I do give you that Wentz played better defenses.",1584591414603968513,2022-10-24 17:03:28+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880209
Agreed. https://t.co/yulMeeeTP9,1584590952639102977,2022-10-24 17:01:38+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880216
Spot on. https://t.co/fTi5sC7wML,1584590924537290752,2022-10-24 17:01:31+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880223
@marktfulton I agree to that,1584587987241013249,2022-10-24 16:49:51+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880229
"What are your thoughts on this? 

I shared it in a #Commanders group chat. https://t.co/F75JWOTR4P",1584587445844447233,2022-10-24 16:47:41+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880236
"I think this is the prudent approach. No need to make any grandiose declarations after one game. 

Logistically, it will be late November before the team needs to make a decision. 

Why rush to decisions now? https://t.co/k42w7liOtE",1584582697808056322,2022-10-24 16:28:49+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880243
"This is a tricky one. On any given Heinicke pass I hold my breathe. The velocity scares me, especially with the speed of defender at the NFL level.

However, the offense under Wentz was completely inept. He literally couldn't drop back to pass. His lack of mobility is a liability https://t.co/AyYCueYmCn",1584581973535690752,2022-10-24 16:25:57+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880250
I thought that this was pretty apparent last year. But I guess it resonates more because other NFL talent evaluators are saying it. https://t.co/WFzCM3GAKg,1584581455446822913,2022-10-24 16:23:53+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880255
"@tjzukoski Not very creative. Typically a run up the gut with a weak OL.

The Samuel wildcat play was the only wrinkle of creativity.",1584533158191505409,2022-10-24 13:11:58+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880262
"@discoque5 Agreed to this. But I think you alluded to it best.... the organizational failure to properly identify a franchise QB.

We have never had ""the guy"" who is an undisputed starter and one worth building around, especially through the bumps.",1584531728466870275,2022-10-24 13:06:17+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880269
This is pretty crazy. https://t.co/tZ56h8R6vc,1584528126134341633,2022-10-24 12:51:59+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880275
"@unorthodeedox21 Haha, of course. I'm not an ass. Let's enjoy the win 😂😂",1584523538106527745,2022-10-24 12:33:45+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880281
@davidpere10 He does provide a spark. I do think he gives us our best chance to win each week.,1584521512710967296,2022-10-24 12:25:42+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880288
@BradyKines I honestly don't think he will. I think  they'll re-sign him for another 1-2 years.,1584520170826891264,2022-10-24 12:20:22+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880295
"@unorthodeedox21 What does this even mean 😂. And don't make things personal. 

Finally, the tweet happened midgame after the sack fumble. Fully justified at the time.",1584519954589966336,2022-10-24 12:19:30+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880301
@davidpere10 That's actually incorrect. His overall record as a QB is 8-9.,1584519413545304064,2022-10-24 12:17:21+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880309
"NFC BEAST... NOT LEAST... 20-7 Combined record, with ALL 4 teams winning this weekend. Somehow Washington, Green Bay &amp; Tampa Bay, are all 3-4. Any given Sunday! #NFLTwitter #DallasCowboys #TomBrady Hey Tom, wanna get away? @SouthwestAir",1584399441976389632,2022-10-24 04:20:38+00:00,Gcarmi21,1000685491,1.5843859260960727e+18,2022-10-24 12:32:58.880316
"@dc_gabe Yeah, I like that",1584391761920544768,2022-10-24 03:50:07+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880322
"@Smith4Gm Yeah, I'm not sure how I feel yet. It would be easy to fade Wentz. But he does have better arm talent. 

But he's COMPLETELY immobile. Which you need I'm this league.",1584369355525017600,2022-10-24 02:21:05+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880329
@ImRantBurgundy Not sure. I'm about to watch House of Dragon lol,1584368826342178819,2022-10-24 02:18:59+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880335
"@Smith4Gm After today, I feel that way. But I'd like to see it over time. He has 3 more opportunities to solidify his status. 

From a GM perspective, it may be wise to give Wentz and Howell some more game film before the season is over. To self-assess.

But if TH is on a heater, then 🤷🏾‍♂️",1584368671647932417,2022-10-24 02:18:22+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880341
"@RAMLCPA For sure. He's in that Mike Sellers, Lorenzo Alexander caliber now. 

Forever a Redskin/Commander. 

""One of us"" in the eyes of fans.",1584368164238163968,2022-10-24 02:16:21+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880347
"@Smith4Gm Not sure why there is so much emotional investment in him. Definitely a built in defense mechanism for people. 

Your smart. And objective.

That was a flawed performance today. But he settled in the 2nd half.",1584367573134499840,2022-10-24 02:14:00+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880353
@Smith4Gm One of my favorite people to talk shop with. But don't be a dick.,1584367173203791873,2022-10-24 02:12:24+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880360
@Smith4Gm Humble yourself a little. I really enjoy our conversations. But you're definitely come off pompous on occasion.,1584366870526046209,2022-10-24 02:11:12+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880366
@Smith4Gm No need to be righteous brother. https://t.co/2C9hAnkNxq,1584366570746236929,2022-10-24 02:10:01+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880372
"@Smith4Gm Let's talk about Kyle Smiths draft classes. ""KYLE"" 😂",1584365950518067200,2022-10-24 02:07:33+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880378
@Smith4Gm So what? Do you want to cherry pick some other tweets as well?,1584365845371060225,2022-10-24 02:07:08+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880384
"Not sure why there are such emotional responses to Heinicke. On both ends. 

I shared this tweet before the game, and it's 🎯

Heinicke is an overachiever. He has endeared himself to fans. 

The team also has to scheme around his limitations. I.e. run the ball 36x

Both are true. https://t.co/HD0y2vIrWx",1584364354698637312,2022-10-24 02:01:12+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880391
"@ynot74 I think we're not far from each other in our assessment. 

I'm taking a game by game approach. Consistency is key. 

It's also disingenuous to overlook the dropped ints in the first half, the fumbled returned for a TD and the INT returned for a TD.

Need to look at the whole.",1584363345674932224,2022-10-24 01:57:12+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880398
"@ynot74 Sure. I don't deny that. But I pride myself on taking an objective, football lens.

The team had to scheme around his deficiencies and run the ball 36 times. 

The defense also played great.

All of these things can be true.",1584361750652407808,2022-10-24 01:50:52+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880404
@JackPBrizendine Thanks brother.,1584361248065740801,2022-10-24 01:48:52+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880409
"@ynot74 Let's address this first. Look at the time of this tweet. Shortly after the sack-fumble that almost ended the game. 

The question is... Is Taylor Heinicke the long-term solution to the team's QB woes.",1584358632275476480,2022-10-24 01:38:28+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880415
5.2 yards of separation is insane. https://t.co/HO7IWLe6Bt,1584358252791599104,2022-10-24 01:36:58+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880422
House of Dragon Season Finale. https://t.co/7hsXVyQcAe,1584350520398909442,2022-10-24 01:06:14+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880428
@AndrewTWhitlock Fair enough lol,1584345169393897473,2022-10-24 00:44:58+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880434
@ohmyvanna_ Love it 💪🏾💪🏾,1584343808090599426,2022-10-24 00:39:34+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880440
"@Supersaiyanjefe Just seeing this. Jeff, look at the timestamp. I tweeted this midgame after the sack fumble that got called back. 

Hopefully that provides context.",1584343313863258113,2022-10-24 00:37:36+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880447
Terry is a great ambassador for the team. Glad he got some national exposure here. #HTTC https://t.co/jFybvEuUGF,1584341498757550082,2022-10-24 00:30:23+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880454
"@AndrewTWhitlock Umm... I'm not too sure. The running game and defense won the game. 

And we have 17 games of data that corroborates it.

That being said, we won. I'll take that all day.",1584338339079286784,2022-10-24 00:17:50+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880461
"@BluCollar_Guy I agree to that. It's because he put in the work. He's one of their own. Not a splashy FA. 

They saw him come up.",1584336941834973184,2022-10-24 00:12:17+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880467
"@DougMcCrayNFL I feel you. But it's a little different when you see it. There's a difference between obligation and dedication. 

I guess he gives off that UDFA vibe. Living in the moment.",1584336635872759808,2022-10-24 00:11:04+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880474
"@CommanderFandom Yeah, he was cool when I talked to him. Some fans had some wild requests, but he accommodated",1584335786891423745,2022-10-24 00:07:41+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880480
Here's what I'm talking about. Triple H. https://t.co/uLnTbMbc4c,1584335570112610304,2022-10-24 00:06:50+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880486
"One thing I'll give Heinicke credit for: he's appreciative of the moment.

He was usually the first guy on the field for training camp. 

He was usually one of the last men off to sign autographs.

You can tell he enjoys this and it means a lot to him.",1584335077177114624,2022-10-24 00:04:52+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880492
"@Rio_Robinson91 Haha, that makes me feel better. 

I've been catching it today too 😂😂",1584333100720717825,2022-10-23 23:57:01+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880498
"Just as everyone expected, the Seattle Seahawks are alone in first place in the NFC West heading into Week 8. #Seahawks #FPC #NFL #NFLTwitter @FP_Coverage https://t.co/DZdW9I68Sp",1584332604861337600,2022-10-23 23:55:03+00:00,Gcarmi21,1000685491,1.5843311881177702e+18,2022-10-24 12:32:58.880502
"@Wehavenochance You may want to look at all the tweets, and my reflection over the years before you pass judgment.",1584331330942169088,2022-10-23 23:49:59+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880506
"@Wehavenochance I cover the team. I reflected on the game in real time. 

You cherry picked one tweet and had a melt down. 

I've been covering the team for years. I'm as objective as it comes.",1584331014846894080,2022-10-23 23:48:44+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880511
@Itswizskins 😂😂😂,1584330523379257345,2022-10-23 23:46:46+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880515
"@Wehavenochance I'm down to have a conversation, but you seem like a troll account.",1584329979243872256,2022-10-23 23:44:37+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880520
"@JoshTaylorFB Yes, he was",1584329559268552705,2022-10-23 23:42:57+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880525
"@Buggman_JR Yeah, their corners are solid. 

I thought they were left for dead when Russell left.",1584328819887902720,2022-10-23 23:40:00+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880529
@Wehavenochance @iToddisland I love you're on this tilt 😂. Completely off.,1584328609824911360,2022-10-23 23:39:10+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880533
@Buggman_JR Seattle? Where? 😂,1584326698484797440,2022-10-23 23:31:34+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880538
Agreed https://t.co/3BY2miS13Q,1584326154105737216,2022-10-23 23:29:25+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880542
"Not a Seahawks fan, but I tip the cap. 

Great coaching over there. Not a lot of talent, and still shining.",1584325959234113537,2022-10-23 23:28:38+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880547
@iToddisland You too brother,1584325730623578112,2022-10-23 23:27:44+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880552
"Sauce Gardner completely harassing Sutton, but that's not my team 😂",1584321577717727232,2022-10-23 23:11:14+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880556
"@jcstavish Yeah, I want to see Pickett in action too.",1584321023843127297,2022-10-23 23:09:02+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880560
@WentzTooDotson @StreetScoresATL I agree. I do like Heinicke as a backup.,1584320368025563137,2022-10-23 23:06:25+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880564
"Looking forward to seeing Miami's offense. Tua is back. He has arguably the two fastest WRs in the league on his side. 

Dolphins 7.5 point favorites over the Steelers.

➡️ https://t.co/dceyLoXb63

Sign up? DM me and I'll hook you up with $

#Sportsbetting #GamblingTwitter #BetUS https://t.co/thcCiBG3Ux",1584320211007995904,2022-10-23 23:05:48+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880569
@SyphinB Agree 100%,1584318121091166208,2022-10-23 22:57:29+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880573
"Rooting for a cheap Pacheco score. 

#NFLFantasy",1584317891712716800,2022-10-23 22:56:35+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880577
"@sirrobinbchs Look at the timestamp, champ.",1584317360084615169,2022-10-23 22:54:28+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880582
"@iToddisland Haha. His Zodiac signs are aligned! 

Fun game today. We all deserved this.",1584316223822524416,2022-10-23 22:49:57+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880586
I was thinking the same thing. Great story. He plays hard. https://t.co/nFNddF9i0U,1584314996741185537,2022-10-23 22:45:05+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880590
@rilnhttr I'm playing against him this week https://t.co/Fp3or5apG0,1584314790901878784,2022-10-23 22:44:15+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880594
Proud of you @iToddisland. You were checked out a week ago 😂.,1584314690154692609,2022-10-23 22:43:51+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880598
Raiders are having the time of their life in this game 😂,1584314081720221697,2022-10-23 22:41:26+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880602
@_ACEINFINITE Agreed,1584313503531139075,2022-10-23 22:39:09+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880606
"Interesting dynamic: Heinicke is an UFA next season. Wentz can be cut free.

Only QB guaranteed to be on the roster next year is Howell. 

#HTTC",1584312362282397696,2022-10-23 22:34:36+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880610
@AGurlHas_NoName People don't seem to realize that I tweeted this shortly after the pick 6 😂 https://t.co/kXtrb3ClDT,1584311964737892352,2022-10-23 22:33:02+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880615
"Harper is a polarizing guy. The guy you love on your team, hate if he's on the opposition.

I loved him in DC. Another talented player lost. https://t.co/ltg32J1M63",1584309157439471616,2022-10-23 22:21:52+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880619
@Buggman_JR That's what's up 💪🏾💪🏾,1584300536148692992,2022-10-23 21:47:37+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880624
@Buggman_JR Glad you're still rooting for us!,1584300313250390017,2022-10-23 21:46:44+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880628
@T_SWAGN3R Hahaha. Good eye,1584300245068173312,2022-10-23 21:46:27+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880632
@chazbrown22 Defense and run game. Defense has been playing well for a while now,1584299945418698753,2022-10-23 21:45:16+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880637
@Buggman_JR Great win. Were you there? https://t.co/tjvtsmsVzx,1584299916775804928,2022-10-23 21:45:09+00:00,Gcarmi21,1000685491,,2022-10-24 12:32:58.880641
https://t.co/cfQn2FvrQj,1584513405645254656,2022-10-24 11:53:29+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.896822
https://t.co/NRvo27QURD,1584501573224308736,2022-10-24 11:06:28+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.896851
"@zacadamia_nut Homie came with the LINKS! I had already checked old navy and they didn’t have anything in stock near me and shipping would take too long /:
The few I found online at target aren’t in store anywhere either 😭
I’ll keep looking tho, thanks!!",1584476441994928129,2022-10-24 09:26:36+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.896865
Does anyone know of a good place to get basic black overalls?,1584470037066174469,2022-10-24 09:01:09+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.896877
My cat is older than most kids in highschool rn 😭😭 https://t.co/q1n6vuX5CM,1584410227012558848,2022-10-24 05:03:29+00:00,lemonbbyx,1000222650,,2022-10-24 12:32:58.896887
