media,url,names
nytimes,https://www.nytimes.com/section/sports,The New York Times
CTmagazine,https://www.christianitytoday.com/ct/topics/s/sports/,Christianity Today
cnn,https://edition.cnn.com/sport,CNN
thisisinsider,https://www.insider.com/sports,Insider
FoxBusiness,https://www.foxbusiness.com/sports,Fox Business
WSJ,https://www.wsj.com/news/sports?mod=nav_top_section,Opinion: Potomac Watch
guardian,https://www.theguardian.com/us/sport,The Guardian
washingtonpost,https://www.washingtonpost.com/sports/?itid=nb_sports,Washington Post
TIME,https://time.com/section/sports/,Time Magazine
latimes,https://www.latimes.com/sports,LA Times
AJEnglish,https://www.aljazeera.com/sports/,Al Jazeera
axios,https://www.axios.com/sports,Axios
NBCNews,https://www.nbcsports.com/?cid=eref:nbcnews:text,NBC News
USATODAY,https://www.usatoday.com/sports/,USA Today
WSJ,https://www.wsj.com/news/sports?mod=nav_left_section,Wall Street Journal
ABC,https://abcnews.go.com/Sports,ABC News
CBSNews,http://www.cbssports.com/,CBS News
Reuters,https://www.reuters.com/lifestyle/sports/,Reuters
AP,https://apnews.com/hub/sports?utm_source=apnewsnav&utm_medium=navigation,AP
