index,name,media_handle,media_user_id,origin_list
0,Bill Maher,billmaher,19697415,US-journo-Twitter
1,Anderson Cooper,andersoncooper,15224867,US-journo-Twitter
2,Rachel Maddow MSNBC,maddow,16129920,US-journo-Twitter
3,barkha dutt,BDUTT,19929890,US-journo-Twitter
4,Michael Moore,MMFlint,20479813,US-journo-Twitter
5,Paul Krugman,paulkrugman,17006157,US-journo-Twitter
6,Sean Hannity,seanhannity,41634520,US-journo-Twitter
7,JORGE RAMOS,jorgeramosnews,110213431,US-journo-Twitter
8,Arianna Huffington,ariannahuff,21982720,US-journo-Twitter
9,Nate Silver,NateSilver538,16017475,US-journo-Twitter
10,Christiane Amanpour,camanpour,69181624,US-journo-Twitter
11,Larry King,kingsthings,22685200,US-journo-Twitter
12,Bill O'Reilly,BillOReilly,23970102,US-journo-Twitter
13,GeorgeStephanopoulos,GStephanopoulos,17074440,US-journo-Twitter
14,Megyn Kelly,megynkelly,110445334,US-journo-Twitter
15,Ezra Klein,ezraklein,18622869,US-journo-Twitter
16,Al Roker,alroker,16379018,US-journo-Twitter
17,Lawrence O'Donnell,Lawrence,158426909,US-journo-Twitter
18,Joe Scarborough,JoeNBC,21619519,US-journo-Twitter
19,Jemima Goldsmith,Jemima_Khan,94628304,US-journo-Twitter
20,John Dickerson,jdickerson,4119741,US-journo-Twitter
21,Nicholas Kristof,NickKristof,17004618,US-journo-Twitter
22,Newt Gingrich,newtgingrich,20713061,US-journo-Twitter
23,Michelle Malkin,michellemalkin,15976697,US-journo-Twitter
24,Chuck Todd,chucktodd,50325797,US-journo-Twitter
25,Ann Coulter,AnnCoulter,196168350,US-journo-Twitter
26,David Gregory,davidgregory,20608910,US-journo-Twitter
27,Katie Couric,katiecouric,18812301,US-journo-Twitter
28,Lara Setrakian,Lara,21481343,US-journo-Twitter
29,Dana Perino,DanaPerino,27311044,US-journo-Twitter
30,Lou Dobbs,LouDobbs,26487169,US-journo-Twitter
31,Barbara Walters,BarbaraJWalters,33514869,US-journo-Twitter
32,Jake Tapper,jaketapper,14529929,US-journo-Twitter
33,Ann Curry,AnnCurry,20109973,US-journo-Twitter
34,Andrea Mitchell,mitchellreports,89820928,US-journo-Twitter
35,Chris Hayes,chrislhayes,4207961,US-journo-Twitter
36,David Pogue,Pogue,9534522,US-journo-Twitter
37,Sarah Palin,SarahPalinUSA,65493023,US-journo-Twitter
38,Wolf Blitzer,wolfblitzer,71294756,US-journo-Twitter
39,Kathie Lee Gifford,KathieLGifford,80676273,US-journo-Twitter
40,ana marie cox,anamariecox,11640472,US-journo-Twitter
