full_text,tweet_id,screen_name
Je hoort nu Kings of Leon - Back Down South op RadioTwister,1520910064546193408,radiotwisterr
"2 tickets to Kings Of Leon at Resorts World Arena - Birmingham, 13 Jun, 23% below face value (plus fees). Buy with protection: https://t.co/2oaNXUVGgE",1520908583164067842,TwicketsUK
"2 tickets to Kings Of Leon at Resorts World Arena - Birmingham, 13 Jun, 23% below face value (plus fees). Buy &amp; sell with protection: https://t.co/eSEVqx6O3v",1520908582241320961,TwicketsMusic
i love kings of leon sm,1520908178610925570,intosonder
Top music. Now playing Echoing - Kings Of Leon on https://t.co/mvGwqYdzO8 https://t.co/wTYhevCJoy,1520900170610790401,blow_inthewind
♬ Kings of Leon - On Call #radyoeksen https://t.co/6hxb4DjpVY,1520898615039905792,eksennowplaying
Music now USE SOMEBODY - KINGS OF LEON on https://t.co/EVPHltYmIi https://t.co/V6hV8Kepaz,1520898032165871622,_Top_Radio
"🎶
Your sex is on fire
Consumed
With what's just transpired
Hot as a fever
Rattling bones
I could just taste it
Chased it
But it's not forever
But it's just tonight🎶
            (Kings of Leon)
Boa noite https://t.co/3Dhwc8G1gc",1520895150960087040,MMde84
"Kings of Leon - Molly’s Chambers 🎸🎶

#KingsOfLeon 

https://t.co/0kfb13hY9e",1520889813850800131,jaytennant_
"[May 1, 2022 at 2:57 pm] Sex On Fire by Kings Of Leon",1520885790632407040,thezoneplaylist
"We're partying all over the world...radiobyron.com Wait For Me by Kings of Leon Tune In, Slow Down, Cheer Up, Chill Out https://t.co/OatBvQK84h",1520882051808960514,radiobyronbay
Re-entering another Kings of Leon phase of my life. Their first three albums are *chef's kiss*,1520876037105668102,MegThe_Egg
need to see kings of leon live before i die,1520875402796929026,ANGELSLIKEY0U
"Sex on fire
Kings of Leon
https://t.co/YpQ7VjUpwj",1520875162140352513,Juantxu00
Kings of Leon - Waste A Moment,1520874859525554177,Playlist_RZ
Kings of Leon - Radioactive,1520873550881738753,ConvergeDownto1
